parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.lang3.text,21,346,190,156,0.09730250481695568,0.19460500963391136,0.8186646561112507,1.0,0.1593162432894727
org.apache.commons.lang3.reflect,10,178,115,63,0.1398876404494382,0.2797752808988764,0.8331111534310924,0.9,0.20977551627405372
org.apache.commons.lang3.text.translate,12,52,9,43,0.2900641025641026,0.5801282051282052,0.9351432880844646,1.0,0.5425029972541285
org.apache.commons.lang3.exception,5,78,48,30,0.31794871794871793,0.6358974358974359,0.7698967698967699,1.0,0.4895753818830742
org.apache.commons.lang3.time,8,1263,517,746,0.33976642913697547,0.6795328582739509,0.6359659854470716,1.0,0.43215978385585846
org.apache.commons.lang3,126,3948,2061,1887,0.01742694713819334,0.03485389427638663,0.9479934101515803,0.9920634920634921,0.03277902985330795
org.apache.commons.lang3.builder,14,415,167,248,0.14905335628227195,0.2981067125645439,0.871648914498574,1.0,0.2598443924116231
org.apache.commons.lang3.tuple,6,140,9,131,0.3261904761904762,0.6523809523809524,0.49260020554984585,1.0,0.32136299123966133
org.apache.commons.lang3.math,3,136,136,0,0.3333333333333333,0.6666666666666666,0.33758169934640525,1.0,0.22505446623093683
org.apache.commons.lang3.mutable,8,194,192,2,0.12628865979381443,0.25257731958762886,0.8733507825436675,1.0,0.22058859971463765
org.apache.commons.lang3.concurrent,17,161,108,53,0.08147606868834491,0.1629521373766898,0.9105590062111801,1.0,0.14837753626970634
org.apache.commons.lang3.event,2,18,12,6,0.6666666666666666,0.6666666666666667,0.6013071895424836,1.0,0.4008714596949891
