parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.junit.rules,12,217,45,172,0.23387096774193547,0.467741935483871,0.8087557603686636,0.9166666666666666,0.34676490263118775
org.junit.internal.runners,19,986,151,835,0.14871356891213836,0.29742713782427677,0.8601249987129457,0.9473684210526315,0.2423600682994432
org.junit.experimental.theories.internal,6,89,21,68,0.32209737827715357,0.6441947565543071,0.6751787538304392,1.0,0.43494661295444026
org.junit.internal,46,986,103,883,0.1411500132286798,0.28230002645735963,0.9533365595494281,0.8695652173913043,0.2340234225944102
org.junit.runners.model,9,872,265,607,0.3534658511722732,0.7069317023445464,0.8656163431255859,1.0,0.6119316350230314
org.junit.validator,4,411,7,404,0.5304136253041363,0.9391727493917275,0.22454453741617708,1.0,0.21088611056604464
org.junit.runners,17,872,262,610,0.27145169994603346,0.5429033998920669,0.881687188615848,1.0,0.478670972340822
org.junit.runner,35,986,0,986,0.3131556070704144,0.6263112141408288,0.9219406719453054,0.8857142857142857,0.5114307208562328
junit.runner,36,986,0,986,0.3047103899030877,0.6094207798061754,0.9219406719453054,0.8888888888888888,0.49942204731727763
org.junit.runner.notification,5,986,0,986,0.6415821501014198,0.7168356997971603,0.330538194623202,0.6,0.14216494683144779
org.junit.experimental.max,3,17,0,17,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.0
org.junit.runner.manipulation,2,85,85,0,0.5,1.0,0.15294117647058825,1.0,0.15294117647058825
org.junit.experimental.theories,10,113,4,109,0.452212389380531,0.904424778761062,0.8487673830594185,1.0,0.76764625264312
junit.framework,4,182,114,68,0.35714285714285715,0.7142857142857143,0.5433185598931456,1.0,0.38808468563796117
org.junit.internal.builders,8,415,9,406,0.7373493975903614,0.5253012048192771,0.05684186019440074,0.75,0.02239432323321571
org.junit.experimental.categories,5,49,15,34,0.37142857142857144,0.7428571428571429,0.5986394557823129,1.0,0.4447035957240039
org.junit.internal.management,3,2,0,2,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.0
org.junit.internal.matchers,3,48,22,26,0.5347222222222222,0.9305555555555556,0.6037234042553192,1.0,0.5617981678486998
org.junit.experimental.results,3,97,5,92,0.6597938144329897,0.6804123711340206,0.19437285223367695,1.0,0.13225369327239875
org.junit.internal.runners.model,2,864,850,14,0.5081018518518519,0.9837962962962963,0.03191923093429472,1.0,0.031402021173785315
org.junit.experimental,23,238,28,210,0.1527219583485568,0.3054439166971137,0.9266390100343935,0.9565217391304348,0.27073032473753506
org.junit.internal.runners.statements,6,827,601,226,0.2267230955259976,0.45344619105199513,0.46417958079466903,1.0,0.2104804628754545
org.junit.internal.requests,3,188,152,36,0.3971631205673759,0.7943262411347518,0.35652520195699167,1.0,0.28319732354030547
org.junit.internal.runners.rules,2,447,421,26,0.529082774049217,0.941834451901566,0.10981029484054128,1.0,0.10342311885429055
org.junit,125,986,0,986,0.16637728194726167,0.3327545638945233,0.97999402806808,0.88,0.28696578717754745
junit.textui,1,9,9,0,1.0,0.0,0.0,1.0,0.0
org.junit.matchers,1,43,43,0,1.0,0.0,0.0,1.0,0.0
junit.samples.money,2,23,0,23,1.0,0.0,0.0,0.5,0.0
org.junit.runners.parameterized,2,24,1,23,0.9791666666666666,0.04166666666666674,0.08333333333333337,1.0,0.00347222222222223
org.junit.experimental.runners,1,6,6,0,1.0,0.0,0.0,1.0,0.0
