parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
com.google.zxing,223,406,0.16666666666666666,0.07988910733614615,0.15977821467229236,0.9876908106793164,0.7219730941704036,0.11393563845268975
com.google.zxing.pdf417.decoder,13,15,0.0,0.5538461538461539,0.8923076923076922,0.8285714285714285,0.38461538461538464,0.2843617920540997
com.google.zxing.aztec.encoder,7,21,0.10526315789473684,0.8503401360544217,0.2993197278911566,0.638095238095238,0.5714285714285714,0.10913971030589109
com.google.zxing.datamatrix.encoder,14,24,0.043478260869565216,0.6011904761904762,0.7976190476190477,0.44202898550724634,0.42857142857142855,0.15110174504584442
com.google.zxing.oned.rss.expanded.decoders,19,59,0.03508771929824561,0.44424620874219445,0.8884924174843889,0.8211572180011689,0.7368421052631579,0.5375940770838208
com.google.zxing.pdf417.detector,2,50,0.0,1.0,0.0,0.0,0.5,0.0
com.google.zxing.oned.rss,30,127,0.032520325203252036,0.3272965879265092,0.6545931758530183,0.924384451943507,0.8,0.48407660328548174
com.google.zxing.common,20,269,0.7933333333333333,0.22026022304832713,0.4405204460966543,0.8717472118959108,0.9,0.3456202236011111
com.google.zxing.qrcode.detector,6,33,0.0,0.5959595959595959,0.8080808080808082,0.6685606060606061,0.6666666666666666,0.3601673298642996
com.google.zxing.client.result,37,74,0.0,0.38568298027757486,0.7713659605551497,0.9496482784154017,0.972972972972973,0.7127283468351314
com.google.zxing.pdf417.encoder,6,7,2.5,0.2857142857142857,0.5714285714285714,0.5238095238095238,0.5,0.14965986394557823
com.google.zxing.qrcode.encoder,6,46,1.0,0.37681159420289856,0.7536231884057971,0.8714975845410629,1.0,0.6567807883497865
com.google.zxing.common.reedsolomon,5,85,0.024096385542168676,0.7458823529411764,0.5082352941176471,0.6322128851540616,0.8,0.2570503213049926
com.google.zxing.qrcode.decoder,9,93,0.3880597014925373,0.4659498207885305,0.931899641577061,0.8616175783076204,1.0,0.8029411124013667
com.google.zxing.aztec,12,76,0.0410958904109589,0.2949561403508772,0.5899122807017544,0.576140350877193,0.75,0.2549042012927054
com.google.zxing.datamatrix,22,75,0.041666666666666664,0.27515151515151515,0.5503030303030303,0.8367567567567568,0.5454545454545454,0.2511653339289703
com.google.zxing.aztec.decoder,1,21,-1,1.0,0.0,0.0,1.0,0.0
com.google.zxing.datamatrix.decoder,5,51,0.04081632653061224,0.6588235294117647,0.6823529411764706,0.6211764705882352,0.8,0.3390892733564014
com.google.zxing.oned.rss.expanded,24,127,0.19811320754716982,0.2618110236220472,0.5236220472440944,0.9005124359455068,0.7916666666666666,0.3732931308455209
com.google.zxing.pdf417.decoder.ec,3,9,0.0,1.0,0.0,0.0,0.3333333333333333,0.0
com.google.zxing.oned,56,150,0.04895104895104895,0.2571428571428571,0.5142857142857142,0.9442505592841164,0.7321428571428571,0.3555392411998356
com.google.zxing.multi.qrcode,3,1,0.0,1.0,0.0,0,0.3333333333333333,0.0
com.google.zxing.common.detector,2,111,1.0555555555555556,0.7432432432432432,0.5135135135135136,0.5041769041769042,1.0,0.25890165349624816
com.google.zxing.qrcode,23,118,0.37209302325581395,0.24465733235077378,0.4893146647015476,0.9605968419527742,0.8695652173913043,0.4087253231595541
com.google.zxing.datamatrix.detector,1,32,-1,1.0,0.0,0.0,1.0,0.0
com.google.zxing.multi,4,2,1.0,0.5,1.0,1.0,0.5,0.5
com.google.zxing.multi.qrcode.detector,2,1,0.0,1.0,0.0,0,0.5,0.0
com.google.zxing.maxicode,4,49,0.0,0.7142857142857143,0.5714285714285714,0.3129251700680272,0.75,0.13411078717201164
com.google.zxing.pdf417,25,61,0.08928571428571429,0.18754098360655738,0.3750819672131147,0.5797814207650274,0.36,0.07828760010749798
com.google.zxing.maxicode.decoder,3,49,0.1951219512195122,0.6190476190476191,0.7619047619047619,0.3129251700680272,1.0,0.2384191771946874
com.google.zxing.aztec.detector,1,54,-1,1.0,0.0,0.0,1.0,0.0
