package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.lang3,204,3955,0.011810564933938178,0.023621129867876345,0.9522490946772844,0.8676470588235294,0.019516158417418366,0.947316592811423
org.apache.commons.lang3.text,27,346,0.08028259473346179,0.16056518946692355,0.8600150791656195,0.9629629629629629,0.13297409582950417,0.9222222222222223
org.apache.commons.lang3.concurrent,31,168,0.05683563748079877,0.11367127496159757,0.9283575705731394,0.8064516129032258,0.08510289408653228,1.0240963855421688
org.apache.commons.lang3.reflect,27,179,0.1249741361473205,0.249948272294641,0.8467139539263072,0.48148148148148145,0.10189818403153265,0.584070796460177
org.apache.commons.lang3.builder,31,415,0.078118927322192,0.156237854644384,0.905348931959723,0.9354838709677419,0.13232398290919914,0.47686832740213525
org.apache.commons.lang3.reflect.testbed,13,64,0.38461538461538464,0.7692307692307693,0.0,0.15384615384615385,0.0,0.0
org.apache.commons.lang3.time,13,1263,0.2127413362567757,0.42548267251355143,0.6641031528835453,1.0,0.28256438431356645,0.6885026737967914
org.apache.commons.lang3.tuple,6,140,0.3261904761904762,0.6523809523809524,0.49260020554984585,1.0,0.32136299123966133,0.06870229007633588
org.apache.commons.lang3.event,4,18,0.4861111111111111,0.9722222222222222,0.7647058823529411,1.0,0.7434640522875816,0.6363636363636364
org.apache.commons.lang3.exception,9,82,0.2750677506775068,0.5501355013550135,0.7970490816019271,0.8888888888888888,0.3897644409881149,0.10810810810810811
org.apache.commons.lang3.mutable,8,194,0.12628865979381443,0.25257731958762886,0.8733507825436675,1.0,0.22058859971463765,96.0
org.apache.commons.lang3.text.translate,12,52,0.2900641025641026,0.5801282051282052,0.9351432880844646,1.0,0.5425029972541285,0.20930232558139536
org.apache.commons.lang3.test,2,53,0.5,1.0,0.4687953555878084,1.0,0.4687953555878084,-1
org.apache.commons.lang3.math,3,136,0.3333333333333333,0.6666666666666666,0.33758169934640525,1.0,0.22505446623093683,-1
org.apache.commons.lang3.concurrent.annotation,5,7,0.2,0.4,0.0,0.4,0.0,-1
