package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.math4.geometry.partitioning,17,138,0.3235294117647059,0.6470588235294118,0.8605733629535597,0.7058823529411765,0.39306465020716225,0.0072992700729927005
org.apache.commons.math4.analysis.integration,22,145,0.13573667711598747,0.27147335423197494,0.8420498084291188,0.9545454545454546,0.21820344565534278,0.02112676056338028
org.apache.commons.math4.stat.descriptive.moment,16,351,0.27528490028490027,0.5505698005698005,0.9011477411477411,1.0,0.49614473212763804,0.1178343949044586
org.apache.commons.math4.analysis.function,47,415,0.03096641886695719,0.06193283773391434,0.8891100634421745,0.9787234042553191,0.05389351121682353,10.527777777777779
org.apache.commons.math4.stat.descriptive,42,557,0.14905531332820382,0.29811062665640764,0.9618007568810302,0.9285714285714286,0.26624281018438173,0.03917910447761194
org.apache.commons.math4.analysis.solvers,28,237,0.11286919831223628,0.2257383966244726,0.8702352857040692,0.8571428571428571,0.16838187264075116,0.5490196078431373
org.apache.commons.math4.ode,151,371,0.07693543492618839,0.15387086985237675,0.9950025497195308,0.9205298013245033,0.14093486879777548,0.01366120218579235
org.apache.commons.math4.optim.nonlinear.scalar.noderiv,12,76,0.21710526315789475,0.4342105263157895,0.8056140350877193,0.75,0.2623545706371191,0.02702702702702703
org.apache.commons.math4.genetics,36,63,0.13624338624338625,0.27248677248677255,0.9733742959549411,0.9722222222222222,0.2578640753172813,0.05
org.apache.commons.math4.optim.linear,12,34,0.5759803921568627,0.8480392156862746,0.607843137254902,0.5,0.25773740868896583,0.0
org.apache.commons.math4.stat.regression,8,109,0.20642201834862386,0.4128440366972477,0.7636765205572544,1.0,0.31527929747776556,0.6515151515151515
org.apache.commons.math4.primes,2,3,1.0,0.0,0.0,0.5,0.0,0.0
org.apache.commons.math4.analysis.interpolation,28,124,0.06077188940092166,0.1215437788018433,0.8708366115919224,0.8214285714285714,0.08694392026118332,0.9375
org.apache.commons.math4.ode.nonstiff,87,351,0.057209287094344564,0.11441857418868917,0.9747985347985348,0.9770114942528736,0.10897103414016197,0.014450867052023121
org.apache.commons.math4.analysis.integration.gauss,15,130,0.17487179487179488,0.34974358974358977,0.8017889087656529,0.9333333333333333,0.2617258290904087,0.023622047244094488
org.apache.commons.math4.linear,72,1320,0.07113846801346801,0.14227693602693603,0.978956739495026,0.9444444444444444,0.1315450228761455,0.017733230531996914
org.apache.commons.math4.analysis.polynomials,6,121,0.2796143250688705,0.559228650137741,0.8141873278236915,1.0,0.45531688029809747,1.0508474576271187
org.apache.commons.math4.stat.descriptive.rank,5,292,0.3445205479452055,0.689041095890411,0.7805630089911971,1.0,0.5378399911268111,0.7176470588235294
org.apache.commons.math4.special,4,348,0.35129310344827586,0.7025862068965517,0.7056875020702905,1.0,0.4958063053338679,1.4680851063829787
org.apache.commons.math4.complex,9,290,0.15670498084291187,0.3134099616858237,0.6658393986397805,1.0,0.2086807004166055,2.670886075949367
org.apache.commons.math4.fitting.leastsquares,19,162,0.39441195581546457,0.7888239116309291,0.8582930756843801,0.7368421052631579,0.4988731272641743,0.018867924528301886
org.apache.commons.math4.distribution,43,646,0.055187558499532004,0.110375116999064,0.9566467468260254,0.9534883720930233,0.10067883397478038,0.057283142389525366
org.apache.commons.math4.optim,65,315,0.10661782661782662,0.2132356532356532,0.8699423718531999,0.7230769230769231,0.1341327431870163,0.19318181818181818
org.apache.commons.math4.ml.distance,5,37,0.2,0.4,0.49549549549549554,1.0,0.19819819819819823,-1
org.apache.commons.math4.ml.clustering,11,20,0.32727272727272727,0.6545454545454545,0.9052631578947369,0.9090909090909091,0.5386689865158765,0.0
