package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.junit.internal.runners.statements,7,827,0.19571601312834686,0.3914320262566937,0.4644372289936203,1.0,0.18179560561401684,2.65929203539823
org.junit.runners,31,872,0.1729801716484167,0.34596034329683345,0.8964729984516374,0.7741935483870968,0.24011156616826074,0.3863275039745628
org.junit.experimental.categories,12,49,0.15816326530612246,0.3163265306122449,0.6045918367346939,0.6666666666666666,0.12749895876718034,0.3611111111111111
junit.runner,60,986,0.19465855307640298,0.389317106152806,0.9382152160706747,0.7833333333333333,0.28612286574751233,0.0
org.junit.tests.running.classes.parent,2,3,0.6666666666666666,0.6666666666666667,0.6666666666666667,1.0,0.44444444444444453,2.0
org.junit.internal.requests,3,188,0.3971631205673759,0.7943262411347518,0.35652520195699167,1.0,0.28319732354030547,4.222222222222222
org.junit.tests.manipulation,5,12,0.2,0.4,0.6363636363636364,1.0,0.2545454545454546,-1
org.junit.internal.runners,24,986,0.15491886409736308,0.3098377281947262,0.8601497101553732,0.875,0.23319347808915644,0.13333333333333333
org.junit.validator,8,411,0.26672749391727496,0.5334549878345499,0.22454453741617708,0.875,0.1048113530412037,0.017326732673267328
org.junit,265,986,0.08554096980366642,0.17108193960733287,0.9832600570422463,0.7245283018867924,0.12187872919948382,0.0
org.junit.tests,74,118,0.015116811726981219,0.03023362345396241,0.9661016949152542,0.6216216216216216,0.018156793563053008,10.8
org.junit.internal,54,986,0.13680414694613477,0.2736082938922695,0.9533571524181176,0.8148148148148148,0.21254153062031467,0.11664779161947905
org.junit.rules,32,233,0.0992489270386266,0.19849785407725318,0.8760914607074145,0.84375,0.14673004446866733,0.05429864253393665
org.junit.experimental.results,3,97,0.6597938144329897,0.6804123711340206,0.19437285223367695,1.0,0.13225369327239875,0.05434782608695652
org.junit.experimental,31,238,0.11385199240986717,0.2277039848197343,0.9268517533595717,0.8064516129032258,0.17019986901381617,0.12264150943396226
org.junit.internal.builders,9,415,0.6559571619812584,0.6880856760374832,0.056934986322100034,0.7777777777777778,0.03047033776393216,0.01715686274509804
org.junit.tests.listening,4,6,0.25,0.5,0.7333333333333334,1.0,0.3666666666666667,-1
org.junit.tests.junit3compatibility,9,17,0.1111111111111111,0.2222222222222222,0.8676470588235294,0.8888888888888888,0.17138707334785766,-1
junit.extensions,4,13,0.5192307692307693,0.9615384615384615,0.8076923076923077,1.0,0.7766272189349112,0.18181818181818182
org.junit.tests.description,2,1,0.5,1.0,0,1.0,0.0,-1
org.junit.tests.experimental.theories.internal,4,6,0.25,0.5,0.7333333333333334,1.0,0.3666666666666667,-1
