parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.compress.archivers.sevenz,207,99,0.5714285714285714,0.2565754159957058,0.5131508319914116,0.8594104308390023,0.34299516908212563,0.1512633314497891
org.apache.commons.compress.compressors.bzip2,93,42,0.4482758620689655,0.24270353302611367,0.4854070660522274,0.967479674796748,0.3225806451612903,0.1514907969058879
org.apache.commons.compress.archivers.dump,151,47,0.06818181818181818,0.08369733690291672,0.1673946738058334,0.5679925994449584,0.15894039735099338,0.015111883852961515
org.apache.commons.compress.archivers.zip,642,359,0.022792022792022793,0.06546828764567551,0.13093657529135105,0.9843606542070619,0.4470404984423676,0.05761851916846327
org.apache.commons.compress.archivers.cpio,101,74,1.0,0.24270805458924272,0.48541610917848543,0.7904479822288042,0.36633663366336633,0.1405619684112392
org.apache.commons.compress.archivers.tar,167,118,0.04424778761061947,0.21455394296153457,0.42910788592306914,0.9937708242792989,0.5329341317365269,0.22726171184052635
org.apache.commons.compress.changes,34,26,0.0,0.667420814479638,0.6651583710407241,0.9569230769230769,0.5,0.31825269752871566
org.apache.commons.compress.utils,99,566,0.08221797323135756,0.06533533211978441,0.13067066423956886,0.9827261640451547,0.6262626262626263,0.08042056362147272
org.apache.commons.compress.compressors.lz77support,49,101,0.020202020202020204,0.4000808244089715,0.800161648817943,0.9293069306930694,0.5510204081632653,0.40973644244643515
org.apache.commons.compress.compressors.snappy,74,23,0.4375,0.26674500587544064,0.5334900117508813,0.9288537549407114,0.33783783783783783,0.16741020291830078
org.apache.commons.compress.compressors,544,243,0.08,0.056213689179375456,0.11242737835875094,0.9957147229874502,0.39889705882352944,0.04465476895223438
org.apache.commons.compress.compressors.lz4,96,82,0.025,0.35315040650406504,0.7063008130081301,0.9656729900632339,0.34375,0.23445661868119358
org.apache.commons.compress.archivers.arj,33,39,5.5,0.10178710178710179,0.20357420357420364,0.28744939271255066,0.24242424242424243,0.014186007561053576
org.apache.commons.compress.compressors.z,7,8,1.6666666666666667,0.42857142857142855,0.8571428571428571,0.6071428571428572,0.2857142857142857,0.14868804664723032
org.apache.commons.compress.parallel,5,4,0.0,1.0,0.0,0.0,0.2,0.0
org.apache.commons.compress.archivers,1407,468,0.030837004405286344,0.044425309350682486,0.08885061870136501,0.9983528249052874,0.39729921819474057,0.03524213560190156
org.apache.commons.compress.compressors.gzip,35,25,0.3888888888888889,0.2765714285714286,0.5531428571428572,0.9633333333333334,0.6285714285714286,0.33494117006802726
org.apache.commons.compress.archivers.jar,14,85,3.0476190476190474,0.1226890756302521,0.24537815126050422,0.44173669467787113,0.6428571428571429,0.06968091438255974
org.apache.commons.compress.compressors.pack200,50,20,0.8181818181818182,0.142,0.28400000000000003,0.8526315789473684,0.4,0.09685894736842107
org.apache.commons.compress.compressors.lzma,25,12,0.7142857142857143,0.11666666666666667,0.2333333333333334,0.9848484848484849,0.44,0.10111111111111114
org.apache.commons.compress.compressors.xz,27,17,0.7,0.10893246187363835,0.21786492374727673,0.9779411764705882,0.6296296296296297,0.13414830952957318
org.apache.commons.compress.archivers.memory,9,1,0.0,0.5555555555555556,0.8888888888888888,0,0.2222222222222222,0.0
org.apache.commons.compress.compressors.lzw,22,5,0.0,0.6454545454545455,0.709090909090909,0.6,0.18181818181818182,0.07735537190082643
org.apache.commons.compress.archivers.ar,76,77,0.3508771929824561,0.10475051264524948,0.20950102529049897,0.7535885167464115,0.3815789473684211,0.06024275579289562
org.apache.commons.compress.compressors.deflate,20,17,0.21428571428571427,0.25588235294117645,0.5117647058823529,0.9705882352941176,0.9,0.44704152249134943
org.apache.commons.compress,2090,749,0.04172461752433936,0.02616311381682754,0.05232622763365513,0.9989504722874707,0.40669856459330145,0.02125866666818769
