parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.lang3.event,24,18,0.125,0.44675925925925924,0.8935185185185185,0.9607843137254902,0.5416666666666666,0.46500922900024205
org.apache.commons.lang3,2982,3948,0.15202801283921796,0.005561739229704468,0.011123478459408975,0.9853032416088656,0.7548625083836351,0.008273292626905984
org.apache.commons.lang3.time,280,1263,0.022672064777327937,0.11656769596199525,0.23313539192399046,0.8575449242301616,0.6571428571428571,0.13137867588757232
org.apache.commons.lang3.builder,432,415,0.03233830845771144,0.04884538152610442,0.0976907630522088,0.997264419998836,0.6018518518518519,0.05863452722261859
org.apache.commons.lang3.concurrent,169,161,0.20149253731343283,0.05262964460288875,0.10525928920577754,0.9934006211180124,0.6686390532544378,0.06991600408359153
org.apache.commons.lang3.text,420,346,0.03903903903903904,0.035377098816405175,0.07075419763281032,0.9976208427578118,0.7119047619047619,0.05025041147394763
org.apache.commons.lang3.reflect,179,178,0.2714285714285714,0.036846400100433115,0.07369280020086622,0.9687043737700756,0.6480446927374302,0.0462616669995164
org.apache.commons.lang3.math,104,136,0.4782608695652174,0.03174490950226244,0.06348981900452488,0.9930283224400871,0.8076923076923077,0.050922729139225006
org.apache.commons.lang3.tuple,45,140,0.05263157894736842,0.14412698412698413,0.2882539682539682,0.8660842754367934,0.8,0.19972178338961483
org.apache.commons.lang3.text.translate,58,52,0.15555555555555556,0.10411140583554376,0.20822281167108758,0.9562594268476622,0.6379310344827587,0.12702165486504324
org.apache.commons.lang3.mutable,223,194,0.043010752688172046,0.014192593962368822,0.028385187924737654,0.9925217669996261,0.8385650224215246,0.02362482267153189
org.apache.commons.lang3.exception,68,78,0.18181818181818182,0.083710407239819,0.16742081447963797,0.9906759906759907,0.8823529411764706,0.14634686580387934
