parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.wicket.protocol.http.servlet,195,1447,0.0,0.1050449205252246,0.21008984105044926,0.8960007876266153,0.3384615384615385,0.06371222441812562
org.apache.wicket.markup.html.image,112,1442,89.125,0.010903754705765802,0.021807509411531645,0.02207397582777404,0.25,0.0001203446089035261
org.apache.wicket.markup.html.form,752,1444,0.0,0.026610479165438794,0.05322095833087759,0.7225444067549331,0.3882978723404255,0.01493180277010769
org.apache.wicket,7813,1969,0.010780287474332649,0.08561150410396082,0.17122300820792158,0.999404901997217,0.3572251375911942,0.061128763399710614
org.apache.wicket.pageStore,176,61,0.016666666666666666,0.07228017883755589,0.14456035767511177,0.7601092896174864,0.26704545454545453,0.029343400719466537
org.apache.wicket.ajax,439,1453,6.647368421052631,0.020438429954833845,0.04087685990966772,0.24520845064547747,0.24145785876993167,0.002420216987435983
org.apache.wicket.resource,179,1479,0.004073319755600814,0.046925107935680534,0.09385021587136111,0.5359223993829718,0.3743016759776536,0.01882603911983302
org.apache.wicket.markup,2924,1513,0.0,0.080195985001849,0.16039197000369798,0.9702201729630678,0.3546511627906977,0.055189226846577774
org.apache.wicket.protocol.http.mock,269,1453,0.003453038674033149,0.17519450847752502,0.3503890169550501,0.9031110706640958,0.31226765799256506,0.0988140402271453
org.apache.wicket.markup.html.form.validation,62,24,0.0,0.1297043010752688,0.2594086021505376,0.8333333333333334,0.25806451612903225,0.05578679616140594
org.apache.wicket.markup.html.form.login,9,4,0.3333333333333333,0.5,1.0,0.8333333333333334,0.4444444444444444,0.37037037037037035
org.apache.wicket.markup.html.link,139,292,0.013888888888888888,0.0837439637331231,0.1674879274662462,0.9336251941816127,0.37410071942446044,0.05849848444456833
org.apache.wicket.lambda,23,2,1.0,0.06521739130434782,0.13043478260869568,1.0,0.13043478260869565,0.017013232514177697
org.apache.wicket.markup.head.filter,46,2,0.0,0.6847826086956522,0.6304347826086956,1.0,0.06521739130434782,0.04111531190926275
org.apache.wicket.protocol.http,926,1566,0.018205461638491547,0.10363584706326942,0.2072716941265389,0.9614777275898791,0.2894168466522678,0.057677049114413695
org.apache.wicket.response,32,842,0.025578562728380026,0.10785332541567696,0.21570665083135387,0.5706389576937307,0.3125,0.038465818249377906
org.apache.wicket.feedback,90,1457,0.005521048999309869,0.06700221154579425,0.13400442309158844,0.7060477271527374,0.4666666666666667,0.044152975231040587
org.apache.wicket.markup.html.list,99,78,0.012987012987012988,0.1623931623931624,0.32478632478632474,0.8158508158508159,0.29292929292929293,0.07761958033908305
org.apache.wicket.markup.html,1829,1450,0.0,0.033621160988669144,0.06724232197733826,0.9647614288094049,0.3471842536905413,0.022522814176242485
org.apache.wicket.model,158,609,0.001644736842105263,0.05034191764877055,0.1006838352975411,0.9241152450090744,0.4873417721518987,0.045343968155581754
org.apache.wicket.util.template,35,2,0.0,0.17142857142857143,0.34285714285714286,1.0,0.08571428571428572,0.02938775510204082
org.apache.wicket.markup.head,268,1462,0.7678355501813785,0.06844539273536558,0.1368907854707312,0.7469135975864964,0.2798507462686567,0.028613504398988375
org.apache.wicket.markup.html.internal,156,799,0.0,0.09301691216584834,0.18603382433169668,0.6830342439327355,0.391025641025641,0.049686639906713216
org.apache.wicket.request.cycle,111,1524,0.033921302578018994,0.3238100305029439,0.6476200610058878,0.8678556103008463,0.3963963963963964,0.22279090941119625
org.apache.wicket.page,332,1518,0.3433628318584071,0.045180722891566265,0.09036144578313254,0.8151203357990209,0.2710843373493976,0.01996683940573157
org.apache.wicket.request.resource.caching.version,23,32,0.06666666666666667,0.13858695652173914,0.27717391304347827,0.8266129032258065,0.5217391304347826,0.11953853893530093
org.apache.wicket.response.filter,7,787,156.4,0.14539843891813398,0.29079687783626795,0.012664448690715258,0.5714285714285714,0.0021044469364443472
org.apache.wicket.behavior,42,351,0.044642857142857144,0.2760141093474427,0.5520282186948854,0.9489133089133089,0.7142857142857143,0.37416208829663106
org.apache.wicket.request.handler.render,54,839,0.0,0.43479892287997174,0.8695978457599435,0.7601019511237666,0.5185185185185185,0.3427319359100815
org.apache.wicket.request.handler.resource,44,364,0.0055248618784530384,0.14785214785214784,0.2957042957042957,0.6303544939908576,0.36363636363636365,0.06778128425076518
org.apache.wicket.ajax.markup.html.form,60,52,0.0,0.16698717948717948,0.3339743589743589,0.8604826546003017,0.25,0.07184478574467261
org.apache.wicket.markup.parser.filter,145,1447,0.0034674063800277394,0.25235088053761645,0.5047017610752329,0.8230745922550686,0.5310344827586206,0.2205955455722121
org.apache.wicket.settings,180,1465,0.009648518263266712,0.2852370117557831,0.5704740235115662,0.9799054439657584,0.5722222222222222,0.3198782885102415
org.apache.wicket.markup.html.header,27,8,0.0,0.18518518518518517,0.37037037037037035,0.9285714285714286,0.2222222222222222,0.07642563198118753
org.apache.wicket.markup.html.panel,107,823,0.0012165450121654502,0.08555433165646541,0.17110866331293084,0.6103330938676079,0.4672897196261682,0.04880059806884671
org.apache.wicket.resource.loader,39,1448,0.0,0.15825541861453463,0.31651083722906925,0.21056329155005404,0.5641025641025641,0.03759493336822453
org.apache.wicket.markup.html.media,113,3,0.0,0.3185840707964602,0.6371681415929203,1.0,0.04424778761061947,0.028193280601456653
org.apache.wicket.session,34,1442,0.5083682008368201,0.09164151097332136,0.1832830219466427,0.7233284021248151,0.4117647058823529,0.05458921810640631
org.apache.wicket.model.util,20,83,0.0,0.2680722891566265,0.536144578313253,0.6259183073758449,0.45,0.15101221813495536
org.apache.wicket.markup.html.basic,51,348,0.07739938080495357,0.06654270903763804,0.13308541807527607,0.7515651396203915,0.6470588235294118,0.0647203511170008
org.apache.wicket.markup.resolver.border,7,2,1.0,0.5714285714285714,0.8571428571428572,1.0,0.2857142857142857,0.24489795918367346
org.apache.wicket.markup.html.pages,31,8,0.0,0.22580645161290322,0.4516129032258065,0.6428571428571428,0.1935483870967742,0.05619146722164412
org.apache.wicket.component.replacewith,12,4,0.0,0.5208333333333334,0.9583333333333333,1.0,0.5,0.47916666666666663
org.apache.wicket.markup.html.navigation.paging,40,13,0.0,0.2826923076923077,0.5653846153846154,0.9230769230769231,0.35,0.18266272189349114
org.apache.wicket.request.resource,311,1504,0.0,0.05190232263802422,0.10380464527604838,0.7526914256593197,0.5048231511254019,0.0394432798441593
org.apache.wicket.ajax.attributes,71,166,0.0,0.3225012726964195,0.645002545392839,0.7543629061701351,0.30985915492957744,0.15076692791342086
org.apache.wicket.core.util.lang,58,1504,0.7990430622009569,0.06691351797505503,0.13382703595011003,0.6608343596494953,0.6724137931034483,0.0594665972522303
