parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.collections4.IterableUtils,44,88,17,71,0.08522727272727272,0.17045454545454541,0.9519331243469175,0.8636363636363636,0.14013478328454101
org.apache.commons.collections4.functors.NullIsExceptionPredicate,3,2,0,2,0.5,1.0,1.0,1.0,1.0
org.apache.commons.collections4.list.CursorableLinkedList,32,190,111,79,0.2891447368421053,0.5782894736842106,0.9702032859927596,0.875,0.49092605417051405
org.apache.commons.collections4.bag.PredicatedBag,8,127,46,81,0.27165354330708663,0.5433070866141733,0.8888888888888888,1.0,0.48293963254593175
org.apache.commons.collections4.splitmap.TransformedSplitMap,10,8,4,4,0.425,0.85,0.6428571428571428,0.5,0.2732142857142857
org.apache.commons.collections4.trie.AbstractBitwiseTrie,15,856,0,856,0.5809190031152648,0.8381619937694704,0.9016532764934142,0.8666666666666667,0.6549673068592295
org.apache.commons.collections4.collection.UnmodifiableBoundedCollection,12,20,18,2,0.17916666666666667,0.3583333333333334,0.7789473684210526,0.5833333333333334,0.16282163742690062
org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,6,1071,0,1071,0.2334267040149393,0.4668534080298786,0.49358360166496507,0.6666666666666666,0.153620791056634
org.apache.commons.collections4.bidimap.DualHashBidiMap,3,409,24,385,0.33985330073349634,0.6797066014669927,0.038736276906850775,1.0,0.02632930312983989
org.apache.commons.collections4.map.Flat3Map,34,146,79,67,0.2510072522159549,0.5020145044319098,0.9468115257439773,0.8235294117647058,0.3914343332008802
org.apache.commons.collections4.set.UnmodifiableSortedSet,13,133,23,110,0.18045112781954886,0.3609022556390977,0.8516746411483254,0.6153846153846154,0.1891515686529537
org.apache.commons.collections4.collection.PredicatedCollection,17,477,30,447,0.09581945985941547,0.19163891971883096,0.6741539383048817,0.5882352941176471,0.07599654850643703
org.apache.commons.collections4.iterators.AbstractUntypedIteratorDecorator,3,2554,0,2554,0.6290785695640825,0.741842860871835,0.502163223452931,1.0,0.37252620231094485
org.apache.commons.collections4.functors.CloneTransformer,2,1,0,1,1.0,0.0,0,0.5,0.0
org.apache.commons.collections4.functors.NotNullPredicate,3,7,0,7,0.5714285714285714,0.8571428571428572,0.5238095238095238,1.0,0.44897959183673475
org.apache.commons.collections4.list.AbstractLinkedList,64,332,0,332,0.2584713855421687,0.5169427710843374,0.9929567211443964,0.859375,0.4411187335115016
org.apache.commons.collections4.map.AbstractHashedMap,56,1292,0,1292,0.3337710084033613,0.6675420168067226,0.9916317540102592,0.875,0.5792113783763968
org.apache.commons.collections4.MapUtils,73,38,38,0,0.029199711607786588,0.05839942321557312,0.8961593172119487,0.2465753424657534,0.01290456671534128
org.apache.commons.collections4.bag.TransformedSortedBag,6,63,44,19,0.25396825396825395,0.5079365079365079,0.2928827444956478,0.5,0.0743829192369899
org.apache.commons.collections4.IteratorUtils,68,216,26,190,0.02165032679738562,0.0433006535947712,0.75198105081826,0.5735294117647058,0.01867484659795922
org.apache.commons.collections4.map.ListOrderedMap,45,777,221,556,0.15200915200915202,0.304018304018304,0.9652907694144808,0.9333333333333333,0.27390165842845327
org.apache.commons.collections4.iterators.UnmodifiableOrderedMapIterator,9,163,17,146,0.2774369461486026,0.5548738922972052,0.6601529955313186,0.7777777777777778,0.28490129277720616
org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap,14,565,56,509,0.28305941845764854,0.5661188369152971,0.945371242076194,1.0,0.5351924680173448
org.apache.commons.collections4.map.AbstractReferenceMap,45,272,0,272,0.4643790849673203,0.9287581699346406,0.9702626438029086,0.7777777777777778,0.7008861668778165
org.apache.commons.collections4.map.LazySortedMap,9,49,49,0,0.14058956916099774,0.2811791383219955,0.19557823129251706,0.7777777777777778,0.04277195887173213
org.apache.commons.collections4.comparators.ComparatorChain,13,17,16,1,0.24434389140271492,0.4886877828054299,0.8823529411764706,0.46153846153846156,0.19901312421940584
org.apache.commons.collections4.iterators.TransformIterator,8,179,0,179,0.3680167597765363,0.7360335195530726,0.358420689222271,0.5,0.13190482068445308
org.apache.commons.collections4.queue.CircularFifoQueue,23,41,39,2,0.4591728525980912,0.9183457051961824,0.901219512195122,0.7391304347826086,0.6117273114729396
org.apache.commons.collections4.map.MultiKeyMap,38,142,58,84,0.10952557449962935,0.2190511489992587,0.5650784137448807,0.5789473684210527,0.07166272809791793
org.apache.commons.collections4.map.AbstractInputCheckedMapDecorator,7,480,0,480,0.3223214285714286,0.6446428571428572,0.5717727905358385,1.0,0.36858924532756737
org.apache.commons.collections4.list.TreeList,52,137,52,85,0.3318360471645143,0.6636720943290286,0.9706955775010734,0.8076923076923077,0.5203344193998973
org.apache.commons.collections4.queue.PredicatedQueue,7,37,34,3,0.2857142857142857,0.5714285714285714,0.6291291291291291,1.0,0.3595023595023595
org.apache.commons.collections4.FluentIterable,32,45,26,19,0.08125,0.16249999999999998,0.8454545454545455,0.96875,0.13309303977272724
org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMap,15,218,37,181,0.12935779816513762,0.2587155963302752,0.7480235065319409,0.6666666666666666,0.1290168983743164
org.apache.commons.collections4.functors.ChainedClosure,4,1,0,1,0.75,0.5,0,0.5,0.0
org.apache.commons.collections4.list.NodeCachingLinkedList,11,130,47,83,0.24965034965034966,0.4993006993006993,0.4333929636255217,0.7272727272727273,0.15737702531652767
org.apache.commons.collections4.map.PredicatedMap,9,97,51,46,0.44902634593356244,0.8980526918671249,0.7149914089347079,0.7777777777777778,0.49941107957664216
org.apache.commons.collections4.map.PassiveExpiringMap,21,120,53,67,0.3896825396825397,0.7793650793650794,0.8682072829131653,0.9523809523809523,0.6444289885266276
org.apache.commons.collections4.trie.AbstractPatriciaTrie,80,988,0,988,0.2751897773279352,0.5503795546558704,0.9769882972570543,0.7,0.37640006876383425
org.apache.commons.collections4.multimap.AbstractMultiValuedMap,77,988,482,506,0.10505284189494715,0.21010568378989425,0.990817879395707,0.8051948051948052,0.16762261064707346
org.apache.commons.collections4.functors.ForClosure,4,1,0,1,0.5,1.0,0,0.5,0.0
org.apache.commons.collections4.map.FixedSizeSortedMap,16,374,41,333,0.2837566844919786,0.5675133689839572,0.9399721867786842,0.875,0.46676593466124
org.apache.commons.collections4.set.AbstractNavigableSetDecorator,12,127,0,127,0.1673228346456693,0.33464566929133865,0.3799525059367579,0.25,0.031787365162031914
org.apache.commons.collections4.CollectionUtils,78,214,103,111,0.03241073568176372,0.06482147136352745,0.8754771620376465,0.8974358974358975,0.05092923391270758
org.apache.commons.collections4.bidimap.AbstractDualBidiMap,33,2838,0,2838,0.2578747303905866,0.5157494607811732,0.9707084700485853,1.0,0.5006423700032755
org.apache.commons.collections4.list.SetUniqueList,23,60,60,0,0.21956521739130436,0.4391304347826087,0.9655367231638418,0.9565217391304348,0.4055619279527517
org.apache.commons.collections4.bag.SynchronizedBag,8,62,43,19,0.2842741935483871,0.5685483870967742,0.7546271813855103,1.0,0.4290420668361168
org.apache.commons.collections4.set.TransformedSortedSet,9,212,26,186,0.3642557651991614,0.7285115303983228,0.9100867387999643,0.7777777777777778,0.5156734200165183
org.apache.commons.collections4.multiset.AbstractMultiSet,38,375,156,219,0.1272280701754386,0.25445614035087716,0.9249197860962567,0.5789473684210527,0.13625614252349139
org.apache.commons.collections4.list.FixedSizeList,21,53,35,18,0.1105121293800539,0.22102425876010778,0.7851959361393324,0.5238095238095238,0.09090575463967113
org.apache.commons.collections4.map.TransformedMap,12,445,52,393,0.39831460674157304,0.7966292134831461,0.4218949286365017,0.75,0.2520703688791683
org.apache.commons.collections4.bag.UnmodifiableSortedBag,13,43,23,20,0.1413237924865832,0.28264758497316644,0.7165005537098561,0.6153846153846154,0.124625939161863
org.apache.commons.collections4.list.UnmodifiableList,15,342,22,320,0.15828460038986356,0.31656920077972717,0.872614086535988,0.6666666666666666,0.1841618293092196
