parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.compress.compressors.lz4.BlockLZ4CompressorOutputStream,41,43,0,43,0.6137266023823029,0.7725467952353942,0.9036544850498339,0.34146341463414637,0.23838086024279892
org.apache.commons.compress.archivers.sevenz.AES256SHA256Decoder,7,2,1,1,0.35714285714285715,0.7142857142857143,1.0,0.42857142857142855,0.30612244897959184
org.apache.commons.compress.utils.Charsets,3,1,0,1,0.6666666666666666,0.6666666666666667,0,0.6666666666666666,0.0
org.apache.commons.compress.compressors.lz4.FramedLZ4CompressorOutputStream,19,22,0,22,0.5406698564593302,0.9186602870813396,0.3246753246753247,0.21052631578947367,0.06279291094199177
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,68,51,0,51,0.566320645905421,0.8673587081891581,0.8729411764705882,0.3235294117647059,0.244961307136329
org.apache.commons.compress.compressors.lz77support.AbstractLZ77CompressorInputStream,18,46,0,46,0.7584541062801933,0.48309178743961345,0.4772946859903382,0.4444444444444444,0.10247873021800066
org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp,31,29,0,29,0.289210233592881,0.578420467185762,0.7487684729064039,0.6129032258064516,0.2654502318818498
org.apache.commons.compress.utils.ArchiveUtils,14,130,24,106,0.17087912087912088,0.34175824175824177,0.6481812760882528,0.7142857142857143,0.15822949518323912
org.apache.commons.compress.archivers.zip.X0015_CertificateIdForFile,4,1,1,0,0.25,0.5,0,0.5,0.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry,55,34,0,34,0.5128342245989305,0.9743315508021391,0.9162210338680927,0.38181818181818183,0.3408502595805636
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,45,122,0,122,0.28797814207650274,0.5759562841530055,0.7389242650047418,0.4666666666666667,0.19860776783989018
org.apache.commons.compress.archivers.zip.Zip64Mode,3,1,1,0,0.3333333333333333,0.6666666666666666,0,0.6666666666666666,0.0
org.apache.commons.compress.archivers.zip.ExtraFieldUtils,10,121,8,113,0.28677685950413223,0.5735537190082645,0.79366391184573,0.8,0.3641671106254127
org.apache.commons.compress.compressors.lz77support.Parameters,8,63,2,61,0.7757936507936508,0.4484126984126984,0.6221198156682028,1.0,0.2789664252797893
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,17,68,54,14,0.1903114186851211,0.3806228373702423,0.36830553116769094,0.47058823529411764,0.06596964531397681
org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding,14,9,0,9,0.3888888888888889,0.7777777777777778,0.7777777777777778,0.35714285714285715,0.2160493827160494
org.apache.commons.compress.archivers.tar.TarArchiveEntry,75,91,0,91,0.24952380952380954,0.4990476190476191,0.9765567765567765,0.49333333333333335,0.24042517820803536
org.apache.commons.compress.archivers.zip.StreamCompressor,26,53,0,53,0.5820029027576198,0.8359941944847604,0.7743105950653121,0.46153846153846156,0.29876269024737284
