parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.fileupload.disk.DiskFileItem,33,33,0.03125,0.31955922865013775,0.6391184573002755,0.9545454545454546,0.5757575757575758,0.3512510529790771
org.apache.commons.fileupload.MultipartStream,35,22,0.0,0.6441558441558441,0.7116883116883117,0.5974025974025974,0.22857142857142856,0.09718044478712382
org.apache.commons.fileupload.FileUploadBase,58,22,0.0,0.4067398119122257,0.8134796238244514,0.7575757575757576,0.3793103448275862,0.23375851259323313
org.apache.commons.fileupload.disk.DiskFileItemFactory,9,32,0.0,0.3715277777777778,0.7430555555555556,0.6875,0.5555555555555556,0.28380594135802467
org.apache.commons.fileupload.MockHttpServletRequest,61,22,0.0,0.13710879284649777,0.2742175856929956,0.6190476190476191,0.11475409836065574,0.01947993778146963
org.apache.commons.fileupload.servlet.ServletFileUpload,6,20,0.3333333333333333,0.2916666666666667,0.5833333333333334,0.6,1.0,0.35000000000000003
org.apache.commons.fileupload.HttpServletRequestFactory,4,2,-1,0.25,0.5,1.0,0.75,0.375
org.apache.commons.fileupload.FileItemStream,1,0,-1,0,0.0,0,0,0.0
org.apache.commons.fileupload.DefaultFileItemFactory,3,7,0.4,0.5714285714285714,0.8571428571428572,0.47619047619047616,0.6666666666666666,0.27210884353741494
org.apache.commons.fileupload.InvalidFileNameException,2,1,0.0,1.0,0.0,0,0.5,0.0
org.apache.commons.fileupload.util.Streams,6,21,0.10526315789473684,0.38095238095238093,0.7619047619047619,0.6,0.5,0.22857142857142854
org.apache.commons.fileupload.util.mime.QuotedPrintableDecoder,3,12,1.0,0.5,1.0,0.5454545454545454,1.0,0.5454545454545454
org.apache.commons.fileupload.util.mime.MimeUtility,4,30,4.0,0.3416666666666667,0.6833333333333333,0.3425287356321839,1.0,0.23406130268199232
org.apache.commons.fileupload.ParameterParser,12,28,0.0,0.8779761904761905,0.24404761904761907,0.5317460317460317,0.4166666666666667,0.05407139707734947
org.apache.commons.fileupload.util.LimitedInputStream,6,3,0.0,0.7222222222222222,0.5555555555555556,0.6666666666666667,0.5,0.1851851851851852
org.apache.commons.fileupload.servlet.ServletRequestContext,7,22,0.0,0.8181818181818182,0.36363636363636354,0.17748917748917747,0.5714285714285714,0.03688086804969921
org.apache.commons.fileupload.DiskFileUpload,9,2,-1,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.0
org.apache.commons.fileupload.FileUploadException,6,8,0.0,0.3333333333333333,0.6666666666666666,0.25,0.6666666666666666,0.1111111111111111
org.apache.commons.fileupload.util.FileItemHeadersImpl,5,19,0.0,0.6210526315789474,0.7578947368421052,0.10526315789473684,0.4,0.03191135734072022
org.apache.commons.fileupload.util.mime.ParseException,1,0,-1,0,0.0,0,0,0.0
org.apache.commons.fileupload.FileUpload,68,22,0.0,0.3850267379679144,0.7700534759358288,0.8354978354978355,0.4117647058823529,0.26492035803139924
org.apache.commons.fileupload.DefaultFileItem,4,7,0.4,0.6071428571428571,0.7857142857142858,0.47619047619047616,0.5,0.1870748299319728
org.apache.commons.fileupload.util.mime.Base64Decoder,2,18,-1,0.5,1.0,0.0,1.0,0.0
