parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.io.input.ClassLoaderObjectInputStream,3,6,0.2,0.6111111111111112,0.7777777777777777,0.6,1.0,0.46666666666666656
org.apache.commons.io.input.compatibility.XmlStreamReader,29,7,0.0,0.5763546798029556,0.8472906403940887,0.47619047619047616,0.10344827586206896,0.041738455191827034
org.apache.commons.io.EndianUtils,31,30,0.15384615384615385,0.0935483870967742,0.18709677419354842,0.9908045977011495,0.8709677419354839,0.16145681581685747
org.apache.commons.io.FileUtils,116,567,0.0779467680608365,0.049352307972997625,0.09870461594599522,0.8346389465352952,0.8103448275862069,0.0667584083371174
org.apache.commons.io.monitor.FileEntry,19,11,0.0,0.3684210526315789,0.7368421052631579,0.6181818181818182,0.21052631578947367,0.09589524049357843
org.apache.commons.io.filefilter.FileFilterUtils,43,54,0.3170731707317073,0.07838070628768304,0.15676141257536602,0.9552760307477288,0.7674418604651163,0.11492474091442537
org.apache.commons.io.FilenameUtils,40,87,0.16,0.08304597701149426,0.16609195402298849,0.9476075915530606,1.0,0.1573899965280658
org.apache.commons.io.output.CloseShieldOutputStream,2,1,0.0,1.0,0.0,0,0.5,0.0
org.apache.commons.io.IOUtils,130,394,0.042328042328042326,0.031140179617336977,0.0622803592346739,0.9442011857248034,0.7923076923076923,0.04659180362142167
org.apache.commons.io.comparator.ExtensionFileComparator,7,15,0.36363636363636365,0.2761904761904762,0.5523809523809524,0.7904761904761904,0.8571428571428571,0.3742662779397473
org.apache.commons.io.filefilter.OrFileFilter,10,33,0.32,0.23030303030303031,0.4606060606060607,0.7462121212121212,0.9,0.30933884297520664
org.apache.commons.io.filefilter.AndFileFilter,10,36,0.2413793103448276,0.26666666666666666,0.5333333333333333,0.8428571428571429,1.0,0.4495238095238095
org.apache.commons.io.IOCase,14,109,2.892857142857143,0.09043250327653997,0.1808650065530799,0.863234794427455,0.9285714285714286,0.14497689769732766
org.apache.commons.io.output.BrokenOutputStream,5,4,0.0,0.5,1.0,1.0,1.0,1.0
org.apache.commons.io.input.ObservableInputStream,21,3,0.0,0.5873015873015873,0.8253968253968254,1.0,0.2857142857142857,0.23582766439909295
org.apache.commons.io.output.NullOutputStream,4,8,0.14285714285714285,0.53125,0.9375,0.4642857142857143,0.75,0.32645089285714285
org.apache.commons.io.DirectoryWalker,20,19,0.0,0.5052631578947369,0.9894736842105263,0.8888888888888888,0.6,0.5277192982456139
org.apache.commons.io.input.BoundedInputStream,14,2,0.0,0.21428571428571427,0.4285714285714286,1.0,0.2857142857142857,0.12244897959183673
org.apache.commons.io.filefilter.HiddenFileFilter,2,5,4.0,0.6,0.8,0.4,1.0,0.32000000000000006
org.apache.commons.io.input.ProxyReader,14,2,0.0,0.39285714285714285,0.7857142857142857,1.0,0.2857142857142857,0.22448979591836732
org.apache.commons.io.output.ChunkedWriter,3,3,0.5,0.6666666666666666,0.6666666666666667,1.0,1.0,0.6666666666666667
org.apache.commons.io.LineIterator,8,16,0.23076923076923078,0.703125,0.59375,0.8916666666666666,0.875,0.4632486979166667
org.apache.commons.io.input.CharSequenceInputStream,14,28,0.0,0.48214285714285715,0.9642857142857143,0.8915343915343915,0.7857142857142857,0.6754737609329446
org.apache.commons.io.input.Tailer,27,10,0.0,0.3,0.6,0.9111111111111111,0.2962962962962963,0.1619753086419753
org.apache.commons.io.filefilter.PrefixFileFilter,9,3,0.0,0.6296296296296297,0.7407407407407407,1.0,0.4444444444444444,0.3292181069958847
org.apache.commons.io.filefilter.RegexFileFilter,5,1,0.0,1.0,0.0,0,0.2,0.0
org.apache.commons.io.output.WriterOutputStream,15,12,0.0,0.6333333333333333,0.7333333333333334,0.696969696969697,0.4,0.20444444444444448
org.apache.commons.io.input.NullInputStream,16,9,0.0,0.4027777777777778,0.8055555555555556,0.9166666666666666,0.6875,0.5076678240740741
org.apache.commons.io.input.InfiniteCircularInputStream,2,2,0.0,1.0,0.0,0.0,0.5,0.0
org.apache.commons.io.serialization.MoreComplexObject,2,3,0.0,1.0,0.0,0.0,0.5,0.0
org.apache.commons.io.FileCleaningTracker,14,18,0.0,0.5158730158730159,0.9682539682539681,0.9803921568627451,0.7142857142857143,0.6780489973767283
org.apache.commons.io.input.TeeInputStream,6,7,0.0,0.47619047619047616,0.9523809523809523,0.7142857142857143,0.8333333333333334,0.5668934240362812
org.apache.commons.io.output.NullWriter,11,5,0.0,0.38181818181818183,0.7636363636363637,1.0,0.7272727272727273,0.5553719008264463
org.apache.commons.io.output.LockableFileWriter,19,5,0.6666666666666666,0.2,0.4,0.8,0.2631578947368421,0.08421052631578949
org.apache.commons.io.input.MessageDigestCalculatingInputStream,7,1,0.0,0.7142857142857143,0.5714285714285714,0,0.2857142857142857,0.0
org.apache.commons.io.output.ThresholdingOutputStream,12,131,0.11016949152542373,0.4586513994910941,0.9173027989821882,0.47175572519083975,0.5833333333333334,0.2524333275061671
org.apache.commons.io.ThreadMonitor,6,25,0.0,0.5333333333333333,0.9333333333333333,0.15666666666666662,0.5,0.07311111111111109
org.apache.commons.io.monitor.FileAlterationMonitor,12,4,0.0,0.5416666666666666,0.9166666666666667,1.0,0.5,0.45833333333333337
org.apache.commons.io.input.AutoCloseInputStream,4,4,0.0,0.75,0.5,0.0,0.5,0.0
org.apache.commons.io.output.FileWriterWithEncoding,20,11,0.0,0.35454545454545455,0.7090909090909091,0.9272727272727272,0.6,0.39451239669421484
org.apache.commons.io.filefilter.WildcardFilter,5,1,0.0,1.0,0.0,0,0.2,0.0
org.apache.commons.io.input.XmlStreamReader,30,39,0.25806451612903225,0.2863247863247863,0.5726495726495726,0.921727395411606,0.7,0.36947875935730184
org.apache.commons.io.input.SwappedDataInputStream,16,14,0.0,0.14285714285714285,0.2857142857142857,1.0,0.9375,0.26785714285714285
org.apache.commons.io.input.XmlStreamReaderException,7,19,0.0,0.7819548872180451,0.43609022556390986,0.7134502923976609,0.7142857142857143,0.222234784957381
org.apache.commons.io.filefilter.DelegateFileFilter,5,2,0.0,0.8,0.3999999999999999,1.0,0.4,0.15999999999999998
org.apache.commons.io.filefilter.SuffixFileFilter,9,15,0.0,0.35555555555555557,0.7111111111111111,0.7523809523809524,0.7777777777777778,0.4161316872427984
org.apache.commons.io.filefilter.TrueFileFilter,3,22,2.6666666666666665,0.48484848484848486,0.9696969696969697,0.7142857142857143,1.0,0.6926406926406927
org.apache.commons.io.serialization.ValidatingObjectInputStream,12,21,0.0,0.39285714285714285,0.7857142857142857,0.9571428571428572,0.8333333333333334,0.6267006802721089
org.apache.commons.io.monitor.FileAlterationObserver,23,11,0.0,0.5019762845849802,0.9960474308300395,0.9272727272727272,0.43478260869565216,0.4015685294255495
org.apache.commons.io.comparator.PathFileComparator,7,8,0.6,0.30357142857142855,0.6071428571428571,0.9642857142857143,0.7142857142857143,0.4181851311953353
org.apache.commons.io.FileSystemUtils,13,28,0.0,0.28296703296703296,0.5659340659340659,0.835978835978836,0.6923076923076923,0.3275369319325363
org.apache.commons.io.input.NullReader,15,9,0.0,0.37777777777777777,0.7555555555555555,1.0,0.7333333333333333,0.554074074074074
org.apache.commons.io.input.ReaderInputStream,12,8,0.0,0.5729166666666666,0.8541666666666667,0.8214285714285714,0.5833333333333334,0.4092881944444445
org.apache.commons.io.output.ProxyWriter,14,21,0.0,0.35714285714285715,0.7142857142857143,0.9952380952380953,0.9285714285714286,0.6601068999028183
