package,number_of_components,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.commons.lang3.CharUtils,24,26,0.06570512820512821,0.1314102564102564,0.9938461538461538,1.0,0.13060157790927018,1.8888888888888888
org.apache.commons.lang3.builder.EqualsBuilder,39,99,0.35534835534835535,0.7106967106967107,0.9884559884559885,0.8461538461538461,0.5944166627927312,0.0
org.apache.commons.lang3.CharSequenceUtils,8,56,0.125,0.25,0.7532467532467533,1.0,0.18831168831168832,-1
org.apache.commons.lang3.time.DurationFormatUtils,21,27,0.3527336860670194,0.7054673721340388,0.9601139601139601,0.7142857142857143,0.4838064802791434,0.08
org.apache.commons.lang3.mutable.MutableInt,32,35,0.10267857142857142,0.2053571428571428,0.9378151260504202,0.90625,0.17453200030011998,0.029411764705882353
org.apache.commons.lang3.text.StrBuilder,166,230,0.054766893661602936,0.10953378732320584,0.9719005126257831,0.8072289156626506,0.08593431628073382,0.0
org.apache.commons.lang3.time.FastDateFormat,43,732,0.11262549243868344,0.22525098487736694,0.27182241558460973,0.6976744186046512,0.04271739545733368,0.0013679890560875513
org.apache.commons.lang3.mutable.MutableDouble,34,26,0.09389140271493213,0.18778280542986425,0.9969230769230769,0.8823529411764706,0.16518089310210682,0.04
org.apache.commons.lang3.reflect.TypeUtils,76,59,0.11953612845673506,0.23907225691347012,0.7264757451782583,0.5526315789473685,0.09598116094331278,0.09259259259259259
org.apache.commons.lang3.ArrayUtils,303,566,0.009434512355829223,0.01886902471165841,0.9870164795647144,0.900990099009901,0.016780074151273094,0.35406698564593303
org.apache.commons.lang3.StringEscapeUtils,18,30,0.08888888888888889,0.1777777777777778,0.9701149425287356,0.9444444444444444,0.1628834965233433,1.3076923076923077
org.apache.commons.lang3.builder.ToStringStyle,116,200,0.15870689655172412,0.3174137931034482,0.9774371859296482,0.7327586206896551,0.22733986034512627,0.02040816326530612
org.apache.commons.lang3.concurrent.TimedSemaphore,21,17,0.49859943977591037,0.9971988795518207,0.9852941176470589,0.9047619047619048,0.8889595053707758,0.0625
org.apache.commons.lang3.Range,28,24,0.20535714285714285,0.4107142857142857,0.9891304347826086,0.8571428571428571,0.34821428571428564,0.0
org.apache.commons.lang3.Conversion,43,42,0.03045404208194906,0.060908084163898146,1.0,1.0,0.060908084163898146,2.230769230769231
org.apache.commons.lang3.concurrent.ConstantInitializer,6,8,0.5,1.0,0.8928571428571429,0.8333333333333334,0.7440476190476191,0.0
org.apache.commons.lang3.Validate,51,417,0.027742511872854658,0.055485023745709294,0.7047823279837668,0.9803921568627451,0.03833810216052508,4.2125
org.apache.commons.lang3.StringUtils,228,528,0.007883107389686337,0.015766214779372678,0.9338522799148985,0.9342105263157895,0.01375467643199349,0.9411764705882353
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,14,17,0.6050420168067226,0.7899159663865547,0.8676470588235294,0.7857142857142857,0.5385036367488173,0.0
org.apache.commons.lang3.builder.StandardToStringStyle,41,8,0.024390243902439025,0.04878048780487809,0.0,0.04878048780487805,0.0,-1
org.apache.commons.lang3.ObjectUtils,37,89,0.033707865168539325,0.0674157303370786,0.7729826353421859,0.7027027027027027,0.036618673280710876,5.846153846153846
org.apache.commons.lang3.ClassUtils,55,170,0.045454545454545456,0.09090909090909094,0.9126348764357815,0.7636363636363637,0.06335647076083113,0.19718309859154928
org.apache.commons.lang3.concurrent.BasicThreadFactory,19,15,0.6280701754385964,0.7438596491228071,0.9333333333333333,0.47368421052631576,0.32886426592797785,0.0
org.apache.commons.lang3.mutable.MutableByte,33,25,0.0993939393939394,0.19878787878787874,0.9966666666666667,0.8787878787878788,0.17411007040097945,0.041666666666666664
org.apache.commons.lang3.time.FormatCache,11,710,0.3144686299615877,0.6289372599231754,0.502802995689227,0.9090909090909091,0.28748321671813326,0.0
org.apache.commons.lang3.text.StrTokenizer,66,56,0.2591991341991342,0.5183982683982684,0.9863636363636363,0.6515151515151515,0.33313872193004423,0.0
org.apache.commons.lang3.BitField,18,15,0.14444444444444443,0.28888888888888886,1.0,0.8333333333333334,0.24074074074074073,0.5
org.apache.commons.lang3.exception.ContextedException,14,14,0.33163265306122447,0.6632653061224489,0.989010989010989,0.9285714285714286,0.6091211995002082,0.0
org.apache.commons.lang3.time.FastDatePrinter,47,760,0.4342385218365062,0.8684770436730124,0.3267630538797587,0.723404255319149,0.20529215264919096,0.003963011889035667
org.apache.commons.lang3.time.FastDateParser,51,1040,0.35718325791855204,0.7143665158371041,0.6048215739986673,0.5294117647058824,0.2287399132167571,0.0
org.apache.commons.lang3.reflect.ConstructorUtils,9,7,0.42857142857142855,0.8571428571428571,0.8571428571428572,0.6666666666666666,0.4897959183673469,0.0
org.apache.commons.lang3.tuple.Pair,10,116,0.371551724137931,0.743103448275862,0.7634182908545727,1.0,0.567298764410898,0.3181818181818182
org.apache.commons.lang3.concurrent.ConcurrentException,3,8,0.3333333333333333,0.6666666666666666,0.5357142857142857,1.0,0.3571428571428571,-1
org.apache.commons.lang3.text.StrSubstitutor,55,41,0.4270509977827051,0.8541019955654102,0.9158536585365854,0.6181818181818182,0.4835618703939509,0.0
org.apache.commons.lang3.concurrent.Memoizer,7,6,0.9285714285714286,0.1428571428571428,0.7333333333333334,0.42857142857142855,0.04489795918367345,0.0
org.apache.commons.lang3.builder.DiffBuilder,42,45,0.36455026455026457,0.7291005291005291,0.9737373737373738,0.6428571428571429,0.45639799354085075,0.046511627906976744
org.apache.commons.lang3.exception.ExceptionUtils,29,52,0.11074270557029178,0.2214854111405835,0.8710407239819005,0.8275862068965517,0.15966025892799124,0.7333333333333333
org.apache.commons.lang3.builder.IDKey,3,51,1.0,0.0,0.0,0.3333333333333333,0.0,0.0
org.apache.commons.lang3.reflect.FieldUtils,35,68,0.07605042016806722,0.15210084033613447,0.974539069359087,1.0,0.14822821138991157,0.3877551020408163
org.apache.commons.lang3.builder.ToStringBuilder,63,185,0.1226083226083226,0.2452166452166452,0.9558166862514689,0.5555555555555556,0.13021231180259774,0.005434782608695652
org.apache.commons.lang3.math.NumberUtils,57,108,0.04597141000649772,0.09194282001299547,0.9889235029421946,0.9824561403508771,0.08932925045101,0.6363636363636364
org.apache.commons.lang3.event.EventListenerSupport,18,16,0.6006944444444444,0.7986111111111112,0.8916666666666666,0.5555555555555556,0.3956082818930042,0.0
org.apache.commons.lang3.RandomStringUtils,20,18,0.2,0.4,0.9934640522875817,1.0,0.3973856209150327,0.2
org.apache.commons.lang3.concurrent.BackgroundInitializer,14,36,0.7797619047619048,0.44047619047619047,0.8126984126984127,0.6428571428571429,0.23012633624878523,0.0
org.apache.commons.lang3.CharRange,21,38,0.2644110275689223,0.5288220551378446,0.9701280227596017,0.6190476190476191,0.3175869634120525,0.0
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,4,4,0.5625,0.875,0.8333333333333334,1.0,0.7291666666666667,0.0
org.apache.commons.lang3.builder.Diff,54,50,0.31148148148148147,0.6229629629629629,0.9918367346938776,0.7222222222222222,0.4462448979591837,0.16279069767441862
org.apache.commons.lang3.mutable.MutableShort,33,22,0.10606060606060606,0.21212121212121215,1.0,0.8181818181818182,0.1735537190082645,0.0
org.apache.commons.lang3.SerializationUtils,9,36,0.2962962962962963,0.5925925925925926,0.8825396825396825,0.8888888888888888,0.46487686981514137,0.6363636363636364
org.apache.commons.lang3.mutable.MutableLong,32,27,0.10300925925925926,0.2060185185185185,0.9943019943019943,0.90625,0.1856404403424079,0.038461538461538464
org.apache.commons.lang3.JavaVersion,9,55,0.12323232323232323,0.2464646464646465,0.1070707070707071,0.6666666666666666,0.0175927626432677,26.5
org.apache.commons.lang3.BooleanUtils,41,77,0.029141590117199873,0.05828318023439971,0.9818865345181135,1.0,0.05722746986104934,4.133333333333334
