parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.math4.linear.MatrixUtils,43,678,39,639,0.10959045071002264,0.21918090142004532,0.930414852964885,0.7674418604651163,0.15650377868664186
org.apache.commons.math4.fitting.leastsquares.StatisticalReferenceDatasetFactory,10,14,0,14,0.5,1.0,0.4945054945054945,0.4,0.19780219780219782
org.apache.commons.math4.util.Precision,22,906,327,579,0.09206301424844471,0.18412602849688942,0.8140426621784786,0.7727272727272727,0.11582134186533141
org.apache.commons.math4.util.ArithmeticUtils,23,242,69,173,0.1015091627739849,0.20301832554796984,0.8352251294537224,1.0,0.16956600723728107
org.apache.commons.math4.util.Pair,10,362,7,355,0.31988950276243094,0.6397790055248619,0.7051315406865521,0.9,0.40601552027819043
org.apache.commons.math4.linear.BlockFieldMatrix,52,46,0,46,0.1943979933110368,0.3887959866220736,0.9932367149758454,0.75,0.28962483641122583
org.apache.commons.math4.ml.clustering.FuzzyKMeansClusterer,18,6,1,5,0.35185185185185186,0.7037037037037037,0.8,0.2777777777777778,0.15637860082304528
org.apache.commons.math4.distribution.BetaDistribution,17,5,0,5,0.5411764705882353,0.9176470588235295,1.0,0.29411764705882354,0.2698961937716263
org.apache.commons.math4.linear.AbstractRealMatrix,60,739,176,563,0.0897383852052323,0.17947677041046461,0.9506217660282151,0.8333333333333334,0.14217877037386364
org.apache.commons.math4.util.Decimal64,93,222,2,220,0.17930834059866319,0.35861668119732637,0.9867922220863398,0.7526881720430108,0.26636140451737284
org.apache.commons.math4.ode.nonstiff.AdamsNordsieckTransformer,7,20,5,15,0.4357142857142857,0.8714285714285714,0.6421052631578947,0.7142857142857143,0.3996777658431794
org.apache.commons.math4.stat.descriptive.summary.Sum,29,274,16,258,0.18109740750062925,0.3621948150012585,0.9276757305954386,0.7931034482758621,0.26648223487434347
org.apache.commons.math4.exception.util.ExceptionContext,18,1140,0,1140,0.11345029239766082,0.2269005847953216,0.026123253700537585,0.7222222222222222,0.004280886668795047
org.apache.commons.math4.ode.nonstiff.AdamsFieldStepInterpolator,5,8,0,8,0.8,0.3999999999999999,0.0,0.4,0.0
