parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.rng.core.source32.ISAACRandom,10,14,14,0,0.44285714285714284,0.8857142857142857,0.5934065934065934,0.5,0.2627943485086342
org.apache.commons.rng.core.source64.TwoCmres,12,27,27,0,0.30246913580246915,0.6049382716049383,0.7492877492877492,0.75,0.339954626991664
org.apache.commons.rng.core.source32.MultiplyWithCarry256,4,13,13,0,0.34615384615384615,0.6923076923076923,0.5256410256410257,1.0,0.363905325443787
org.apache.commons.rng.core.source64.MersenneTwister64,5,13,13,0,0.2923076923076923,0.5846153846153846,0.5256410256410257,0.8,0.24583826429980282
org.apache.commons.rng.core.source32.Well44497b,1,12,12,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.rng.core.util.NumberFactory,18,123,10,113,0.15898825654923215,0.3179765130984643,0.9156337465013994,0.9444444444444444,0.2749750245440316
org.apache.commons.rng.core.source32.KISSRandom,5,13,13,0,0.46153846153846156,0.9230769230769231,0.5256410256410257,0.8,0.38816568047337285
org.apache.commons.rng.core.source64.LongProvider,8,79,0,79,0.2199367088607595,0.439873417721519,0.863356053229471,1.0,0.37976737784460907
org.apache.commons.rng.core.BaseProvider,14,295,4,291,0.13365617433414043,0.2673123486682809,0.8379338175948345,0.9285714285714286,0.20799076703772165
org.apache.commons.rng.core.source32.AbstractWell,10,78,0,78,0.46923076923076923,0.9384615384615385,0.7492507492507492,0.7,0.49220010758472293
org.apache.commons.rng.core.source64.XorShift1024Star,4,13,13,0,0.34615384615384615,0.6923076923076923,0.5256410256410257,1.0,0.363905325443787
org.apache.commons.rng.core.source32.MersenneTwister,5,13,13,0,0.2923076923076923,0.5846153846153846,0.5256410256410257,0.8,0.24583826429980282
org.apache.commons.rng.core.source32.Well1024a,1,12,12,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.rng.core.source32.IntProvider,8,177,0,177,0.21045197740112995,0.42090395480225995,0.8559322033898304,1.0,0.360265249449392
org.apache.commons.rng.core.source64.SplitMix64,4,13,13,0,0.34615384615384615,0.6923076923076923,0.5256410256410257,1.0,0.363905325443787
org.apache.commons.rng.core.source32.Well19937a,1,24,12,12,1.0,0.0,0.0,1.0,0.0
org.apache.commons.rng.core.RandomAssert,2,14,0,14,0.5,1.0,0.3626373626373627,1.0,0.3626373626373627
org.apache.commons.rng.core.ProvidersList,,,,,,,,,
org.apache.commons.rng.core.source32.Well19937c,1,12,12,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.rng.core.source32.JDKRandom,3,12,12,0,0.4444444444444444,0.8888888888888888,0.303030303030303,0.6666666666666666,0.1795735129068462
org.apache.commons.rng.core.source32.Well44497a,1,24,12,12,1.0,0.0,0.0,1.0,0.0
org.apache.commons.rng.core.RandomProviderDefaultState,1,49,1,48,1.0,0.0,0.0,1.0,0.0
org.apache.commons.rng.core.source32.Well512a,1,12,12,0,1.0,0.0,0.0,1.0,0.0
