parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.validator.Field,50,120,0,120,0.2931666666666667,0.5863333333333334,0.6953781512605042,0.22,0.08969914565826331
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,4,14,0,14,0.5714285714285714,0.8571428571428572,0.4725274725274725,0.75,0.3037676609105181
org.apache.commons.validator.routines.ByteValidator,14,12,0,12,0.25,0.5,0.6818181818181819,0.35714285714285715,0.12175324675324677
org.apache.commons.validator.ValidatorAction,38,111,0,111,0.5972024656235183,0.8055950687529634,0.6914004914004914,0.18421052631578946,0.1026032048641916
org.apache.commons.validator.util.ValidatorUtils,5,100,91,9,0.218,0.43599999999999994,0.1836363636363636,0.6,0.048039272727272715
org.apache.commons.validator.routines.LongValidator,14,12,0,12,0.24404761904761904,0.48809523809523814,0.6363636363636364,0.35714285714285715,0.11093073593073594
org.apache.commons.validator.routines.AbstractCalendarValidator,16,25,3,22,0.2825,0.565,0.8166666666666667,0.625,0.28838541666666667
org.apache.commons.validator.GenericTypeValidatorImpl,15,5,2,3,0.29333333333333333,0.5866666666666667,0.8,0.26666666666666666,0.12515555555555558
org.apache.commons.validator.routines.CodeValidator,12,39,5,34,0.21581196581196582,0.43162393162393164,0.7908232118758435,0.9166666666666666,0.3128933719352073
org.apache.commons.validator.util.Flags,14,15,0,15,0.19047619047619047,0.38095238095238093,0.8857142857142857,0.8571428571428571,0.28921282798833814
org.apache.commons.validator.routines.CalendarValidator,19,10,0,10,0.20526315789473684,0.41052631578947363,0.7555555555555555,0.2631578947368421,0.08162511542012925
org.apache.commons.validator.routines.AbstractNumberValidator,11,106,14,92,0.44939965694682676,0.8987993138936535,0.874752920035939,0.7272727272727273,0.5718016904398342
org.apache.commons.validator.ValidatorResources,29,112,0,112,0.6419334975369458,0.7161330049261083,0.3928571428571429,0.4827586206896552,0.13581832852046885
org.apache.commons.validator.NameBean,7,38,0,38,0.6541353383458647,0.6917293233082706,0.8933143669985775,1.0,0.6179317425854821
org.apache.commons.validator.TypeBean,17,3,0,3,0.8431372549019608,0.3137254901960784,0.6666666666666667,0.17647058823529413,0.03690888119953865
org.apache.commons.validator.routines.DomainValidator,23,70,0,70,0.35341614906832297,0.7068322981366459,0.8443064182194617,0.6956521739130435,0.41515342324979637
org.apache.commons.validator.routines.DoubleValidator,14,12,0,12,0.24404761904761904,0.48809523809523814,0.6363636363636364,0.35714285714285715,0.11093073593073594
org.apache.commons.validator.routines.ISBNValidator,11,11,0,11,0.35537190082644626,0.7107438016528925,0.9818181818181818,0.9090909090909091,0.6343828973430776
org.apache.commons.validator.routines.CurrencyValidator,4,6,1,5,0.5833333333333334,0.8333333333333333,0.9333333333333333,1.0,0.7777777777777777
org.apache.commons.validator.ParameterValidatorImpl,2,1,1,0,0.5,1.0,0,1.0,0.0
org.apache.commons.validator.Form,40,111,0,111,0.5936936936936937,0.8126126126126125,0.47354627354627354,0.275,0.10582266049833618
org.apache.commons.validator.routines.checkdigit.ModulusCheckDigit,8,124,11,113,0.4183467741935484,0.8366935483870968,0.8924731182795699,1.0,0.7467265001734305
org.apache.commons.validator.CreditCardValidator,7,2,0,2,0.7142857142857143,0.5714285714285714,1.0,0.42857142857142855,0.24489795918367344
org.apache.commons.validator.Validator,111,112,0,112,0.49332368082368083,0.9866473616473617,0.7890926640926641,0.21621621621621623,0.16833647462104107
org.apache.commons.validator.FormSet,23,111,0,111,0.6227967097532315,0.7544065804935369,0.31924651924651926,0.2608695652173913,0.06282826302240802
org.apache.commons.validator.routines.PercentValidator,4,3,0,3,0.9166666666666666,0.16666666666666674,0.6666666666666667,0.5,0.05555555555555559
org.apache.commons.validator.Arg,13,47,0,47,0.4779050736497545,0.955810147299509,0.36447733580018504,0.3076923076923077,0.10719111877492538
org.apache.commons.validator.routines.IBANValidator,11,11,3,8,0.256198347107438,0.512396694214876,0.9090909090909091,0.6363636363636364,0.2964278396284406
org.apache.commons.validator.GenericTypeValidator,31,58,53,5,0.053948832035595105,0.10789766407119017,0.8342407743496673,0.3225806451612903,0.02903633252428063
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,4,6,1,5,0.5,1.0,0.8666666666666667,1.0,0.8666666666666667
org.apache.commons.validator.ValidatorResult,24,100,0,100,0.40291666666666665,0.8058333333333333,0.25515151515151513,0.25,0.051402398989898984
org.apache.commons.validator.routines.ShortValidator,14,12,0,12,0.25,0.5,0.6818181818181819,0.35714285714285715,0.12175324675324677
org.apache.commons.validator.ValueBean,3,55,0,55,0.9333333333333333,0.1333333333333333,0.32592592592592595,0.6666666666666666,0.028971193415637853
org.apache.commons.validator.routines.ISSNValidator,5,6,4,2,0.26666666666666666,0.5333333333333333,0.7333333333333334,0.8,0.31288888888888894
org.apache.commons.validator.routines.BigIntegerValidator,11,12,0,12,0.2878787878787879,0.5757575757575758,0.6363636363636364,0.45454545454545453,0.1665414475331831
org.apache.commons.validator.GenericValidator,46,95,4,91,0.0494279176201373,0.09885583524027464,0.9041433370660694,0.34782608695652173,0.031088641656554943
org.apache.commons.validator.routines.checkdigit.CUSIPCheckDigit,3,8,0,8,0.7083333333333334,0.5833333333333333,0.25,0.6666666666666666,0.09722222222222221
org.apache.commons.validator.routines.checkdigit.ModulusTenCheckDigit,7,38,2,36,0.5451127819548872,0.9097744360902256,0.8790896159317212,0.8571428571428571,0.6855199368060467
org.apache.commons.validator.routines.TimeValidator,16,7,0,7,0.30357142857142855,0.6071428571428571,1.0,0.4375,0.265625
org.apache.commons.validator.routines.IntegerValidator,14,12,0,12,0.25,0.5,0.6818181818181819,0.35714285714285715,0.12175324675324677
org.apache.commons.validator.ISBNValidator,2,1,0,1,1.0,0.0,0,0.5,0.0
org.apache.commons.validator.routines.BigDecimalValidator,12,20,3,17,0.2833333333333333,0.5666666666666667,0.8526315789473684,0.6666666666666666,0.3221052631578947
org.apache.commons.validator.routines.UrlValidator,17,24,0,24,0.6887254901960784,0.6225490196078431,0.6630434782608696,0.5882352941176471,0.24281003961686978
org.apache.commons.validator.routines.FloatValidator,14,13,0,13,0.25824175824175827,0.5164835164835165,0.7307692307692308,0.42857142857142855,0.16175582659099144
org.apache.commons.validator.routines.DateValidator,19,8,0,8,0.23684210526315788,0.4736842105263157,0.7857142857142857,0.21052631578947367,0.0783537791848041
