parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
nl.tudelft.jpacman.Launcher,2,1,0,1,1.0,0.0,0,0.5,0.0
nl.tudelft.jpacman.board.BoardFactory,2,14,5,9,0.8214285714285714,0.3571428571428572,0.4945054945054945,1.0,0.1766091051805338
nl.tudelft.jpacman.level.MapParser,1,9,9,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.level.Level,4,17,6,11,0.4264705882352941,0.8529411764705882,0.6764705882352942,1.0,0.5769896193771626
nl.tudelft.jpacman.sprite.AnimatedSprite,2,4,0,4,1.0,0.0,0.0,0.5,0.0
nl.tudelft.jpacman.npc.ghost.Inky,1,2,2,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.ui.PacManUI,2,1,0,1,1.0,0.0,0,0.5,0.0
nl.tudelft.jpacman.npc.ghost.Navigation,2,6,6,0,0.5,1.0,0.0,1.0,0.0
nl.tudelft.jpacman.level.LevelFactory,2,9,9,0,0.5,1.0,0.0,1.0,0.0
nl.tudelft.jpacman.board.Board,3,19,5,14,0.7368421052631579,0.5263157894736843,0.672514619883041,1.0,0.3539550630963374
nl.tudelft.jpacman.level.Pellet,1,3,3,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.board.Square,1,19,19,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.board.Unit,1,6,6,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.npc.NPC,1,2,2,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.sprite.PacManSprites,1,8,8,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.npc.ghost.Blinky,1,2,2,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.npc.ghost.Ghost,3,9,7,2,0.4074074074074074,0.8148148148148148,0.38888888888888884,1.0,0.31687242798353904
nl.tudelft.jpacman.ui.BoardPanel,1,1,1,0,1.0,0.0,0,1.0,0.0
nl.tudelft.jpacman.PacmanConfigurationException,2,0,0,0,0,0.0,0,0,0.0
nl.tudelft.jpacman.board.BasicUnit,1,3,3,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.sprite.SpriteStore,1,16,16,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.ui.ScorePanel,2,1,1,0,0.5,1.0,0,1.0,0.0
nl.tudelft.jpacman.ui.ButtonPanel,2,1,0,1,1.0,0.0,0,0.5,0.0
nl.tudelft.jpacman.game.Game,2,1,0,1,1.0,0.0,0,0.5,0.0
nl.tudelft.jpacman.sprite.EmptySprite,1,1,1,0,1.0,0.0,0,1.0,0.0
nl.tudelft.jpacman.board.BasicSquare,1,10,10,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.npc.ghost.Clyde,1,2,2,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.sprite.ImageSprite,1,17,17,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.level.Player,3,9,8,1,0.4074074074074074,0.8148148148148148,0.2222222222222222,0.6666666666666666,0.12071330589849107
nl.tudelft.jpacman.ui.PacManUiBuilder,2,1,0,1,1.0,0.0,0,0.5,0.0
nl.tudelft.jpacman.board.Direction,1,1,1,0,1.0,0.0,0,1.0,0.0
nl.tudelft.jpacman.game.SinglePlayerGame,1,1,1,0,1.0,0.0,0,1.0,0.0
nl.tudelft.jpacman.level.PlayerFactory,1,1,1,0,1.0,0.0,0,1.0,0.0
nl.tudelft.jpacman.game.GameFactory,1,1,1,0,1.0,0.0,0,1.0,0.0
nl.tudelft.jpacman.cucumber.StateNavigationSteps,1,0,0,0,0,0.0,0,0,0.0
nl.tudelft.jpacman.npc.ghost.GhostFactory,1,9,9,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.ui.PacKeyListener,1,1,1,0,1.0,0.0,0,1.0,0.0
nl.tudelft.jpacman.npc.ghost.GhostColor,1,0,0,0,0,0.0,0,0,0.0
nl.tudelft.jpacman.npc.ghost.Pinky,1,2,2,0,1.0,0.0,0.0,1.0,0.0
nl.tudelft.jpacman.level.PlayerCollisions,1,9,9,0,1.0,0.0,0.0,1.0,0.0
