parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.jsoup.parser.HtmlTreeBuilderState,17,392,0,392,0.3943577430972389,0.7887154861944778,0.8013074795135445,0.8823529411764706,0.5576502514374678
org.jsoup.parser.Parser,17,426,0,426,0.07912178956089479,0.15824357912178955,0.47943661971830986,0.7647058823529411,0.058016527450682934
org.jsoup.nodes.Element,94,426,74,352,0.10947957247028269,0.21895914494056534,0.9726926263463131,0.7553191489361702,0.1608678313679733
org.jsoup.nodes.Entities,23,216,15,201,0.18760064412238325,0.3752012882447665,0.4001722652885443,0.6521739130434783,0.09792074964527497
org.jsoup.parser.HtmlTreeBuilder,96,406,0,406,0.31719519704433496,0.6343903940886699,0.9794927932858968,0.6666666666666666,0.41425387942643477
org.jsoup.Jsoup,15,393,0,393,0.07667514843087363,0.15335029686174728,0.36430908241159055,1.0,0.05586690593724816
org.jsoup.helper.HttpConnection,100,25,19,6,0.0796,0.1592,0.9966666666666667,0.32,0.05077418666666667
org.jsoup.select.Collector,3,276,0,276,1.0,0.0,0.0,0.3333333333333333,0.0
org.jsoup.parser.CharacterReader,35,434,19,415,0.31942067149440423,0.6388413429888085,0.9062376943625546,0.9428571428571428,0.5458596996917325
org.jsoup.helper.StringUtil,12,430,8,422,0.30562015503875967,0.6112403100775193,0.8719900254783975,0.9166666666666666,0.48857916576142635
org.jsoup.parser.ParseSettings,3,434,0,434,0.641321044546851,0.717357910906298,0.14509211268505018,1.0,0.10408297484472877
org.jsoup.parser.Token,116,433,6,427,0.3086525443975472,0.6173050887950944,0.9757291933966299,0.6120689655172413,0.3686629684676443
org.jsoup.Connection,,,,,,,,,
org.jsoup.helper.W3CDom,7,4,4,0,0.9285714285714286,0.1428571428571428,0.6666666666666667,0.2857142857142857,0.027210884353741485
org.jsoup.nodes.Node,53,429,24,405,0.25487091524827377,0.5097418304965475,0.9241879615711391,0.8490566037735849,0.39998824238559516
org.jsoup.parser.TreeBuilder,7,406,0,406,0.7839549612948628,0.4320900774102745,0.38812868697926173,0.7142857142857143,0.11979039600144101
org.jsoup.parser.TokeniserState,13,406,0,406,0.16066691928760896,0.3213338385752179,0.5920695736787691,0.6153846153846154,0.11707814696233335
org.jsoup.select.CombiningEvaluator,6,103,0,103,0.3737864077669903,0.7475728155339806,0.3262897391966495,0.8333333333333334,0.2032711158425729
org.jsoup.parser.Tokeniser,41,415,0,415,0.2379077284748751,0.47581545694975014,0.8549793376404167,0.6585365853658537,0.26790083839007756
org.jsoup.select.Selector,5,244,55,189,0.40901639344262297,0.8180327868852459,0.04044390474262971,0.6,0.019850664065480878
org.jsoup.select.Elements,46,187,33,154,0.02824924436177633,0.056498488723552676,0.615203266057156,0.717391304347826,0.02493512626240781
org.jsoup.nodes.Attributes,29,430,5,425,0.11539695268644748,0.2307939053728949,0.9278365045806907,0.7241379310344828,0.15506617997358563
org.jsoup.select.Evaluator,4,277,0,277,0.2608303249097473,0.5216606498194946,0.09009574635065143,1.0,0.04699940558725318
org.jsoup.nodes.Document,44,253,31,222,0.1746316924182537,0.34926338483650743,0.9810527636614593,0.8181818181818182,0.2803465709505912
org.jsoup.nodes.Comment,5,20,0,20,0.53,0.94,0.5210526315789474,0.6,0.29387368421052634
org.jsoup.helper.DataUtil,13,29,11,18,0.3050397877984085,0.610079575596817,0.8349753694581281,0.7692307692307693,0.3918472454098541
org.jsoup.nodes.TextNode,20,274,5,269,0.1425182481751825,0.285036496350365,0.751263335204941,0.5,0.1070687344516531
org.jsoup.select.QueryParser,20,248,4,244,0.25564516129032255,0.5112903225806451,0.7214966697139872,0.85,0.31356012524908683
org.jsoup.nodes.DocumentType,4,12,4,8,0.875,0.25,0.303030303030303,0.5,0.03787878787878787
org.jsoup.nodes.DataNode,7,17,0,17,0.31932773109243695,0.6386554621848739,0.5808823529411764,0.5714285714285714,0.2119906786243909
org.jsoup.safety.Cleaner,9,30,30,0,0.7555555555555555,0.48888888888888893,0.3563218390804598,0.5555555555555556,0.09677877110827304
org.jsoup.safety.Whitelist,22,31,0,31,0.4633431085043988,0.9266862170087976,0.9526881720430107,0.9090909090909091,0.8025845437632401
org.jsoup.parser.Tag,20,441,10,431,0.22891156462585033,0.45782312925170066,0.8974025974025974,0.8,0.328681332273169
org.jsoup.nodes.Attribute,47,461,7,454,0.12890570914293625,0.2578114182858725,0.9428746581156277,0.6382978723404256,0.1551599060901684
org.jsoup.nodes.FormElement,4,22,9,13,0.4090909090909091,0.8181818181818182,0.7186147186147186,1.0,0.5879574970484062
org.jsoup.parser.XmlTreeBuilder,9,17,15,2,0.6339869281045751,0.7320261437908497,0.7132352941176471,0.6666666666666666,0.34807125464564914
org.jsoup.parser.TokenQueue,31,255,6,249,0.33763440860215055,0.6752688172043011,0.730832175389841,0.5806451612903226,0.2865531359905225
org.jsoup.parser.ParseErrorList,4,415,0,415,0.327710843373494,0.655421686746988,0.43719224724986905,1.0,0.2865452801252154
org.jsoup.helper.Validate,11,503,0,503,0.43918308331827216,0.8783661666365443,0.6921815719230434,0.9090909090909091,0.5527171581331828
org.jsoup.nodes.XmlDeclaration,6,9,0,9,0.5740740740740741,0.8518518518518519,0.6388888888888888,0.6666666666666666,0.3628257887517146
org.jsoup.parser.ParseError,8,415,0,415,0.28945783132530123,0.5789156626506025,0.4372155287817938,0.75,0.18983318817438427
org.jsoup.select.NodeTraversor,1,409,0,409,1.0,0.0,0.0,1.0,0.0
org.jsoup.TextUtil,1,79,0,79,1.0,0.0,0.0,1.0,0.0
org.jsoup.UnsupportedMimeTypeException,,,,,,,,,
org.jsoup.nodes.BooleanAttribute,1,4,0,4,1.0,0.0,0.0,1.0,0.0
org.jsoup.HttpStatusException,,,,,,,,,
org.jsoup.select.StructuralEvaluator,2,55,0,55,0.5,1.0,0.036363636363636376,1.0,0.036363636363636376
org.jsoup.SerializationException,,,,,,,,,
