parent,number_of_components,number_of_tests,unit_vs_integration,density,normalized_density,diversity,uniqueness,ddu
org.junit.internal.runners.ErrorReportingRunner,8,69,0.06153846153846154,0.9184782608695652,0.16304347826086962,0.3542199488491049,0.5,0.028876626264872692
org.junit.runner.JUnitCore,13,363,0.0027624309392265192,0.4844246662428481,0.9688493324856962,0.7552014367684885,0.9230769230769231,0.675393607297282
org.junit.rules.ExpectedException,26,126,0.0,0.2954822954822955,0.590964590964591,0.5833650793650793,0.5384615384615384,0.1856335952746209
org.junit.rules.EventCollector,19,23,0.0,0.2997711670480549,0.5995423340961098,0.5652173913043479,0.21052631578947367,0.07134142190617325
org.junit.experimental.theories.internal.AllMembersSupplier,19,70,0.0,0.5827067669172933,0.8345864661654134,0.7623188405797101,0.5263157894736842,0.3348531511845976
org.junit.internal.runners.JUnit4ClassRunner,13,3,0.0,0.5897435897435898,0.8205128205128205,1.0,0.3076923076923077,0.252465483234714
org.junit.runner.manipulation.Filter,8,78,0.18181818181818182,0.328525641025641,0.657051282051282,0.6317016317016317,0.875,0.36317782111051344
org.junit.Assert,70,813,0.02781289506953224,0.05615884730275874,0.11231769460551744,0.9181526790637364,0.7285714285714285,0.07513377718034626
org.junit.runners.BlockJUnit4ClassRunner,29,430,0.0,0.7897353648757017,0.42052927024859654,0.6449287146961565,0.3793103448275862,0.10287329032030829
org.junit.internal.runners.rules.RuleMemberValidator,15,146,0.0,0.3219178082191781,0.6438356164383562,0.28578176665092114,0.26666666666666666,0.049065727972943535
org.junit.matchers.JUnitMatchers,11,43,-1,0.09090909090909091,0.18181818181818188,0.0,0.18181818181818182,0.0
org.junit.internal.ComparisonCriteria,9,34,0.0,0.5,1.0,0.6898395721925134,0.5555555555555556,0.38324420677361853
org.junit.rules.ErrorCollector,9,10,0.0,0.43333333333333335,0.8666666666666667,0.8888888888888888,0.5555555555555556,0.4279835390946502
org.junit.runner.Request,13,414,0.0,0.3047194351542178,0.6094388703084356,0.6401024669263431,0.8461538461538461,0.3300874282751974
org.junit.runner.Description,21,986,0.0,0.39123925432241863,0.7824785086448373,0.7929675353425109,0.8095238095238095,0.5022933774188506
org.junit.experimental.theories.internal.SpecificDataPointsSupplier,4,7,0.0,1.0,0.0,0.0,0.25,0.0
org.junit.experimental.results.PrintableResult,5,96,0.010526315789473684,0.4979166666666667,0.9958333333333333,0.5978070175438597,1.0,0.5953161549707603
junit.framework.ComparisonFailure,4,6,0.5,0.4166666666666667,0.8333333333333334,0.5333333333333333,0.75,0.33333333333333337
org.junit.experimental.categories.CategoryFilterFactory,3,6,0.0,0.8888888888888888,0.22222222222222232,0.5333333333333333,0.6666666666666666,0.07901234567901237
org.junit.rules.Stopwatch,19,5,0.0,0.6,0.8,0.9,0.3157894736842105,0.22736842105263158
org.junit.runner.JUnitCommandLineParseResult,12,19,0.0,0.4517543859649123,0.9035087719298246,0.847953216374269,0.8333333333333334,0.6384443076502172
org.junit.experimental.ParallelComputer,9,2,0.0,0.8888888888888888,0.22222222222222232,1.0,0.3333333333333333,0.0740740740740741
org.junit.runners.model.FrameworkMethod,24,868,0.0,0.3605510752688172,0.7211021505376344,0.7958929302271194,0.8333333333333334,0.47826675298706267
org.junit.runners.ParentRunner,36,464,0.0,0.6460129310344828,0.7079741379310345,0.8247653980784986,0.4166666666666667,0.24329690487498812
org.junit.experimental.theories.internal.ParameterizedAssertionError,6,13,0.3,0.5641025641025641,0.8717948717948718,0.6025641025641026,0.6666666666666666,0.35020819636204253
org.junit.runner.manipulation.Sorter,5,7,0.0,0.6,0.8,0.2857142857142857,0.8,0.18285714285714286
org.junit.rules.ExpectedExceptionMatcherBuilder,7,126,1.7391304347826086,0.36281179138321995,0.7256235827664399,0.5686349206349206,0.7142857142857143,0.2947249345694438
org.junit.runners.model.FrameworkField,13,346,0.002898550724637681,0.30991551800800354,0.6198310360160071,0.7453799112004691,0.8461538461538461,0.39093120218722827
org.junit.internal.builders.AllDefaultPossibilitiesBuilder,8,408,0.0049261083743842365,0.8177083333333334,0.36458333333333326,0.4966637760755408,0.5,0.09053766751377045
junit.framework.AssertionFailedError,3,49,0.5806451612903226,0.54421768707483,0.91156462585034,0.4744897959183674,0.6666666666666666,0.28835207552408715
junit.samples.money.MoneyBag,18,23,0.0,0.4444444444444444,0.8888888888888888,0.8458498023715415,0.6666666666666666,0.5012443273312838
org.junit.internal.runners.MethodValidator,5,3,0.0,1.0,0.0,0.0,0.2,0.0
org.junit.runners.model.RunnerBuilder,9,409,0.0024509803921568627,0.5028524857375714,0.9942950285248573,0.47357255860779524,0.4444444444444444,0.2092759291864566
org.junit.internal.builders.IgnoredBuilder,2,406,0.0,1.0,0.0,0.0,0.5,0.0
org.junit.runners.model.NoGenericTypeParametersValidator,6,42,0.0,0.5595238095238095,0.8809523809523809,0.3797909407665505,0.6666666666666666,0.22305182235495824
