parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.wicket.Component,238,1058,0,1058,0.3896880113103843,0.7793760226207685,0.9954896066014132,0.7478991596638656,0.5802655880978634
org.apache.wicket.feedback.FeedbackMessage,52,1436,519,917,0.062151810584958216,0.12430362116991645,0.6964098880941058,0.5576923076923077,0.048277343391353374
org.apache.wicket.model.util.GenericBaseModel,8,83,0,83,0.4789156626506024,0.9578313253012049,0.20158683514545994,0.5,0.0965430927353257
org.apache.wicket.ajax.form.AjaxFormSubmitBehavior,23,59,0,59,0.30655858511422257,0.6131171702284451,0.6861484511981297,0.4782608695652174,0.20119927670902196
org.apache.wicket.markup.html.form.FormComponentPanel,7,6,0,6,0.6190476190476191,0.7619047619047619,0.8666666666666667,0.7142857142857143,0.47165532879818595
org.apache.wicket.protocol.http.AbstractRequestLogger,28,234,146,88,0.050061050061050064,0.1001221001221001,0.6729760463666044,0.17857142857142858,0.012032102695373614
org.apache.wicket.RestartResponseAtInterceptPageException,17,864,22,842,0.23835784313725492,0.4767156862745099,0.23312840650615851,0.7647058823529411,0.08498632869821537
org.apache.wicket.request.resource.ResourceReference,46,1495,0,1495,0.17525083612040135,0.35050167224080275,0.739231619902128,0.6739130434782609,0.17461216276996033
org.apache.wicket.protocol.http.AnnotatedServlet3Filter,1,1,1,0,1.0,0.0,0,1.0,0.0
org.apache.wicket.feedback.FeedbackMessagesModel,12,48,0,48,0.4184027777777778,0.8368055555555556,0.2695035460992907,0.4166666666666667,0.0939675269240872
org.apache.wicket.validation.Validatable,9,8,0,8,0.4305555555555556,0.8611111111111112,0.4642857142857143,0.5555555555555556,0.2221119929453263
org.apache.wicket.request.resource.ContextRelativeResource,19,5,0,5,0.2631578947368421,0.5263157894736842,1.0,0.42105263157894735,0.22160664819944595
org.apache.wicket.protocol.http.BufferedWebResponse,49,827,13,814,0.2592848505786837,0.5185697011573674,0.15712148405362591,0.40816326530612246,0.033256506543302394
org.apache.wicket.request.resource.caching.version.MessageDigestResourceVersion,7,17,2,15,0.3697478991596639,0.7394957983193278,0.7058823529411764,0.5714285714285714,0.298284019490149
org.apache.wicket.Localizer,20,132,0,132,0.6109848484848485,0.7780303030303031,0.9060837381448068,0.75,0.5287204540197253
