parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
com.google.zxing.datamatrix.decoder.Version,19,46,26,20,0.2894736842105263,0.5789473684210527,0.5207729468599034,0.21052631578947367,0.06347371097461427
com.google.zxing.datamatrix.encoder.X12Encoder,5,21,18,3,0.3142857142857143,0.6285714285714286,0.2571428571428571,0.4,0.06465306122448979
com.google.zxing.pdf417.decoder.PDF417ScanningDecoder,25,11,0,11,0.5854545454545454,0.8290909090909091,0.7818181818181819,0.24,0.15556760330578512
com.google.zxing.common.DetectorResult,3,46,0,46,0.7536231884057971,0.49275362318840576,0.39420289855072466,0.6666666666666666,0.1294966043548274
com.google.zxing.pdf417.decoder.DetectionResult,36,11,0,11,0.47474747474747475,0.9494949494949495,0.7090909090909091,0.1388888888888889,0.09351086623813896
com.google.zxing.datamatrix.encoder.SymbolInfo,21,23,0,23,0.18219461697722567,0.36438923395445133,0.45849802371541504,0.47619047619047616,0.0795579731577571
com.google.zxing.oned.rss.expanded.ExpandedPair,11,85,0,85,0.47807486631016044,0.9561497326203209,0.6070028011204482,0.5454545454545454,0.3165739450860558
com.google.zxing.common.reedsolomon.ReedSolomonDecoder,5,70,2,68,0.8314285714285714,0.3371428571428572,0.6240165631469979,0.8,0.16830618160307606
com.google.zxing.oned.Code93Reader,8,49,1,48,0.6147959183673469,0.7704081632653061,0.29421768707483,0.625,0.14166731743717897
com.google.zxing.aztec.encoder.Encoder,11,18,1,17,0.7525252525252525,0.49494949494949503,0.21568627450980393,0.36363636363636365,0.038819568231332945
com.google.zxing.oned.rss.expanded.ExpandedRow,8,36,0,36,0.4409722222222222,0.8819444444444444,0.39841269841269844,0.5,0.17568893298059965
com.google.zxing.ChecksumException,4,47,0,47,0.5,1.0,0.0,0.5,0.0
com.google.zxing.oned.CodaBarWriter,2,3,0,3,1.0,0.0,0.0,0.5,0.0
com.google.zxing.client.result.VINResultParser,8,14,12,2,0.21428571428571427,0.4285714285714286,0.39560439560439564,0.5,0.08477237048665621
com.google.zxing.qrcode.encoder.ByteMatrix,10,25,0,25,0.624,0.752,0.9166666666666666,1.0,0.6893333333333334
com.google.zxing.multi.GenericMultipleBarcodeReader,5,1,0,1,1.0,0.0,0,0.2,0.0
com.google.zxing.oned.rss.expanded.decoders.DecodedNumeric,7,28,0,28,0.7142857142857143,0.5714285714285714,0.0,0.2857142857142857,0.0
com.google.zxing.qrcode.encoder.QRCode,13,15,4,11,0.4461538461538462,0.8923076923076924,0.8380952380952381,0.46153846153846156,0.3451563820794591
com.google.zxing.pdf417.decoder.BoundingBox,14,11,0,11,0.6883116883116883,0.6233766233766234,0.5454545454545454,0.14285714285714285,0.04857480182155506
com.google.zxing.oned.UPCEANReader,11,58,4,54,0.6489028213166145,0.702194357366771,0.7997580157289776,0.6363636363636364,0.3573726328478304
com.google.zxing.qrcode.encoder.MatrixUtil,20,19,2,17,0.5552631578947368,0.8894736842105264,0.9298245614035088,0.6,0.4962326869806094
com.google.zxing.datamatrix.encoder.DefaultPlacement,14,4,0,4,0.5892857142857143,0.8214285714285714,1.0,0.42857142857142855,0.35204081632653056
com.google.zxing.RGBLuminanceSource,6,4,3,1,0.2916666666666667,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.32407407407407407
com.google.zxing.datamatrix.encoder.DataMatrixSymbolInfo144,3,1,1,0,0.3333333333333333,0.6666666666666666,0,0.6666666666666666,0.0
com.google.zxing.pdf417.decoder.DetectionResultColumn,8,11,0,11,0.5568181818181818,0.8863636363636365,0.6363636363636364,0.5,0.2820247933884298
