package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
org.apache.wicket.model,18,609,0.112114577631819,0.22422915526363796,0.6729323308270676,1.0,0.15089104809094434,1.3604651162790697
org.apache.wicket.protocol.http,58,1566,0.2812018320341745,0.562403664068349,0.7506428539368938,0.7413793103448276,0.3129838712554441,0.032300593276203035
org.apache.wicket.ajax,52,1453,0.042604161151993225,0.08520832230398645,0.24482641594573018,0.8653846153846154,0.0180530032140291,6.7287234042553195
org.apache.wicket.model.util,4,83,0.5120481927710844,0.9759036144578312,0.18189832500734648,1.0,0.17751523283849474,0.0
org.apache.wicket.markup.resolver,29,1442,0.1560093739537998,0.31201874790759954,0.5127487942280797,0.6206896551724138,0.09930242282038564,0.0
org.apache.wicket.feedback,10,1457,0.24797529169526425,0.49595058339052844,0.5339154668255561,1.0,0.2647956872533609,0.015331010452961672
org.apache.wicket.protocol.http.mock,6,1453,0.7669190181234228,0.46616196375315444,0.4921791903897892,1.0,0.2294352179105418,0.011134307585247043
org.apache.wicket,1051,1969,0.11212374101136599,0.22424748202273204,0.9975834788820209,0.7316841103710752,0.16368182066295575,0.037407797681770286
org.apache.wicket.markup.html.link,32,292,0.06485445205479452,0.12970890410958902,0.7374429223744292,0.8125,0.07771799205995494,0.3456221198156682
org.apache.wicket.queueing,15,24,0.2,0.4,0.44565217391304346,0.4666666666666667,0.08318840579710145,0.09090909090909091
org.apache.wicket.resource,45,1479,0.13343850950341823,0.26687701900683647,0.5292672059258121,0.6666666666666666,0.09416616945037212,0.021408839779005526
org.apache.wicket.markup,537,1513,0.08606601262060282,0.17213202524120563,0.9451779463345887,0.7113594040968343,0.11573489860758363,0.0013236267372600927
org.apache.wicket.resource.loader,9,1448,0.5568600368324125,0.886279926335175,0.023313618956347093,0.5555555555555556,0.011479106939576468,0.0
org.apache.wicket.validation.validator,7,37,0.2471042471042471,0.4942084942084942,0.7657657657657657,0.8571428571428571,0.32438395372758305,0.37037037037037035
org.apache.wicket.markup.html.basic,30,348,0.038026819923371646,0.07605363984674329,0.19593229321938455,0.9333333333333333,0.01390793979199667,11.428571428571429
org.apache.wicket.markup.html.image,14,1442,0.07350901525658807,0.14701803051317608,0.022069163327593677,0.8571428571428571,0.0027810556521398002,89.125
org.apache.wicket.markup.html,317,1450,0.04135973022952246,0.08271946045904488,0.9295085790438115,0.7760252365930599,0.05966737616730964,0.0006901311249137336
org.apache.wicket.markup.html.internal,49,799,0.024341651554238716,0.04868330310847746,0.1739800063362411,0.8571428571428571,0.007259932614241762,10.097222222222221
org.apache.wicket.core.request.mapper,15,1579,0.658264724509183,0.6834705509816339,0.6091428131102854,0.8666666666666667,0.3608203508892573,0.013478818998716302
org.apache.wicket.mock,7,1525,0.5473536299765808,0.9052927400468385,0.17119831332558844,1.0,0.15498459016191912,0.02348993288590604
org.apache.wicket.core.util.string,8,241,0.137448132780083,0.274896265560166,0.38260719225449513,1.0,0.10517728832722117,9.041666666666666
org.apache.wicket.util.cookies,2,14,1.0,0.0,0.0,0.5,0.0,0.0
org.apache.wicket.markup.head.filter,8,2,0.625,0.75,1.0,0.25,0.1875,0.0
org.apache.wicket.markup.html.form.login,3,4,0.75,0.5,0.8333333333333334,1.0,0.4166666666666667,0.3333333333333333
org.apache.wicket.queueing.transparentresolvers,4,2,0.5,1.0,1.0,0.5,0.5,1.0
org.apache.wicket.authorization,7,1160,0.1440886699507389,0.28817733990147776,0.012033262919877385,1.0,0.003467713698585354,164.71428571428572
org.apache.wicket.queueing.bodyisachild,3,1,1.0,0.0,0,0.3333333333333333,0.0,0.0
org.apache.wicket.core.request.handler,14,1069,0.35052786315648804,0.7010557263129761,0.8933460162635807,1.0,0.6262853402804683,0.15442764578833693
org.apache.wicket.markup.resolver.issue3989,2,1,1.0,0.0,0,0.5,0.0,0.0
org.apache.wicket.protocol.http.servlet,15,1447,0.3353605160101359,0.6707210320202718,0.05833120655030055,0.7333333333333333,0.02869090917469716,0.0034674063800277394
org.apache.wicket.markup.html.list,14,78,0.24633699633699635,0.4926739926739927,0.7589077589077589,0.8571428571428571,0.32048067055916346,0.4716981132075472
org.apache.wicket.ajax.markup.html.ajaxLink,5,5,0.24,0.48,0.9,0.8,0.3456,4.0
org.apache.wicket.markup.html.header.threelayers2,4,1,1.0,0.0,0,0.25,0.0,0.0
org.apache.wicket.markup.parser.filter,53,1447,0.20440468894655175,0.40880937789310345,0.5413021264962755,0.6792452830188679,0.15030977134086093,0.0034674063800277394
org.apache.wicket.markup.renderStrategy,6,796,0.5006281407035176,0.9987437185929648,0.005021965171770781,0.5,0.002507828085149354,0.0
org.apache.wicket.resource.aggregator,10,14,0.29285714285714287,0.5857142857142857,0.8791208791208791,0.7,0.36043956043956044,0.0
org.apache.wicket.markup.loader,3,801,1.0,0.0,0.0,0.3333333333333333,0.0,0.0
org.apache.wicket.markup.html.panel,31,823,0.08881746560576961,0.17763493121153928,0.42465255297070537,0.7419354838709677,0.055966513607173654,0.012300123001230012
org.apache.wicket.markupFragments,8,7,0.30357142857142855,0.6071428571428571,0.8571428571428572,0.5,0.2602040816326531,0.4
org.apache.wicket.protocol.https,6,14,0.6309523809523809,0.7380952380952381,0.7802197802197802,0.8333333333333334,0.4798970870399442,0.0
org.apache.wicket.core.util.resource.locator,11,843,0.7183220101369567,0.5633559797260865,0.06976554157051362,1.0,0.03930283502257772,0.004767580452920143
org.apache.wicket.markup.html.form.feedback,2,2,0.5,1.0,1.0,1.0,1.0,-1
org.apache.wicket.markup.repeater.util,1,3,1.0,0.0,0.0,1.0,0.0,-1
org.apache.wicket.request.handler.resource,5,364,0.3192307692307692,0.6384615384615384,0.4422849877395332,1.0,0.282381953710625,2.279279279279279
org.apache.wicket.core.util.lang,3,1504,0.5150709219858156,0.9698581560283688,0.5807808142580089,1.0,0.5632750095729271,0.9086294416243654
org.apache.wicket.core.util.resource.locator.caching,5,835,0.5954491017964072,0.8091017964071856,0.04946079064891795,1.0,0.040018814565759245,0.014580801944106925
org.apache.wicket.ajax.form,9,62,0.13440860215053763,0.26881720430107525,0.21152829190904288,0.6666666666666666,0.037908296041047104,7.857142857142857
org.apache.wicket.stateless.pages,5,4,0.5,1.0,0.8333333333333334,0.6,0.5,0.0
org.apache.wicket.markup.html.header.inheritance,3,2,1.0,0.0,0.0,0.3333333333333333,0.0,0.0
org.apache.wicket.markup.html.form,66,1444,0.060941828254847646,0.12188365650969524,0.6883330165878643,0.8333333333333334,0.06991378746506467,0.000693000693000693
org.apache.wicket.request.resource,34,1504,0.1238462140175219,0.24769242803504377,0.7447427839356747,0.9705882352941176,0.17904164404946982,0.016216216216216217
org.apache.wicket.queueing.nestedpanels,2,1,1.0,0.0,0,0.5,0.0,0.0
org.apache.wicket.markup.html.autolink,10,6,0.18333333333333332,0.3666666666666667,0.9333333333333333,0.7,0.23955555555555558,0.5
org.apache.wicket.markup.outputTransformer,4,3,0.4166666666666667,0.8333333333333334,1.0,1.0,0.8333333333333334,0.5
org.apache.wicket.application,8,1463,0.9906015037593985,0.018796992481203034,0.028429486849819496,0.375,0.00020039581896019412,0.008270158511371467
org.apache.wicket.resource.bundles,4,14,0.2857142857142857,0.5714285714285714,0.4945054945054945,1.0,0.282574568288854,6.0
org.apache.wicket.markup.parser,63,1491,0.20130305643384114,0.40260611286768233,0.5724683672504828,0.7142857142857143,0.16462804577030407,0.011533242876526458
org.apache.wicket.markup.html.autolink.sub,3,3,0.4444444444444444,0.8888888888888888,0.6666666666666667,0.6666666666666666,0.39506172839506176,2.0
org.apache.wicket.markup.html.form.validation.innerfeedback,3,1,1.0,0.0,0,0.3333333333333333,0.0,0.0
org.apache.wicket.validation,10,64,0.1890625,0.37812500000000004,0.8566468253968254,0.9,0.29152762276785715,1.064516129032258
org.apache.wicket.model.lambda,2,21,0.9047619047619048,0.19047619047619047,0.32380952380952377,1.0,0.06167800453514738,0.23529411764705882
org.apache.wicket.markup.head,30,1462,0.11732786137710899,0.23465572275421798,0.7155650188063383,0.8,0.1343291413325095,0.7678355501813785
org.apache.wicket.markup.repeater,6,81,0.2037037037037037,0.40740740740740744,0.14166666666666672,0.5,0.028858024691358036,12.5
org.apache.wicket.core.util.objects.checker,8,12,0.3958333333333333,0.7916666666666666,0.9393939393939394,1.0,0.7436868686868687,0.09090909090909091
org.apache.wicket.markup.transformer,6,5,0.4,0.8,0.7,0.6666666666666666,0.3733333333333333,1.5
org.apache.wicket.session,2,1442,0.5128294036061026,0.9743411927877947,0.05003556437633372,1.0,0.04875171147624749,37.972972972972975
org.apache.wicket.settings,13,1465,0.7262798634812286,0.5474402730375427,0.6716900725489099,0.7692307692307693,0.28285399747137085,0.0159500693481276
org.apache.wicket.markup.html.header.response,4,2,1.0,0.0,0.0,0.25,0.0,0.0
org.apache.wicket.pageStore.memory,6,41,0.2073170731707317,0.41463414634146334,0.31219512195121957,1.0,0.12944675788221296,7.2
org.apache.wicket.intercept,6,1,0.8333333333333334,0.33333333333333326,0,0.3333333333333333,0.0,0.0
org.apache.wicket.component.replacewith,7,4,0.5714285714285714,0.8571428571428572,1.0,0.7142857142857143,0.6122448979591837,0.0
org.apache.wicket.request.resource.caching.version,5,32,0.2875,0.575,0.6471774193548387,0.8,0.29770161290322583,1.2857142857142858
org.apache.wicket.markup.html.header,20,8,0.16875,0.3375,0.9285714285714286,0.3,0.09401785714285715,0.14285714285714285
org.apache.wicket.markup.html.link.subdir,1,0,0,0.0,0,0,0.0,-1
org.apache.wicket.markup.html.border,11,43,0.11839323467230443,0.2367864693446089,0.26135105204872644,0.6363636363636364,0.03938097728352903,6.166666666666667
org.apache.wicket.request.handler.render,7,839,0.28775753447982294,0.5755150689596459,0.009518093195388322,0.5714285714285714,0.003130174892404712,0.0
org.apache.wicket.markup.resolver.border,3,2,0.6666666666666666,0.6666666666666667,1.0,0.6666666666666666,0.4444444444444445,1.0
org.apache.wicket.noheadnobody,2,1,1.0,0.0,0,0.5,0.0,0.0
org.apache.wicket.pageStore,14,61,0.14285714285714285,0.2857142857142857,0.7426229508196721,0.9285714285714286,0.19702241552358646,1.6521739130434783
org.apache.wicket.javascript,1,2,1.0,0.0,0.0,1.0,0.0,-1
org.apache.wicket.markup.resolver.issue3559,5,1,1.0,0.0,0,0.2,0.0,0.0
org.apache.wicket.markup.html.form.validation,13,24,0.20192307692307693,0.40384615384615385,0.7028985507246377,0.6153846153846154,0.17468484692564962,0.2
org.apache.wicket.page.expirationrecovery,1,3,1.0,0.0,0.0,1.0,0.0,-1
org.apache.wicket.markup.html.navigation.paging,4,13,0.4423076923076923,0.8846153846153846,0.7564102564102564,1.0,0.6691321499013806,2.25
org.apache.wicket.markup.html.tags,2,2,0.5,1.0,1.0,1.0,1.0,-1
org.apache.wicket.markup.resolver.inparent,2,1,1.0,0.0,0,0.5,0.0,0.0
org.apache.wicket.protocol.http.documentvalidation,4,4,1.0,0.0,0.0,0.25,0.0,0.0
org.apache.wicket.event,1,1,1.0,0.0,0,1.0,0.0,-1
org.apache.wicket.core.request,30,1639,0.42428309945088466,0.8485661989017693,0.8695018627904534,0.9333333333333333,0.688641231269696,0.04862444017914268
org.apache.wicket.markup.html.internal.headeritems,10,8,0.3375,0.675,0.9642857142857143,0.9,0.5858035714285714,0.0
org.apache.wicket.queueing.nestedborders,2,1,1.0,0.0,0,0.5,0.0,0.0
org.apache.wicket.markup.html.header.threelayers,8,2,0.5,1.0,1.0,0.25,0.25,0.0
org.apache.wicket.page,25,1518,0.10674571805006587,0.21349143610013177,0.5376979215791517,0.84,0.09642687723143087,0.35656836461126007
org.apache.wicket.markup.html.form.upload,5,22,0.43636363636363634,0.8727272727272727,0.8917748917748918,1.0,0.7782762691853601,0.2222222222222222
org.apache.wicket.protocol.http.request,3,29,0.6206896551724138,0.7586206896551724,0.2561576354679803,1.0,0.19432648207915748,0.16
org.apache.wicket.markup.html.debug,1,1,1.0,0.0,0,1.0,0.0,-1
org.apache.wicket.lambda,1,2,1.0,0.0,0.0,1.0,0.0,-1
org.apache.wicket.util.image,1,2,1.0,0.0,0.0,1.0,0.0,-1
org.apache.wicket.redirect,6,5,0.26666666666666666,0.5333333333333333,0.9,0.8333333333333334,0.4,0.6666666666666666
org.apache.wicket.ajax.attributes,4,166,0.5105421686746988,0.9789156626506024,0.12712668857247167,1.0,0.12444630658449786,0.012195121951219513
org.apache.wicket.request.cycle,8,1524,0.3630249343832021,0.7260498687664042,0.1088316849428621,0.875,0.06914007674909273,0.05467128027681661
org.apache.wicket.core.util.resource,14,1453,0.43928817225444894,0.8785763445088979,0.5149666596516375,1.0,0.4524375253806934,0.7174940898345153
org.apache.wicket.dontstoreunrendered,4,3,1.0,0.0,0.0,0.25,0.0,0.0
org.apache.wicket.markup.html.form.imagebutton,2,2,0.5,1.0,1.0,1.0,1.0,-1
org.apache.wicket.core.request.handler.logger,4,912,0.3347039473684211,0.6694078947368421,0.5768699327902633,1.0,0.3861612872461138,1.9901639344262294
org.apache.wicket.ajax.markup.html,11,137,0.11612475116124751,0.23224950232249508,0.72230571060541,0.9090909090909091,0.15250467437527512,4.269230769230769
org.apache.wicket.markup.html.form.onFormValidateModelObjects,2,1,1.0,0.0,0,0.5,0.0,0.0
