package,number_of_classes,number_of_tests,density,normalized_density,diversity,uniqueness,ddu,unit_vs_integration
com.google.zxing.client.result,37,74,0.38568298027757486,0.7713659605551497,0.9496482784154017,0.972972972972973,0.7127283468351314,0.0
com.google.zxing.oned,91,150,0.15985347985347986,0.3197069597069597,0.9446979865771812,0.4835164835164835,0.14603480142543496,0.04895104895104895
com.google.zxing.common.reedsolomon,5,85,0.7458823529411764,0.5082352941176471,0.6322128851540616,0.8,0.2570503213049926,0.024096385542168676
com.google.zxing.datamatrix.encoder,14,24,0.6011904761904762,0.7976190476190477,0.44202898550724634,0.42857142857142855,0.15110174504584442,0.043478260869565216
com.google.zxing.common,22,269,0.20902331868874618,0.41804663737749237,0.8729956167119791,0.9090909090909091,0.33177534728339364,0.7933333333333333
com.google.zxing.pdf417,30,61,0.15846994535519127,0.31693989071038253,0.5830601092896175,0.4,0.07391800292633403,0.08928571428571429
com.google.zxing.common.detector,2,111,0.7432432432432432,0.5135135135135136,0.5041769041769042,1.0,0.25890165349624816,1.0555555555555556
com.google.zxing.multi,4,2,0.5,1.0,1.0,0.5,0.5,1.0
com.google.zxing.pdf417.encoder,6,7,0.2857142857142857,0.5714285714285714,0.5238095238095238,0.5,0.14965986394557823,2.5
com.google.zxing.qrcode.encoder,6,46,0.37681159420289856,0.7536231884057971,0.8714975845410629,1.0,0.6567807883497865,1.0
com.google.zxing.pdf417.decoder,14,15,0.5285714285714286,0.9428571428571428,0.8571428571428572,0.42857142857142855,0.34635568513119536,0.0
com.google.zxing.qrcode,30,118,0.18983050847457628,0.37966101694915255,0.9605968419527742,0.7333333333333333,0.2674475275222187,0.2553191489361702
com.google.zxing.oned.rss.expanded,31,127,0.20828041656083313,0.41656083312166625,0.9011373578302713,0.7096774193548387,0.2663976654118183,0.19811320754716982
com.google.zxing.aztec.encoder,7,21,0.8503401360544217,0.2993197278911566,0.638095238095238,0.5714285714285714,0.10913971030589109,0.10526315789473684
com.google.zxing.maxicode.decoder,3,49,0.6190476190476191,0.7619047619047619,0.3129251700680272,1.0,0.2384191771946874,0.1951219512195122
com.google.zxing.qrcode.decoder,10,93,0.42795698924731185,0.8559139784946237,0.8616175783076204,1.0,0.7374705293901783,0.24
com.google.zxing.maxicode,5,49,0.5714285714285714,0.8571428571428572,0.3129251700680272,0.8,0.21457725947521872,0.0
com.google.zxing.oned.rss.expanded.decoders,20,59,0.43898305084745765,0.8779661016949153,0.9117475160724723,0.75,0.600362559312128,0.03508771929824561
com.google.zxing,281,406,0.06415335799309294,0.12830671598618593,0.9877759532931947,0.597864768683274,0.07577235765524992,0.16666666666666666
com.google.zxing.datamatrix.decoder,5,51,0.6588235294117647,0.6823529411764706,0.6211764705882352,0.8,0.3390892733564014,0.04081632653061224
com.google.zxing.oned.rss,39,127,0.2562083585705633,0.5124167171411266,0.9250093738282714,0.6923076923076923,0.3281471076889744,0.032520325203252036
com.google.zxing.pdf417.decoder.ec,4,9,0.8333333333333334,0.33333333333333326,0.5,0.5,0.08333333333333331,0.0
com.google.zxing.negative,4,0,0,0.0,0,0,0.0,-1
com.google.zxing.multi.qrcode,3,1,1.0,0.0,0,0.3333333333333333,0.0,0.0
com.google.zxing.pdf417.detector,2,50,1.0,0.0,0.0,0.5,0.0,0.0
com.google.zxing.datamatrix,24,75,0.25222222222222224,0.5044444444444445,0.8367567567567568,0.5416666666666666,0.22863603603603605,0.041666666666666664
com.google.zxing.qrcode.detector,6,33,0.5959595959595959,0.8080808080808082,0.6685606060606061,0.6666666666666666,0.3601673298642996,0.0
com.google.zxing.aztec,14,76,0.25281954887218044,0.5056390977443609,0.576140350877193,0.7142857142857143,0.20808506227975954,0.0410958904109589
com.google.zxing.multi.qrcode.detector,2,1,1.0,0.0,0,0.5,0.0,0.0
com.google.zxing.datamatrix.detector,1,32,1.0,0.0,0.0,1.0,0.0,-1
com.google.zxing.aztec.detector,1,54,1.0,0.0,0.0,1.0,0.0,-1
com.google.zxing.aztec.decoder,1,21,1.0,0.0,0.0,1.0,0.0,-1
