;org.apache.commons.numbers.core.ArithmeticUtils#ArithmeticUtils();org.apache.commons.numbers.core.ArithmeticUtils#addAndCheck(int,int);org.apache.commons.numbers.core.ArithmeticUtils#addAndCheck(long,long);org.apache.commons.numbers.core.ArithmeticUtils#gcd(int,int);org.apache.commons.numbers.core.ArithmeticUtils#gcdPositive(int,int);org.apache.commons.numbers.core.ArithmeticUtils#gcd(long,long);org.apache.commons.numbers.core.ArithmeticUtils#lcm(int,int);org.apache.commons.numbers.core.ArithmeticUtils#lcm(long,long);org.apache.commons.numbers.core.ArithmeticUtils#mulAndCheck(int,int);org.apache.commons.numbers.core.ArithmeticUtils#mulAndCheck(long,long);org.apache.commons.numbers.core.ArithmeticUtils#subAndCheck(int,int);org.apache.commons.numbers.core.ArithmeticUtils#subAndCheck(long,long);org.apache.commons.numbers.core.ArithmeticUtils#pow(int,int);org.apache.commons.numbers.core.ArithmeticUtils#pow(long,int);org.apache.commons.numbers.core.ArithmeticUtils#pow(java.math.BigInteger,int);org.apache.commons.numbers.core.ArithmeticUtils#pow(java.math.BigInteger,long);org.apache.commons.numbers.core.ArithmeticUtils#pow(java.math.BigInteger,java.math.BigInteger);org.apache.commons.numbers.core.ArithmeticUtils#addAndCheck(long,long,java.lang.String);org.apache.commons.numbers.core.ArithmeticUtils#isPowerOfTwo(long);org.apache.commons.numbers.core.ArithmeticUtils#remainderUnsigned(int,int);org.apache.commons.numbers.core.ArithmeticUtils#remainderUnsigned(long,long);org.apache.commons.numbers.core.ArithmeticUtils#divideUnsigned(int,int);org.apache.commons.numbers.core.ArithmeticUtils#divideUnsigned(long,long);org.apache.commons.numbers.core.ArithmeticUtils$NumbersArithmeticException#ArithmeticUtils$NumbersArithmeticException();org.apache.commons.numbers.core.ArithmeticUtils$NumbersArithmeticException#ArithmeticUtils$NumbersArithmeticException(java.lang.String,java.lang.Object[]);org.apache.commons.numbers.core.ArithmeticUtils$NumbersArithmeticException#getMessage();org.apache.commons.numbers.core.Precision#Precision();org.apache.commons.numbers.core.Precision#compareTo(double,double,double);org.apache.commons.numbers.core.Precision#compareTo(double,double,int);org.apache.commons.numbers.core.Precision#equals(float,float);org.apache.commons.numbers.core.Precision#equalsIncludingNaN(float,float);org.apache.commons.numbers.core.Precision#equals(float,float,float);org.apache.commons.numbers.core.Precision#equalsIncludingNaN(float,float,float);org.apache.commons.numbers.core.Precision#equals(float,float,int);org.apache.commons.numbers.core.Precision#equalsIncludingNaN(float,float,int);org.apache.commons.numbers.core.Precision#equals(double,double);org.apache.commons.numbers.core.Precision#equalsIncludingNaN(double,double);org.apache.commons.numbers.core.Precision#equals(double,double,double);org.apache.commons.numbers.core.Precision#equalsWithRelativeTolerance(double,double,double);org.apache.commons.numbers.core.Precision#equalsIncludingNaN(double,double,double);org.apache.commons.numbers.core.Precision#equals(double,double,int);org.apache.commons.numbers.core.Precision#equalsIncludingNaN(double,double,int);org.apache.commons.numbers.core.Precision#round(double,int);org.apache.commons.numbers.core.Precision#round(double,int,int);org.apache.commons.numbers.core.Precision#round(float,int);org.apache.commons.numbers.core.Precision#round(float,int,int);org.apache.commons.numbers.core.Precision#roundUnscaled(double,double,int);org.apache.commons.numbers.core.Precision#representableDelta(double,double);org.apache.commons.numbers.core.TestUtils#TestUtils();org.apache.commons.numbers.core.TestUtils#assertEquals(double,double,double);org.apache.commons.numbers.core.TestUtils#assertEquals(java.lang.String,double,double,double);org.apache.commons.numbers.core.TestUtils#assertSame(double,double);org.apache.commons.numbers.core.TestUtils#assertEquals(double[],double[],double);org.apache.commons.numbers.core.TestUtils#serializeAndRecover(java.lang.Object);org.apache.commons.numbers.core.TestUtils#checkSerializedEquality(java.lang.Object);org.apache.commons.numbers.core.TestUtils#assertRelativelyEquals(double,double,double);org.apache.commons.numbers.core.TestUtils#assertRelativelyEquals(java.lang.String,double,double,double);org.apache.commons.numbers.core.TestUtils#assertContains(java.lang.String,double[],double,double);org.apache.commons.numbers.core.TestUtils#assertContains(double[],double,double);org.apache.commons.numbers.core.TestUtils#assertEquals(java.lang.String,double[],double[],double);org.apache.commons.numbers.core.TestUtils#assertEquals(java.lang.String,float[],float[],float);org.apache.commons.numbers.core.TestUtils#updateCounts(double,long[],double[]);org.apache.commons.numbers.core.TestUtils#eliminateZeroMassPoints(int[],double[]);org.apache.commons.numbers.core.TestUtils#equalsIncludingNaN(double,double,double);org.apache.commons.numbers.core.TestUtils#equalsIncludingNaN(double,double)
org.apache.commons.numbers.core.ArithmeticUtilsTest#testGcdConsistency;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testGcd;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testLcm;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testPow;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testPowLongOverflow;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testRemainderUnsignedLongSpecialCases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testRemainderUnsignedInt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testSubAndCheckLong;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testRemainderUnsignedIntSpecialCases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testRemainderUnsignedLong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testPowLong;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testIsPowerOfTwo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.commons.numbers.core.ArithmeticUtilsTest#testGcdLong;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
