19  1.000000e+00 
9  1.094764e-47 
17  1.094764e-47 
{4, 12}  1.197977e-83 
{10, 12}  1.197977e-83 
{12, 18}  1.197977e-83 
{3, 12}  1.197977e-83 
{12, 20}  1.197977e-83 
{12, 14}  4.553705e-84 
{8, 15}  2.431385e-84 
{6, 8}  2.431385e-84 
{2, 12}  1.011934e-84 
{11, 12}  1.011934e-84 
{12, 13}  1.011934e-84 
{6, 12}  2.541282e-89 
{12, 15}  2.541282e-89 
{1, 18}  3.486572e-94 
{1, 10}  3.486572e-94 
{1, 3}  3.486572e-94 
{1, 4}  3.486572e-94 
{1, 20}  3.486572e-94 
{5, 14}  1.470898e-94 
{1, 14}  1.325303e-94 
{5, 13}  3.268661e-95 
{2, 5}  3.268661e-95 
{5, 11}  3.268661e-95 
{1, 11}  2.945117e-95 
{1, 2}  2.945117e-95 
{1, 13}  2.945117e-95 
{5, 6}  8.208624e-100 
{5, 15}  8.208624e-100 
{1, 6}  7.396103e-100 
{1, 15}  7.396103e-100 
