parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
com.google.inject.internal.RealMapBinder,227,41,0,41,0.4308584936069625,0.861716987213925,0.9817073170731707,0.2026431718061674,0.17142677574154744
com.google.inject.internal.FactoryProxy,7,127,0,127,0.4330708661417323,0.8661417322834646,0.6260467441569804,0.7142857142857143,0.3873180081961071
com.google.inject.internal.ConstructorBindingImpl,54,313,0,313,0.28357590817654715,0.5671518163530943,0.7327148357499795,0.5925925925925926,0.246258103682643
com.google.inject.spi.InjectionPoint,179,628,11,617,0.20902572679073408,0.4180514535814681,0.9112038927660785,0.4301675977653631,0.16386379114388966
com.google.inject.internal.SingletonScope,41,253,0,253,0.35457437578328355,0.7091487515665671,0.5725578769057029,0.1951219512195122,0.07922511289898214
com.google.inject.internal.util.StackTraceElements,40,710,0,710,0.10169014084507043,0.20338028169014088,0.4425356085738692,0.25,0.02250075418241786
com.google.inject.internal.UniqueAnnotations,7,1,1,0,0.5714285714285714,0.8571428571428572,0,0.2857142857142857,0.0
com.google.inject.internal.ProvisionListenerStackCallback,26,528,0,528,0.09761072261072261,0.19522144522144524,0.07432005060088553,0.6538461538461539,0.009486567333961879
com.google.inject.spi.Elements,109,706,32,674,0.37445746809782465,0.7489149361956493,0.9462720752215057,0.47706422018348627,0.33808457911549
com.google.inject.internal.Annotations,81,674,0,674,0.18617430486866687,0.37234860973733375,0.9686773867840088,0.41975308641975306,0.15139892667410682
com.google.inject.internal.SpiUtils,66,48,0,48,0.28061868686868685,0.5612373737373737,0.9095744680851063,0.2878787878787879,0.1469584322431276
com.google.inject.internal.RealOptionalBinder,138,41,0,41,0.5657476139978791,0.8685047720042418,0.9914634146341463,0.2608695652173913,0.2246323583158373
com.google.inject.matcher.Matchers,66,627,0,627,0.03605432313566285,0.07210864627132574,0.25750187260192303,0.5,0.009284055722828026
com.google.inject.internal.ConstructorInjector,31,604,0,604,0.25315103610339673,0.5063020722067935,0.6549756735088355,0.6451612903225806,0.21394551015649266
com.google.inject.internal.ProvidesMethodScanner,35,706,0,706,0.05556454876568191,0.1111290975313638,0.22369155968095156,0.6,0.014915184691636411
com.google.inject.internal.ConstructionContext,17,412,0,412,0.3415191319246145,0.683038263849229,0.6989818817471003,0.6470588235294118,0.3089261812162748
com.google.inject.internal.ProxyFactory,24,270,5,265,0.13117283950617284,0.26234567901234573,0.17524438937078346,0.4166666666666667,0.01915608680107587
com.google.inject.internal.BytecodeGen,75,382,0,382,0.18917975567190226,0.3783595113438045,0.7771639801569307,0.4,0.117618953506473
com.google.inject.internal.BindingBuilder,38,485,0,485,0.15415084102007595,0.30830168204015185,0.8827639090057084,0.5789473684210527,0.15756492515256812
com.google.inject.internal.ProviderMethod,112,706,0,706,0.22363162687171187,0.4472632537434238,0.5194302131677817,0.3392857142857143,0.07882355174012827
com.google.inject.util.Modules,69,706,0,706,0.045613170751734614,0.0912263415034692,0.19493299580093626,0.2898550724637681,0.005154499723255229
com.google.inject.multibindings.MapBinder,12,39,0,39,0.27136752136752135,0.5427350427350427,0.572199730094467,0.5833333333333334,0.18115582623005028
com.google.inject.Key,69,705,13,692,0.23128790214821668,0.4625758042964334,0.9727111540941328,0.7246376811594203,0.32605264090811986
com.google.inject.internal.ProviderMethodsModule,66,706,0,706,0.33346209975105157,0.6669241995021031,0.5128844956100698,0.24242424242424243,0.08292244404164502
com.google.inject.internal.MoreTypes,149,783,2,781,0.2626878208919403,0.5253756417838806,0.9449066316514945,0.5838926174496645,0.28986235395025606
com.google.inject.PrivateModule,30,35,15,20,0.17809523809523808,0.35619047619047617,0.8554621848739495,0.3,0.09141224489795917
com.google.inject.internal.InjectorShell,44,601,0,601,0.6034639237634246,0.7930721524731508,0.4996339434276207,0.20454545454545456,0.08105027051511646
com.google.inject.spi.FailingBindingScopingVisitor,,,,,,,,,
com.google.inject.name.Names,8,204,5,199,0.13419117647058823,0.2683823529411764,0.038781029653240595,0.375,0.003903053995431842
com.google.inject.internal.Errors,256,692,0,692,0.13516076589595374,0.27032153179190743,0.9666939929565094,0.60546875,0.15822000448146892
com.google.inject.spi.DefaultBindingTargetVisitor,10,54,0,54,0.3425925925925926,0.6851851851851852,0.506638714185884,0.4,0.13885653648057564
com.google.inject.spi.Message,18,263,2,261,0.23257287705956908,0.46514575411913817,0.5784692189359417,0.7222222222222222,0.19433013966648205
com.google.inject.multibindings.ProvidesIntoOptional,2,1,0,1,0.5,1.0,0,1.0,0.0
com.google.inject.internal.Scoping,59,623,0,623,0.20156704845335582,0.40313409690671165,0.9511439822867259,0.711864406779661,0.27295627040256487
com.google.inject.internal.LookupProcessor,8,21,0,21,0.4226190476190476,0.8452380952380952,0.5952380952380952,0.5,0.25155895691609975
com.google.inject.internal.Nullability,3,246,0,246,0.6720867208672087,0.6558265582655827,0.079110668657707,1.0,0.05188287754787288
com.google.inject.internal.TypeConverterBindingProcessor,34,601,0,601,0.26666340413037093,0.5333268082607419,0.023155851358846347,0.20588235294117646,0.0025425721789534054
com.google.inject.internal.MembersInjectorImpl,45,299,0,299,0.252991452991453,0.505982905982906,0.8250993243698234,0.4444444444444444,0.18554940171963358
com.google.inject.internal.DelegatingInvocationHandler,5,8,0,8,0.375,0.75,0.25,0.6,0.11249999999999999
com.google.inject.internal.AbstractBindingProcessor,26,489,0,489,0.3712442976246657,0.7424885952493314,0.8056421603137887,0.7307692307692307,0.43713162314674653
com.google.inject.internal.LinkedProviderBindingImpl,18,46,0,46,0.22946859903381642,0.4589371980676329,0.821256038647343,0.6666666666666666,0.25126996351529013
com.google.inject.internal.InjectorImpl,223,601,0,601,0.21881318878103012,0.43762637756206024,0.995834719911259,0.5067264573991032,0.22083318451640419
