parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.jsoup.nodes.Element,233,426,74,352,0.09126720264361562,0.1825344052872313,0.9892515879591273,0.48068669527896996,0.08679877438715738
org.jsoup.select.Collector,6,276,0,276,0.9969806763285024,0.006038647342995196,0.0357048748353096,0.3333333333333333,7.186971585207277e-05
org.jsoup.parser.TreeBuilder,17,406,0,406,0.6506809620399884,0.6986380759200232,0.4031502767134951,0.47058823529411764,0.1325440628845841
org.jsoup.select.Evaluator,100,277,0,277,0.019494584837545126,0.03898916967509025,0.6986867577041804,0.33,0.008989601460136097
org.jsoup.select.StructuralEvaluator,38,55,0,55,0.15598086124401914,0.3119617224880382,0.8821548821548821,0.4473684210526316,0.12311514371448895
org.jsoup.parser.TokeniserState,439,406,0,406,0.07627052077605843,0.1525410415521169,0.9299397920087575,0.26651480637813213,0.037806187200664365
org.jsoup.helper.HttpConnection,329,25,19,6,0.04474164133738602,0.08948328267477201,0.9966666666666667,0.1276595744680851,0.011385319795641205
org.jsoup.select.Selector,19,244,55,189,0.11583261432269197,0.23166522864538397,0.04044390474262971,0.15789473684210525,0.0014793862799231748
org.jsoup.nodes.Node,131,429,24,405,0.2017295681417819,0.4034591362835638,0.9335446484979195,0.48854961832061067,0.1840108055279945
org.jsoup.parser.CharacterReader,139,434,19,415,0.2945330371647383,0.5890660743294766,0.9296516639882504,0.4748201438848921,0.2600239777637554
org.jsoup.nodes.Document,115,253,31,222,0.09520536174600447,0.19041072349200894,0.9813350900307422,0.43478260869565216,0.0812420541221084
org.jsoup.nodes.Entities,86,216,15,201,0.16978897502153317,0.33957795004306635,0.8174418604651162,0.45348837209302323,0.1258816746394098
org.jsoup.parser.HtmlTreeBuilderState,673,392,0,392,0.12414334232950237,0.24828668465900472,0.9851244845764393,0.31203566121842496,0.0763218296774115
org.jsoup.safety.Whitelist,88,31,0,31,0.3977272727272727,0.7954545454545454,0.9634408602150537,0.36363636363636365,0.27868124055807336
org.jsoup.nodes.Attributes,96,430,5,425,0.09777131782945736,0.19554263565891472,0.9540521494009866,0.46875,0.08744900242965074
org.jsoup.parser.Tokeniser,603,415,0,415,0.08917261084137545,0.1783452216827509,0.9331936441417845,0.25538971807628524,0.04250467099495806
org.jsoup.parser.HtmlTreeBuilder,941,406,0,406,0.14014019254225932,0.2802803850845186,0.9874475460682357,0.3007438894792774,0.08323453401165075
org.jsoup.nodes.Attribute,136,461,7,454,0.09019714176342988,0.1803942835268597,0.9562105064604357,0.40441176470588236,0.06975897063792814
org.jsoup.helper.W3CDom,35,4,4,0,0.8071428571428572,0.3857142857142857,1.0,0.17142857142857143,0.06612244897959182
org.jsoup.parser.ParseErrorList,4,415,0,415,0.327710843373494,0.655421686746988,0.43719224724986905,1.0,0.2865452801252154
org.jsoup.helper.DataUtil,69,29,11,18,0.2698650674662669,0.5397301349325337,0.9014778325123153,0.391304347826087,0.19039098998369738
org.jsoup.select.Elements,123,187,33,154,0.016651449936959262,0.033302899873918546,0.615778276119832,0.3008130081300813,0.006168833204419989
org.jsoup.select.NodeTraversor,10,409,0,409,0.9801955990220049,0.03960880195599015,0.23268133659331702,0.3,0.0027648686939939333
org.jsoup.nodes.Comment,7,20,0,20,0.5357142857142857,0.9285714285714286,0.5210526315789474,0.42857142857142855,0.20735767991407092
org.jsoup.safety.Cleaner,32,30,30,0,0.6645833333333333,0.6708333333333334,0.9563218390804598,0.40625,0.2606226053639847
org.jsoup.Jsoup,15,393,0,393,0.07667514843087363,0.15335029686174728,0.36430908241159055,1.0,0.05586690593724816
org.jsoup.select.CombiningEvaluator,14,103,0,103,0.4077669902912621,0.8155339805825242,0.3733104892442414,0.7142857142857143,0.21746242091897555
org.jsoup.helper.Validate,29,503,0,503,0.33104819359703846,0.6620963871940769,0.6975834237602274,0.6896551724137931,0.3185292859573251
org.jsoup.helper.StringUtil,54,430,8,422,0.1574935400516796,0.3149870801033592,0.9044072206862904,0.5370370370370371,0.15298927963671669
org.jsoup.parser.XmlTreeBuilder,37,17,15,2,0.5278219395866455,0.9443561208267091,0.9558823529411765,0.43243243243243246,0.390353881422805
org.jsoup.parser.TokenQueue,104,255,6,249,0.24177978883861237,0.4835595776772248,0.7526941485255519,0.28846153846153844,0.10499205709071177
org.jsoup.parser.Token,786,433,6,427,0.12778179339362633,0.25556358678725266,0.9849243007441622,0.2786259541984733,0.07013315821329638
org.jsoup.nodes.TextNode,30,274,5,269,0.14282238442822384,0.28564476885644763,0.758616079783963,0.36666666666666664,0.07945472874558066
org.jsoup.nodes.DocumentType,15,12,4,8,0.6888888888888889,0.6222222222222222,0.8181818181818181,0.3333333333333333,0.16969696969696968
org.jsoup.select.QueryParser,164,248,4,244,0.16035601888276949,0.320712037765539,0.7359605589656524,0.6341463414634146,0.14967845549035189
org.jsoup.parser.Tag,42,441,10,431,0.18129791599179354,0.36259583198358714,0.8975572047000618,0.5238095238095238,0.1704740721572333
org.jsoup.nodes.XmlDeclaration,10,9,0,9,0.7444444444444445,0.5111111111111111,0.6388888888888888,0.4,0.13061728395061728
org.jsoup.parser.Parser,21,426,0,426,0.0763469707131679,0.15269394142633574,0.4818668876001104,0.6666666666666666,0.049052102873667985
org.jsoup.nodes.FormElement,22,22,9,13,0.19008264462809918,0.3801652892561984,0.7316017316017316,0.4090909090909091,0.11378028432874417
org.jsoup.SerializationException,,,,,,,,,
org.jsoup.Connection,,,,,,,,,
org.jsoup.parser.ParseSettings,9,434,0,434,0.6362007168458781,0.7275985663082438,0.2043294558380605,0.5555555555555556,0.08259434395684247
org.jsoup.parser.ParseError,8,415,0,415,0.28945783132530123,0.5789156626506025,0.4372155287817938,0.75,0.18983318817438427
org.jsoup.UnsupportedMimeTypeException,,,,,,,,,
org.jsoup.HttpStatusException,,,,,,,,,
org.jsoup.nodes.DataNode,7,17,0,17,0.31932773109243695,0.6386554621848739,0.5808823529411764,0.5714285714285714,0.2119906786243909
org.jsoup.nodes.BooleanAttribute,1,4,0,4,1.0,0.0,0.0,1.0,0.0
org.jsoup.TextUtil,1,79,0,79,1.0,0.0,0.0,1.0,0.0
