parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.collections4.iterators,42,4933,1619,3314,0.04638826947766741,0.09277653895533478,0.8396061974990419,1.0,0.07789575708941036
org.apache.commons.collections4.functors,52,1850,1647,203,0.021985446985446987,0.04397089397089393,0.6553859646558402,1.0,0.028817906761893986
org.apache.commons.collections4,265,13237,1153,12084,0.02391438520670334,0.04782877041340672,0.9928509318447725,0.9320754716981132,0.04426131811571062
org.apache.commons.collections4.bag,15,597,0,597,0.2790619765494137,0.5581239530988275,0.9435713241824334,1.0,0.526629757483395
org.apache.commons.collections4.comparators,7,2003,210,1793,0.2707367520148349,0.5414735040296698,0.5857273031511674,1.0,0.31715581524311126
org.apache.commons.collections4.sequence,6,6,0,6,1.0,0.0,0.0,0.16666666666666666,0.0
org.apache.commons.collections4.bidimap,11,3512,338,3174,0.25962932284116796,0.5192586456823359,0.7756817331017583,0.9090909090909091,0.36616313291904196
org.apache.commons.collections4.multimap,8,992,0,992,0.4938256048387097,0.9876512096774194,0.7508971875915498,0.875,0.6489214512096455
org.apache.commons.collections4.list,13,1121,258,863,0.17271666781033418,0.34543333562066836,0.8269051866955525,0.9230769230769231,0.26366826173748575
org.apache.commons.collections4.trie.analyzer,1,1000,1000,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.collections4.map,38,5715,90,5625,0.08928949670764838,0.17857899341529682,0.9360543442745191,0.9736842105263158,0.16276070461986042
org.apache.commons.collections4.splitmap,2,8,0,8,1.0,0.0,0.0,0.5,0.0
org.apache.commons.collections4.multiset,7,400,0,400,0.5053571428571428,0.9892857142857143,0.7476441102756892,0.7142857142857143,0.528309741189709
org.apache.commons.collections4.collection,8,6614,4870,1744,0.15796038705775628,0.31592077411551256,0.46974988695283704,1.0,0.1484037479268148
org.apache.commons.collections4.keyvalue,8,2537,1731,806,0.196491919590067,0.392983839180134,0.6154711531168362,1.0,0.2418702166564784
org.apache.commons.collections4.queue,5,149,120,29,0.24026845637583893,0.48053691275167787,0.7477779793216035,0.8,0.28746793728551306
org.apache.commons.collections4.set,17,3310,704,2606,0.15151945974764527,0.3030389194952905,0.6833661560205209,0.9411764705882353,0.19490498027304354
org.apache.commons.collections4.trie,6,1000,0,1000,0.8968333333333334,0.20633333333333326,0.47215015015015016,0.3333333333333333,0.03247343810477142
