parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.compress.archivers.zip,46,359,46,313,0.12322877558435268,0.24645755116870538,0.9658113007889699,0.8260869565217391,0.1966347075472486
org.apache.commons.compress.compressors.gzip,4,25,8,17,0.45,0.9,0.8166666666666667,1.0,0.735
org.apache.commons.compress.compressors.deflate,3,17,6,11,0.5686274509803921,0.8627450980392157,0.7794117647058824,1.0,0.6724336793540946
org.apache.commons.compress.compressors.lz4,5,82,23,59,0.5073170731707317,0.9853658536585366,0.8398072869617585,1.0,0.8275174242257328
org.apache.commons.compress.archivers.tar,4,118,29,89,0.673728813559322,0.652542372881356,0.7753150803998261,1.0,0.5059259422948018
org.apache.commons.compress.archivers.dump,12,47,5,42,0.24645390070921985,0.4929078014184397,0.5328399629972248,0.75,0.19698073100163363
org.apache.commons.compress.utils,16,566,186,380,0.1399072438162544,0.2798144876325088,0.8920353982300885,0.75,0.18720332092935987
org.apache.commons.compress.archivers.jar,3,85,69,16,0.41568627450980394,0.8313725490196079,0.4210084033613445,1.0,0.3500148294611962
org.apache.commons.compress.compressors.lzma,3,12,7,5,0.4722222222222222,0.9444444444444444,0.6818181818181819,1.0,0.643939393939394
org.apache.commons.compress.compressors.snappy,6,23,7,16,0.463768115942029,0.927536231884058,0.7628458498023716,0.8333333333333334,0.5896393041950698
org.apache.commons.compress.compressors.lz77support,3,101,51,50,0.570957095709571,0.858085808580858,0.7912871287128713,1.0,0.6789922556612097
org.apache.commons.compress.compressors.pack200,7,20,11,9,0.35714285714285715,0.7142857142857143,0.8105263157894737,0.8571428571428571,0.49624060150375937
org.apache.commons.compress.compressors.bzip2,5,42,13,29,0.4238095238095238,0.8476190476190476,0.8153310104529616,1.0,0.6910900945744151
org.apache.commons.compress.archivers.cpio,4,74,40,34,0.5337837837837838,0.9324324324324325,0.6915957052943354,1.0,0.6448662657474209
org.apache.commons.compress.archivers.sevenz,19,99,40,59,0.405103668261563,0.810207336523126,0.834054834054834,0.7894736842105263,0.5334926412740566
org.apache.commons.compress.archivers,102,468,67,401,0.08674794704206469,0.17349589408412935,0.9884972272552572,0.8235294117647058,0.14123546725839242
org.apache.commons.compress.archivers.memory,2,1,0,1,1.0,0.0,0,0.5,0.0
org.apache.commons.compress.archivers.arj,4,39,33,6,0.3269230769230769,0.6538461538461539,0.27935222672064774,0.75,0.13699003425724074
org.apache.commons.compress.changes,4,26,0,26,0.9615384615384616,0.07692307692307687,0.14769230769230768,0.5,0.0056804733727810605
org.apache.commons.compress,170,749,144,605,0.0508521165475536,0.10170423309510723,0.9926247474350828,0.8411764705882353,0.08492024607378043
org.apache.commons.compress.archivers.ar,7,77,20,57,0.2782931354359926,0.5565862708719852,0.736842105263158,0.8571428571428571,0.3515281710770433
org.apache.commons.compress.compressors.lzw,1,5,5,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.compress.compressors,46,243,41,202,0.08606190731794597,0.17212381463589188,0.973778185899398,0.9565217391304348,0.1603230065763873
org.apache.commons.compress.compressors.xz,3,17,12,5,0.43137254901960786,0.8627450980392157,0.7573529411764706,1.0,0.6534025374855825
org.apache.commons.compress.compressors.z,1,8,8,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.compress.parallel,1,4,4,0,1.0,0.0,0.0,1.0,0.0
