parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.math4.complex,219,290,5,285,0.02629507164226106,0.05259014328452216,0.9802171578570577,0.502283105022831,0.02589257390859119
org.apache.commons.math4.dfp,230,190,0,190,0.19901601830663615,0.39803203661327236,0.9273739905318853,0.5826086956521739,0.2150551773590445
org.apache.commons.math4.distribution,510,645,35,610,0.015272837817297462,0.03054567563459487,0.9857961384756126,0.5568627450980392,0.01676814466845152
org.apache.commons.math4.stat.descriptive,559,557,2,555,0.035351021155371705,0.0707020423107434,0.9965707864588043,0.59391771019678,0.04184719830066891
org.apache.commons.math4.optim.nonlinear.scalar,189,120,0,120,0.12473544973544974,0.2494708994708995,0.9072829131652661,0.30158730158730157,0.06826147625422892
org.apache.commons.math4.analysis.integration.gauss,39,130,0,130,0.11005917159763313,0.22011834319526624,0.6983899821109123,0.5641025641025641,0.08671861043234266
org.apache.commons.math4.geometry.euclidean.threed,356,299,9,290,0.03445003945736726,0.06890007891473449,0.9898992166281341,0.6179775280898876,0.042148622223395237
org.apache.commons.math4.geometry.spherical.twod,102,31,2,29,0.22707147375079065,0.45414294750158124,0.9935483870967742,0.5490196078431373,0.24772478047145077
org.apache.commons.math4.util,618,4595,597,3998,0.016173482503495075,0.03234696500699019,0.9959320550104859,0.7394822006472492,0.02382269960367825
org.apache.commons.math4.fitting.leastsquares,167,162,0,162,0.3261994529459599,0.6523989058919198,0.9623495130741507,0.3413173652694611,0.21429125063872018
org.apache.commons.math4.distribution.fitting,12,9,3,6,0.3888888888888889,0.7777777777777778,0.8333333333333334,0.5,0.32407407407407407
org.apache.commons.math4.linear,1008,1320,4,1316,0.025173611111111112,0.05034722222222221,0.9968743538493349,0.6617063492063492,0.033210945468384316
org.apache.commons.math4.analysis.differentiation,268,402,3,399,0.062244746417167894,0.12448949283433575,0.9978288110569348,0.8246268656716418,0.1024344917160317
org.apache.commons.math4.optim.linear,96,34,0,34,0.5793504901960784,0.8412990196078431,0.9180035650623886,0.21875,0.16894401546826393
org.apache.commons.math4.analysis.solvers,138,237,48,189,0.09842230783342507,0.1968446156668502,0.9246942716155332,0.5217391304347826,0.09496752443765093
org.apache.commons.math4.stat.regression,113,109,0,109,0.10481448404643988,0.20962896809287979,0.955997281685355,0.5486725663716814,0.10995657404315524
org.apache.commons.math4.random,78,93,8,85,0.03336090432864627,0.06672180865729249,0.9181860682561945,0.41025641025641024,0.02513355288532575
org.apache.commons.math4.ode.sampling,71,318,0,318,0.1793781557268137,0.3587563114536274,0.9440311092593695,0.5774647887323944,0.19557411077281797
org.apache.commons.math4.fraction,168,323,8,315,0.05510098776352646,0.11020197552705291,0.9797896275214891,0.6488095238095238,0.07005504778787139
org.apache.commons.math4.stat.descriptive.moment,145,351,9,342,0.06837606837606838,0.1367521367521367,0.9867317867317867,0.7103448275862069,0.09585228320271053
org.apache.commons.math4.genetics,113,63,3,60,0.10057592358477314,0.20115184716954626,0.9902713773681515,0.584070796460177,0.11634393368092456
org.apache.commons.math4.analysis.integration,78,145,0,145,0.10159151193633953,0.20318302387267906,0.7727011494252873,0.5897435897435898,0.09258959974545816
org.apache.commons.math4.geometry.euclidean.twod,188,264,43,221,0.07531431334622823,0.15062862669245647,0.9569074778200254,0.574468085106383,0.08280248510438006
org.apache.commons.math4.ode.nonstiff,296,351,0,351,0.0628994378994379,0.12579887579887583,0.9826943426943426,0.597972972972973,0.07392252132088124
org.apache.commons.math4.analysis,832,1106,51,1055,0.015125104326053693,0.03025020865210737,0.9924557943917587,0.6658653846153846,0.019990607153272107
org.apache.commons.math4.ode,628,371,0,371,0.0904896389513623,0.1809792779027246,0.9923508414074452,0.4968152866242038,0.08922551094852414
org.apache.commons.math4.stat.correlation,66,63,2,61,0.10485810485810486,0.20971620971620974,0.9457245263696876,0.5151515151515151,0.10217193856971046
org.apache.commons.math4.ode.events,55,63,0,63,0.21702741702741704,0.434054834054834,0.7956989247311828,0.2545454545454545,0.08791413647718631
org.apache.commons.math4.geometry.partitioning,168,138,0,138,0.2375776397515528,0.47515527950310554,0.9857188194224056,0.4107142857142857,0.1923660451168725
org.apache.commons.math4.exception,103,1147,4,1143,0.07174477954308835,0.14348955908617667,0.9540800723033454,0.6893203883495146,0.09436832575191977
org.apache.commons.math4.analysis.function,152,415,59,356,0.021179454660748255,0.04235890932149655,0.920877713753565,0.7697368421052632,0.0300254140924322
org.apache.commons.math4.geometry.spherical.oned,83,59,2,57,0.3285685113334695,0.657137022666939,0.994155464640561,0.5783132530120482,0.3778099443481247
