parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.cli.Option,109,306,41,265,0.2634166816573724,0.5268333633147448,0.9927783135111968,0.7889908256880734,0.4126648758003834
org.apache.commons.cli.PosixParser,6,112,49,63,0.7142857142857143,0.5714285714285714,0.8005148005148005,0.8333333333333334,0.3811975240546669
org.apache.commons.cli.OptionBuilder,20,153,9,144,0.257843137254902,0.515686274509804,0.9509803921568627,0.9,0.4413667820069205
org.apache.commons.cli.Options,17,286,10,276,0.4304812834224599,0.8609625668449198,0.9334805545331861,0.9411764705882353,0.7564158252524339
org.apache.commons.cli.CommandLine,19,228,3,225,0.2188365650969529,0.43767313019390586,0.9284334183476312,1.0,0.40635036038483585
org.apache.commons.cli.DefaultParser,23,64,58,6,0.49116847826086957,0.9823369565217391,0.9786706349206349,0.8695652173913043,0.8359863764740301
org.apache.commons.cli.TypeHandler,9,7,0,7,0.42857142857142855,0.8571428571428571,0.9523809523809523,0.7777777777777778,0.6349206349206349
org.apache.commons.cli.HelpFormatter,43,33,25,8,0.2677942212825934,0.5355884425651868,0.9621212121212122,0.6744186046511628,0.3475285824467201
org.apache.commons.cli.AlreadySelectedException,2,2,0,2,1.0,0.0,0.0,0.5,0.0
org.apache.commons.cli.OptionValidator,3,302,0,302,0.9834437086092715,0.0331125827814569,0.05841455633539416,1.0,0.001934256832297817
org.apache.commons.cli.Parser,12,187,0,187,0.7424242424242424,0.5151515151515151,0.7783336208383647,0.75,0.30071980805118637
org.apache.commons.cli.Util,2,255,2,253,0.711764705882353,0.5764705882352941,0.4947352169214142,1.0,0.28520030151940345
org.apache.commons.cli.MissingArgumentException,1,8,0,8,1.0,0.0,0.0,1.0,0.0
org.apache.commons.cli.GnuParser,1,42,37,5,1.0,0.0,0.0,1.0,0.0
org.apache.commons.cli.ParseException,,,,,,,,,
org.apache.commons.cli.OptionGroup,8,37,13,24,0.5743243243243243,0.8513513513513513,0.7642642642642643,0.75,0.4879930606281958
org.apache.commons.cli.MissingOptionException,2,20,0,20,0.825,0.3500000000000001,0.4789473684210527,1.0,0.1676315789473685
org.apache.commons.cli.BasicParser,1,34,34,0,1.0,0.0,0.0,1.0,0.0
org.apache.commons.cli.PatternOptionBuilder,3,9,9,0,0.8888888888888888,0.22222222222222232,0.41666666666666663,1.0,0.09259259259259263
org.apache.commons.cli.UnrecognizedOptionException,1,21,0,21,1.0,0.0,0.0,1.0,0.0
org.apache.commons.cli.AmbiguousOptionException,2,8,0,8,0.9375,0.125,0.25,1.0,0.03125
