parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.compress.archivers.zip.X000A_NTFS,26,7,1,6,0.2802197802197802,0.5604395604395604,0.5238095238095238,0.19230769230769232,0.05645453447651251
org.apache.commons.compress.changes.Change,32,26,26,0,0.6634615384615384,0.6730769230769231,0.9569230769230769,0.53125,0.34216900887573964
org.apache.commons.compress.utils.ByteUtils,12,352,26,326,0.21306818181818182,0.42613636363636365,0.7952117327117327,0.9166666666666666,0.3106295830905206
org.apache.commons.compress.compressors.gzip.GzipCompressorOutputStream,9,9,0,9,0.7901234567901234,0.4197530864197532,0.8055555555555556,0.4444444444444444,0.1502819692120104
org.apache.commons.compress.archivers.dump.DumpArchiveSummary,29,9,0,9,0.06896551724137931,0.13793103448275867,0.0,0.06896551724137931,0.0
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,17,31,12,19,0.3586337760910816,0.7172675521821632,0.7741935483870968,0.7647058823529411,0.42464416751581574
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,58,120,10,110,0.3790229885057471,0.7580459770114942,0.9684873949579832,0.6551724137931034,0.4810000516258822
org.apache.commons.compress.archivers.sevenz.SevenZOutputFile,35,40,33,7,0.8414285714285714,0.31714285714285717,0.8730769230769231,0.34285714285714286,0.0949337519623234
org.apache.commons.compress.compressors.bzip2.CRC,6,22,0,22,0.5151515151515151,0.9696969696969697,0.7142857142857143,0.8333333333333334,0.5772005772005773
org.apache.commons.compress.utils.ServiceLoaderIterator,4,4,0,4,0.75,0.5,0.0,0.5,0.0
org.apache.commons.compress.compressors.pack200.Pack200Utils,4,2,2,0,0.375,0.75,1.0,0.75,0.5625
org.apache.commons.compress.changes.ChangeSetPerformer,8,24,0,24,0.8385416666666666,0.32291666666666674,0.30797101449275366,0.625,0.06215560839371983
org.apache.commons.compress.compressors.bzip2.BZip2CompressorOutputStream,32,15,0,15,0.5354166666666667,0.9291666666666667,0.5904761904761905,0.125,0.06858134920634922
org.apache.commons.compress.archivers.zip.X0016_CertificateIdForCentralDirectory,,,,,,,,,
org.apache.commons.compress.archivers.dump.DumpArchiveEntry,59,11,2,9,0.337442218798151,0.674884437596302,0.8545454545454545,0.13559322033898305,0.07819924454120479
org.apache.commons.compress.archivers.zip.ZipShort,10,145,6,139,0.4531034482758621,0.9062068965517242,0.8868773946360153,1.0,0.8036944114149822
org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp,30,29,7,22,0.2655172413793103,0.5310344827586206,0.7487684729064039,0.6,0.23857312722948865
org.apache.commons.compress.archivers.zip.StreamCompressor,21,53,2,51,0.6217430368373764,0.7565139263252472,0.7743105950653121,0.5714285714285714,0.33472957055319874
org.apache.commons.compress.compressors.lz77support.AbstractLZ77CompressorInputStream,16,46,3,43,0.7282608695652174,0.5434782608695652,0.4772946859903382,0.5,0.1296996429321571
org.apache.commons.compress.archivers.zip.NioZipEncoding,3,62,0,62,0.489247311827957,0.978494623655914,0.7525118984664199,1.0,0.7363288468864969
org.apache.commons.compress.archivers.zip.Simple8BitZipEncoding,12,9,0,9,0.4166666666666667,0.8333333333333334,0.7777777777777778,0.4166666666666667,0.27006172839506176
org.apache.commons.compress.archivers.ar.ArArchiveEntry,11,18,0,18,0.5252525252525253,0.9494949494949494,0.8496732026143791,0.6363636363636364,0.5133929911113511
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,38,122,10,112,0.26617773943054357,0.5323554788610871,0.7306598021948245,0.5,0.1944853744409865
org.apache.commons.compress.archivers.tar.TarArchiveEntry,66,91,6,85,0.2365967365967366,0.47319347319347327,0.9755799755799756,0.45454545454545453,0.2098354895557693
org.apache.commons.compress.compressors.z.ZCompressorInputStream,6,8,0,8,0.4375,0.875,0.6071428571428572,0.3333333333333333,0.17708333333333331
org.apache.commons.compress.compressors.bzip2.BlockSort,16,16,7,9,0.34765625,0.6953125,0.8666666666666667,0.5,0.30130208333333336
org.apache.commons.compress.archivers.zip.ZipEncodingHelper,5,254,0,254,0.4204724409448819,0.8409448818897638,0.114157667050512,0.8,0.07680024466768304
org.apache.commons.compress.compressors.lz4.XXHash32,6,58,3,55,0.867816091954023,0.26436781609195403,0.6200846944948578,1.0,0.16393043647565206
org.apache.commons.compress.archivers.sevenz.AES256SHA256Decoder,5,1,0,1,0.6,0.8,0,0.4,0.0
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,28,43,27,16,0.4900332225913621,0.9800664451827242,0.9601328903654485,0.6785714285714286,0.6385316623752182
org.apache.commons.compress.archivers.zip.AsiExtraField,20,13,4,9,0.573076923076923,0.8538461538461539,0.9102564102564102,0.6,0.46633136094674554
org.apache.commons.compress.compressors.pack200.Pack200Strategy,3,9,0,9,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0
org.apache.commons.compress.archivers.sevenz.SevenZMethod,8,59,9,50,0.5254237288135594,0.9491525423728813,0.6586791350087668,1.0,0.6251869756015414
org.apache.commons.compress.compressors.lzw.LZWInputStream,21,5,0,5,0.6285714285714286,0.7428571428571429,0.6,0.19047619047619047,0.08489795918367347
org.apache.commons.compress.archivers.arj.ArjArchiveInputStream,16,39,3,36,0.14743589743589744,0.29487179487179493,0.2860998650472335,0.375,0.03163604276964602
org.apache.commons.compress.compressors.CompressorStreamFactory,31,37,4,33,0.07933740191804708,0.1586748038360941,0.8888888888888888,0.3870967741935484,0.054597781965107645
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,16,68,2,66,0.18933823529411764,0.3786764705882353,0.34460052677787534,0.4375,0.057090298668852964
org.apache.commons.compress.compressors.gzip.GzipUtils,3,3,0,3,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666
org.apache.commons.compress.compressors.snappy.FramedSnappyDialect,4,11,0,11,0.4772727272727273,0.9545454545454546,0.18181818181818177,0.75,0.1301652892561983
org.apache.commons.compress.archivers.zip.ZipFile,36,54,13,41,0.45164609053497945,0.9032921810699589,0.9287211740041929,0.5555555555555556,0.4660592082622779
org.apache.commons.compress.compressors.bzip2.BZip2Utils,3,3,0,3,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666
org.apache.commons.compress.archivers.dump.DumpArchiveException,,,,,,,,,
org.apache.commons.compress.archivers.tar.TarUtils,22,102,16,86,0.32486631016042783,0.6497326203208557,0.8648806057076296,0.9090909090909091,0.510855583828279
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,62,51,0,51,0.5749525616698292,0.8500948766603416,0.8713725490196078,0.2903225806451613,0.2150562598792348
org.apache.commons.compress.archivers.zip.ZipLong,11,213,6,207,0.32522407170294493,0.6504481434058899,0.8693418371866419,1.0,0.5654617839831166
org.apache.commons.compress.archivers.jar.JarArchiveOutputStream,1,11,1,10,1.0,0.0,0.0,1.0,0.0
org.apache.commons.compress.archivers.zip.Zip64RequiredException,,,,,,,,,
org.apache.commons.compress.archivers.zip.X0015_CertificateIdForFile,,,,,,,,,
org.apache.commons.compress.compressors.snappy.FramedSnappyCompressorInputStream,16,18,8,10,0.4826388888888889,0.9652777777777778,0.7973856209150327,0.625,0.4810616376180102
org.apache.commons.compress.compressors.lzma.LZMACompressorOutputStream,5,1,0,1,0.4,0.8,0,0.4,0.0
org.apache.commons.compress.compressors.pack200.Pack200CompressorInputStream,10,16,0,16,0.1875,0.375,0.6416666666666666,0.4,0.09625
org.apache.commons.compress.compressors.lzma.LZMACompressorInputStream,6,6,0,6,0.25,0.5,0.6,0.5,0.15
org.apache.commons.compress.archivers.zip.X0017_StrongEncryptionHeader,,,,,,,,,
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreator,13,3,2,1,0.8461538461538461,0.3076923076923077,1.0,0.3076923076923077,0.09467455621301776
org.apache.commons.compress.compressors.deflate.DeflateCompressorInputStream,6,11,4,7,0.2878787878787879,0.5757575757575758,0.8363636363636364,1.0,0.48154269972451796
org.apache.commons.compress.archivers.zip.AbstractUnicodeExtraField,11,13,0,13,0.7692307692307693,0.46153846153846145,0.5897435897435898,0.36363636363636365,0.09897794513179127
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,29,82,17,65,0.35744322960470987,0.7148864592094197,0.9277326106594399,0.4827586206896552,0.3201768529580736
org.apache.commons.compress.compressors.lz4.BlockLZ4CompressorOutputStream,38,43,17,26,0.6003671970624235,0.799265605875153,0.9036544850498339,0.3684210526315789,0.266095770866636
org.apache.commons.compress.compressors.snappy.SnappyCompressorOutputStream,21,7,0,7,0.6802721088435374,0.6394557823129252,0.9523809523809523,0.47619047619047616,0.29000262236413843
org.apache.commons.compress.archivers.cpio.CpioUtil,3,36,4,32,0.6018518518518519,0.7962962962962963,0.4301587301587302,1.0,0.34253380364491476
org.apache.commons.compress.archivers.ArchiveStreamFactory,19,139,12,127,0.1684967815221507,0.3369935630443014,0.7800020852882911,0.42105263157894735,0.11067607659085738
org.apache.commons.compress.archivers.ArchiveInputStream,7,174,0,174,0.38834154351395733,0.7766830870279147,0.76161052421766,0.7142857142857143,0.42252143790165747
org.apache.commons.compress.compressors.lz77support.Parameters,6,61,11,50,0.8579234972677595,0.28415300546448097,0.4519125683060109,1.0,0.12841231449132554
org.apache.commons.compress.compressors.lz77support.LZ77Compressor,19,64,14,50,0.618421052631579,0.763157894736842,0.8700396825396826,0.5263157894736842,0.3494619223497339
org.apache.commons.compress.archivers.sevenz.SevenZFile,29,86,14,72,0.3949478748997594,0.7898957497995188,0.7636114911080711,0.6206896551724138,0.37438353392545143
org.apache.commons.compress.archivers.zip.X7875_NewUnix,17,20,5,15,0.37941176470588234,0.7588235294117647,0.7421052631578947,0.5294117647058824,0.29812602440356945
org.apache.commons.compress.compressors.pack200.Pack200CompressorOutputStream,5,3,0,3,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.6,0.2666666666666667
org.apache.commons.compress.compressors.snappy.FramedSnappyCompressorOutputStream,8,2,0,2,0.9375,0.125,1.0,0.25,0.03125
org.apache.commons.compress.archivers.dump.TapeInputStream,11,11,0,11,0.6528925619834711,0.6942148760330578,0.7636363636363637,0.45454545454545453,0.24096714705279693
org.apache.commons.compress.archivers.zip.UnsupportedZipFeatureException,3,2,0,2,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry,48,34,0,34,0.5202205882352942,0.9595588235294117,0.857397504456328,0.3333333333333333,0.2742411135577225
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream,27,26,2,24,0.5854700854700855,0.829059829059829,0.9476923076923077,0.4444444444444444,0.349197165607422
org.apache.commons.compress.archivers.sevenz.BoundedSeekableByteChannelInputStream,4,50,0,50,1.0,0.0,0.0,0.25,0.0
org.apache.commons.compress.utils.IOUtils,8,419,5,414,0.3821599045346062,0.7643198090692124,0.9075378835459227,0.875,0.6069430341405346
org.apache.commons.compress.utils.ArchiveUtils,13,130,0,130,0.18402366863905326,0.36804733727810657,0.6481812760882528,0.7692307692307693,0.1835087636444667
org.apache.commons.compress.compressors.gzip.GzipCompressorInputStream,7,15,0,15,0.41904761904761906,0.8380952380952381,0.8761904761904762,1.0,0.7343310657596372
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,18,65,2,63,0.34102564102564104,0.6820512820512821,0.6798076923076923,0.5555555555555556,0.2575909489371028
org.apache.commons.compress.archivers.jar.JarArchiveInputStream,3,76,0,76,0.39035087719298245,0.7807017543859649,0.2873684210526316,0.6666666666666666,0.14956602031394275
org.apache.commons.compress.archivers.sevenz.DeltaDecoder,5,2,0,2,1.0,0.0,0.0,0.2,0.0
org.apache.commons.compress.archivers.sevenz.SevenZMethodConfiguration,2,42,7,35,0.8928571428571429,0.2142857142857142,0.3612078977932637,1.0,0.07740169238427075
org.apache.commons.compress.archivers.arj.MainHeader,,,,,,,,,
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry,45,52,3,49,0.4905982905982906,0.9811965811965812,0.8273001508295625,0.4,0.3246976318469531
org.apache.commons.compress.compressors.lz4.BlockLZ4CompressorInputStream,6,28,1,27,0.6726190476190477,0.6547619047619047,0.0714285714285714,0.5,0.023384353741496583
org.apache.commons.compress.archivers.sevenz.Folder,6,43,0,43,0.8294573643410853,0.3410852713178294,0.046511627906976716,0.5,0.00793221561204254
org.apache.commons.compress.archivers.sevenz.LZMADecoder,7,11,0,11,0.5064935064935064,0.9870129870129871,0.7454545454545455,0.5714285714285714,0.42044189576657115
org.apache.commons.compress.utils.SeekableInMemoryByteChannel,12,17,13,4,0.4852941176470588,0.9705882352941176,0.9926470588235294,0.9166666666666666,0.8831639273356402
org.apache.commons.compress.archivers.zip.UnshrinkingInputStream,3,2,0,2,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.0
org.apache.commons.compress.compressors.gzip.GzipParameters,10,18,0,18,0.4777777777777778,0.9555555555555556,0.8758169934640523,0.5,0.41844589687726946
org.apache.commons.compress.compressors.pack200.StreamBridge,2,8,0,8,1.0,0.0,0.0,0.5,0.0
org.apache.commons.compress.archivers.sevenz.LZMA2Decoder,8,25,0,25,0.92,0.15999999999999992,0.29000000000000004,0.375,0.017399999999999992
org.apache.commons.compress.archivers.arj.ArjArchiveEntry,9,3,0,3,0.5555555555555556,0.8888888888888888,1.0,0.5555555555555556,0.49382716049382713
org.apache.commons.compress.compressors.snappy.SnappyCompressorInputStream,7,15,0,15,0.580952380952381,0.838095238095238,0.1333333333333333,0.42857142857142855,0.047891156462585016
org.apache.commons.compress.compressors.lz4.FramedLZ4CompressorInputStream,17,57,34,23,0.7966976264189887,0.40660474716202266,0.44674185463659144,0.4117647058823529,0.07479597129167237
org.apache.commons.compress.utils.BoundedInputStream,3,98,0,98,0.6904761904761905,0.6190476190476191,0.7031348621922996,1.0,0.4352739623095188
org.apache.commons.compress.utils.BitInputStream,3,31,14,17,0.6129032258064516,0.7741935483870968,0.5806451612903225,1.0,0.4495317377731529
org.apache.commons.compress.compressors.pack200.TempFileCachingStreamBridge,3,4,0,4,0.9166666666666666,0.16666666666666674,0.5,0.6666666666666666,0.05555555555555558
org.apache.commons.compress.archivers.zip.UnicodeCommentExtraField,1,1,0,1,1.0,0.0,0,1.0,0.0
org.apache.commons.compress.archivers.sevenz.BindPair,,,,,,,,,
org.apache.commons.compress.parallel.FileBasedScatterGatherBackingStore,4,4,0,4,1.0,0.0,0.0,0.25,0.0
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,14,40,1,39,0.14107142857142857,0.28214285714285714,0.3948717948717949,0.5,0.05570512820512821
org.apache.commons.compress.archivers.zip.UnrecognizedExtraField,10,16,0,16,0.66875,0.6625000000000001,0.8416666666666667,0.5,0.2788020833333334
org.apache.commons.compress.archivers.zip.ZipEightByteInteger,12,41,6,35,0.3048780487804878,0.6097560975609756,0.8182926829268293,0.6666666666666666,0.33263930200277614
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,11,13,2,11,0.7972027972027972,0.4055944055944056,0.6282051282051282,0.5454545454545454,0.13897990121766343
org.apache.commons.compress.archivers.zip.ExtraFieldUtils,8,121,5,116,0.3574380165289256,0.7148760330578512,0.79366391184573,1.0,0.5673713088814516
org.apache.commons.compress.archivers.sevenz.Archive,,,,,,,,,
org.apache.commons.compress.archivers.zip.BitStream,3,12,5,7,0.5833333333333334,0.8333333333333333,0.8333333333333334,1.0,0.6944444444444444
org.apache.commons.compress.utils.ChecksumVerifyingInputStream,5,51,0,51,0.6196078431372549,0.7607843137254902,0.18039215686274512,0.6,0.08234371395617071
org.apache.commons.compress.utils.Sets,1,4,0,4,1.0,0.0,0.0,1.0,0.0
org.apache.commons.compress.archivers.memory.MemoryArchiveInputStream,3,1,0,1,0.6666666666666666,0.6666666666666667,0,0.6666666666666666,0.0
org.apache.commons.compress.archivers.zip.ZipUtil,20,132,10,122,0.23712121212121212,0.47424242424242424,0.9037705297247282,0.85,0.3643153779291878
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,15,23,1,22,0.7420289855072464,0.5159420289855072,0.691699604743083,0.5333333333333333,0.19033434534379715
org.apache.commons.compress.compressors.lzma.LZMAUtils,10,10,7,3,0.19,0.38,0.9777777777777777,0.8,0.2972444444444444
org.apache.commons.compress.archivers.zip.ScatterStatistics,,,,,,,,,
org.apache.commons.compress.archivers.dump.InvalidFormatException,,,,,,,,,
org.apache.commons.compress.archivers.jar.JarArchiveEntry,,,,,,,,,
org.apache.commons.compress.archivers.zip.UnparseableExtraFieldData,7,2,0,2,0.5714285714285714,0.8571428571428572,1.0,0.42857142857142855,0.3673469387755102
org.apache.commons.compress.archivers.zip.FallbackZipEncoding,3,205,0,205,0.5040650406504065,0.9918699186991871,0.6250597800095647,1.0,0.6199779931802187
org.apache.commons.compress.archivers.zip.GeneralPurposeBit,16,121,7,114,0.4715909090909091,0.9431818181818182,0.9239669421487603,0.875,0.7625352178812923
org.apache.commons.compress.utils.CountingInputStream,5,1,0,1,1.0,0.0,0,0.2,0.0
org.apache.commons.compress.archivers.zip.ZipMethod,4,95,0,95,0.29210526315789476,0.5842105263157895,0.35879059350503917,1.0,0.20960924146873341
org.apache.commons.compress.archivers.zip.ScatterZipOutputStream,6,4,1,3,0.8333333333333334,0.33333333333333326,0.6666666666666667,0.3333333333333333,0.07407407407407407
org.apache.commons.compress.archivers.dump.DumpArchiveUtil,7,44,3,41,0.2922077922077922,0.5844155844155844,0.43763213530655387,0.8571428571428571,0.21922203438361695
org.apache.commons.compress.utils.CountingOutputStream,5,75,0,75,0.616,0.768,0.5754954954954955,1.0,0.44198054054054053
org.apache.commons.compress.compressors.xz.XZCompressorInputStream,6,9,1,8,0.2777777777777778,0.5555555555555556,0.8055555555555556,1.0,0.4475308641975309
org.apache.commons.compress.utils.FlushShieldFilterOutputStream,1,9,0,9,1.0,0.0,0.0,1.0,0.0
org.apache.commons.compress.archivers.zip.JarMarker,8,23,0,23,0.6304347826086957,0.7391304347826086,0.7193675889328064,0.75,0.39877985908231656
org.apache.commons.compress.archivers.sevenz.Coders,12,51,0,51,0.3088235294117647,0.6176470588235294,0.8141176470588235,0.8333333333333334,0.41903114186851215
org.apache.commons.compress.archivers.zip.UnicodePathExtraField,1,14,0,14,1.0,0.0,0.0,1.0,0.0
org.apache.commons.compress.archivers.zip.Zip64Mode,,,,,,,,,
org.apache.commons.compress.compressors.lz4.FramedLZ4CompressorOutputStream,14,22,0,22,0.6525974025974026,0.6948051948051948,0.24675324675324672,0.21428571428571427,0.03673830807411512
org.apache.commons.compress.compressors.deflate.DeflateParameters,4,14,3,11,0.375,0.75,0.7912087912087912,1.0,0.5934065934065934
org.apache.commons.compress.archivers.sevenz.Coder,24,51,0,51,0.2647058823529412,0.5294117647058824,0.8768627450980392,0.5833333333333334,0.27079584775086507
org.apache.commons.compress.compressors.snappy.PureJavaCrc32C,4,11,0,11,0.6590909090909091,0.6818181818181819,0.4727272727272728,1.0,0.3223140495867769
org.apache.commons.compress.compressors.pack200.InMemoryCachingStreamBridge,1,6,0,6,1.0,0.0,0.0,1.0,0.0
org.apache.commons.compress.utils.Lists,2,4,0,4,1.0,0.0,0.0,0.5,0.0
org.apache.commons.compress.archivers.sevenz.SubStreamsInfo,,,,,,,,,
org.apache.commons.compress.compressors.CompressorInputStream,5,120,0,120,0.45666666666666667,0.9133333333333333,0.4065826330532213,0.8,0.2970763772175537
org.apache.commons.compress.compressors.xz.XZUtils,10,11,7,4,0.19090909090909092,0.38181818181818183,0.9454545454545454,0.8,0.2887933884297521
