parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.fileupload.MultipartStream,27,19,0,19,0.8031189083820662,0.39376218323586754,0.3801169590643275,0.18518518518518517,0.02771771920113861
org.apache.commons.fileupload.MockHttpServletRequest,58,22,0,22,0.09796238244514106,0.1959247648902821,0.33766233766233766,0.10344827586206896,0.00684376697780654
org.apache.commons.fileupload.FileUploadBase,48,22,0,22,0.42140151515151514,0.8428030303030303,0.7575757575757576,0.3958333333333333,0.2527344945668809
org.apache.commons.fileupload.disk.DiskFileItem,32,33,0,33,0.3039772727272727,0.6079545454545454,0.9545454545454546,0.5625,0.3264301394628099
org.apache.commons.fileupload.servlet.ServletRequestContext,6,22,0,22,0.7878787878787878,0.4242424242424243,0.17748917748917747,0.6666666666666666,0.05019895928986838
org.apache.commons.fileupload.DiskFileUpload,,,,,,,,,
org.apache.commons.fileupload.util.mime.MimeUtility,3,30,6,24,0.45555555555555555,0.9111111111111111,0.3425287356321839,1.0,0.3120817369093231
org.apache.commons.fileupload.DefaultFileItemFactory,1,5,0,5,1.0,0.0,0.0,1.0,0.0
org.apache.commons.fileupload.ParameterParser,11,28,5,23,0.8668831168831169,0.26623376623376616,0.5317460317460317,0.45454545454545453,0.0643494312325481
org.apache.commons.fileupload.servlet.ServletFileUpload,4,15,0,15,0.25,0.5,0.36190476190476195,1.0,0.18095238095238098
org.apache.commons.fileupload.util.FileItemHeadersImpl,4,19,0,19,0.5263157894736842,0.9473684210526316,0.10526315789473684,0.5,0.04986149584487535
org.apache.commons.fileupload.HttpServletRequestFactory,3,2,0,2,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666
org.apache.commons.fileupload.util.Streams,5,21,0,21,0.45714285714285713,0.9142857142857143,0.6,0.6,0.32914285714285707
org.apache.commons.fileupload.util.mime.Base64Decoder,1,18,13,5,1.0,0.0,0.0,1.0,0.0
org.apache.commons.fileupload.FileUpload,66,22,0,22,0.38292011019283745,0.7658402203856749,0.8354978354978355,0.3939393939393939,0.25206521224552775
org.apache.commons.fileupload.util.mime.QuotedPrintableDecoder,2,12,11,1,0.75,0.5,0.5454545454545454,1.0,0.2727272727272727
org.apache.commons.fileupload.disk.DiskFileItemFactory,7,27,0,27,0.2857142857142857,0.5714285714285714,0.3133903133903134,0.42857142857142855,0.0767486481772196
org.apache.commons.fileupload.FileItemStream,,,,,,,,,
org.apache.commons.fileupload.util.mime.ParseException,,,,,,,,,
org.apache.commons.fileupload.util.LimitedInputStream,5,3,0,3,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.6,0.2666666666666667
org.apache.commons.fileupload.FileUploadException,3,1,0,1,0.3333333333333333,0.6666666666666666,0,0.6666666666666666,0.0
org.apache.commons.fileupload.InvalidFileNameException,1,1,0,1,1.0,0.0,0,1.0,0.0
org.apache.commons.fileupload.DefaultFileItem,3,7,5,2,0.5714285714285714,0.8571428571428572,0.47619047619047616,0.6666666666666666,0.27210884353741494
