parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.io.FileUtils,115,567,168,399,0.04978145847711065,0.09956291695422126,0.8346389465352952,0.8173913043478261,0.06792447202905495
org.apache.commons.io.input.BoundedInputStream,12,2,2,0,0.125,0.25,1.0,0.25,0.0625
org.apache.commons.io.IOUtils,129,394,182,212,0.031381576358556644,0.0627631527171133,0.9442011857248034,0.7984496124031008,0.047316956985879885
org.apache.commons.io.SelectorAdapter,,,,,,,,,
org.apache.commons.io.EndianUtils,30,29,21,8,0.09885057471264368,0.19770114942528738,0.9901477832512315,0.8666666666666667,0.16965290753637963
org.apache.commons.io.input.ClosedInputStream,1,6,1,5,1.0,0.0,0.0,1.0,0.0
org.apache.commons.io.output.CountingOutputStream,5,2,2,0,1.0,0.0,0.0,0.2,0.0
org.apache.commons.io.input.NullInputStream,14,9,6,3,0.3492063492063492,0.6984126984126984,0.9166666666666666,0.7142857142857143,0.4572940287226001
org.apache.commons.io.filefilter.FileFilterUtils,42,53,0,53,0.08131176999101528,0.1626235399820306,0.95355587808418,0.7619047619047619,0.11814905330645557
org.apache.commons.io.input.TailerListenerAdapter,,,,,,,,,
org.apache.commons.io.filefilter.AgeFileFilter,2,1,0,1,1.0,0.0,0,0.5,0.0
org.apache.commons.io.input.DemuxInputStream,3,1,0,1,0.6666666666666666,0.6666666666666667,0,0.6666666666666666,0.0
org.apache.commons.io.comparator.SizeFileComparator,5,15,9,6,0.37333333333333335,0.7466666666666667,0.6476190476190475,0.8,0.38684444444444444
org.apache.commons.io.CopyUtils,12,14,10,4,0.1488095238095238,0.29761904761904767,0.9560439560439561,0.9166666666666666,0.2608254840397698
org.apache.commons.io.input.CharSequenceReader,8,7,7,0,0.35714285714285715,0.7142857142857143,0.9047619047619048,1.0,0.6462585034013606
org.apache.commons.io.output.NullWriter,10,5,1,4,0.32,0.64,1.0,0.7,0.44799999999999995
org.apache.commons.io.input.WindowsLineEndingInputStream,5,7,7,0,0.8,0.3999999999999999,0.0,0.4,0.0
org.apache.commons.io.FileCleaner,7,9,9,0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0
