parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.math4.geometry.euclidean.twod.Vector2D,41,204,49,155,0.07902917264466762,0.15805834528933527,0.883125664058727,0.7804878048780488,0.10894468772188703
org.apache.commons.math4.analysis.function.Sigmoid,7,16,9,7,0.25892857142857145,0.5178571428571429,0.7916666666666666,0.8571428571428571,0.35140306122448983
org.apache.commons.math4.linear.SymmLQ,22,36,36,0,0.4595959595959596,0.9191919191919192,0.8412698412698413,0.5,0.3866442199775533
org.apache.commons.math4.distribution.ConstantRealDistribution,11,14,9,5,0.16883116883116883,0.33766233766233766,0.9120879120879121,0.6363636363636364,0.1959858323494687
org.apache.commons.math4.analysis.interpolation.UnivariatePeriodicInterpolator,3,5,5,0,0.7333333333333333,0.5333333333333334,0.6,0.6666666666666666,0.21333333333333337
org.apache.commons.math4.linear.RealVector,85,383,110,273,0.04386422976501306,0.08772845953002606,0.9483548179842248,0.7647058823529411,0.0636217761473674
org.apache.commons.math4.analysis.differentiation.SparseGradient,93,120,120,0,0.06290322580645161,0.12580645161290316,0.9997198879551821,0.967741935483871,0.12171407584886185
org.apache.commons.math4.linear.QRDecomposition,12,108,10,98,0.3950617283950617,0.7901234567901234,0.8634475597092419,0.8333333333333334,0.5685251421953856
org.apache.commons.math4.geometry.euclidean.oned.Vector1D,37,160,47,113,0.04881756756756757,0.09763513513513511,0.6533018867924528,0.7567567567567568,0.0482698947034745
org.apache.commons.math4.ml.neuralnet.twod.NeuronSquareMesh2D,14,23,16,7,0.18012422360248448,0.36024844720496896,0.5217391304347826,0.6428571428571429,0.12082867173334363
org.apache.commons.math4.geometry.euclidean.threed.FieldVector3D,67,83,30,53,0.0704909188994785,0.140981837798957,0.8166323831913018,0.5074626865671642,0.0584243486926472
org.apache.commons.math4.linear.ArrayRealVector,49,546,108,438,0.11553412573820737,0.23106825147641474,0.9618980407971234,0.9795918367346939,0.21772809637771137
org.apache.commons.math4.optim.BaseOptimizer,11,134,0,134,0.4396200814111262,0.8792401628222524,0.8269554483222983,0.8181818181818182,0.594893817024256
org.apache.commons.math4.dfp.Dfp,205,190,83,107,0.19994865211810012,0.3998973042362002,0.9272626009468115,0.6439024390243903,0.238765343930602
org.apache.commons.math4.geometry.spherical.twod.PropertiesComputer,8,7,0,7,0.875,0.25,0.5238095238095238,0.375,0.04910714285714286
org.apache.commons.math4.distribution.MultivariateNormalDistribution,8,10,5,5,0.3,0.6,0.8444444444444444,0.625,0.31666666666666665
org.apache.commons.math4.primes.Primes,3,3,3,0,0.4444444444444444,0.8888888888888888,1.0,1.0,0.8888888888888888
org.apache.commons.math4.analysis.integration.IterativeLegendreGaussIntegrator,3,28,5,23,1.0,0.0,0.0,0.3333333333333333,0.0
org.apache.commons.math4.genetics.BinaryChromosome,3,29,3,26,0.47126436781609193,0.9425287356321839,0.5295566502463054,1.0,0.49912236000226484
org.apache.commons.math4.ode.nonstiff.EulerFieldIntegrator,4,17,14,3,0.9117647058823529,0.17647058823529416,0.4852941176470589,0.5,0.04282006920415226
org.apache.commons.math4.analysis.solvers.NewtonRaphsonSolver,3,3,2,1,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.0
org.apache.commons.math4.stat.correlation.Covariance,9,15,6,9,0.42962962962962964,0.8592592592592593,0.638095238095238,0.5555555555555556,0.3046051342347639
org.apache.commons.math4.optim.univariate.UnivariateOptimizer,7,32,0,32,0.9553571428571429,0.08928571428571419,0.12096774193548387,0.2857142857142857,0.003085911784068463
org.apache.commons.math4.analysis.solvers.BaseSecantSolver,6,32,0,32,0.4791666666666667,0.9583333333333334,0.6653225806451613,0.8333333333333334,0.5313340053763441
org.apache.commons.math4.geometry.euclidean.twod.Euclidean2D,5,10,3,7,0.58,0.8400000000000001,0.5333333333333333,0.8,0.35840000000000005
org.apache.commons.math4.geometry.partitioning.AbstractRegion,30,135,0,135,0.2217283950617284,0.44345679012345673,0.9562189054726368,0.5666666666666667,0.24029033433654765
org.apache.commons.math4.linear.EigenDecomposition,22,70,28,42,0.25,0.5,0.8807453416149068,0.7272727272727273,0.32027103331451157
org.apache.commons.math4.stat.StatUtils,33,40,17,23,0.06666666666666667,0.1333333333333333,0.841025641025641,0.696969696969697,0.07815591815591814
org.apache.commons.math4.complex.ComplexUtils,103,19,14,5,0.03934593765968319,0.07869187531936639,0.8830409356725146,0.14563106796116504,0.010119633089102643
org.apache.commons.math4.analysis.differentiation.DerivativeStructure,96,269,123,146,0.08159076827757125,0.16318153655514256,0.9948954114187427,0.96875,0.15727516938612832
org.apache.commons.math4.stat.descriptive.rank.PSquarePercentile,37,47,47,0,0.5313398504887866,0.9373202990224268,0.9232192414431082,0.5135135135135135,0.4443700155027441
org.apache.commons.math4.stat.descriptive.SynchronizedDescriptiveStatistics,13,8,8,0,0.33653846153846156,0.6730769230769231,0.8928571428571429,0.6153846153846154,0.36982248520710065
org.apache.commons.math4.util.Precision,21,906,14,892,0.09644696730789445,0.19289393461578896,0.8140426621784786,0.8095238095238095,0.1271145792807719
org.apache.commons.math4.genetics.DummyBinaryChromosome,2,6,0,6,0.5833333333333334,0.8333333333333333,0.6,1.0,0.49999999999999994
org.apache.commons.math4.util.MathArrays,61,1261,62,1199,0.03560796141495821,0.0712159228299164,0.9167478569540425,0.8852459016393442,0.05779508869357111
org.apache.commons.math4.geometry.euclidean.twod.PolygonsSet,39,40,27,13,0.483974358974359,0.967948717948718,0.9487179487179487,0.23076923076923078,0.21191776665149448
org.apache.commons.math4.util.FastMath,104,3646,135,3511,0.05735737794843664,0.1147147558968733,0.9882395875894586,0.8653846153846154,0.09810490072322725
org.apache.commons.math4.ode.JacobianMatrices,15,4,4,0,0.7666666666666667,0.46666666666666656,1.0,0.26666666666666666,0.12444444444444441
org.apache.commons.math4.util.BigReal,30,17,17,0,0.07647058823529412,0.15294117647058825,0.9926470588235294,0.6,0.09108996539792388
org.apache.commons.math4.analysis.FunctionUtils,20,78,19,59,0.08397435897435897,0.1679487179487179,0.7365967365967365,0.9,0.11133942980096823
org.apache.commons.math4.ode.nonstiff.DormandPrince853Integrator,2,41,12,29,0.9146341463414634,0.1707317073170731,0.2902439024390244,1.0,0.04955383700178464
org.apache.commons.math4.util.Pair,8,355,6,349,0.2802816901408451,0.5605633802816902,0.6937057372483488,0.875,0.3402577788686444
org.apache.commons.math4.util.KthSelector,3,52,1,51,0.5128205128205128,0.9743589743589745,0.5633484162895928,1.0,0.5489035851026802
org.apache.commons.math4.ode.nonstiff.MidpointStepInterpolator,2,8,2,6,0.9375,0.125,0.25,1.0,0.03125
org.apache.commons.math4.analysis.polynomials.PolynomialsUtils,11,19,18,1,0.3062200956937799,0.6124401913875598,0.9415204678362573,0.7272727272727273,0.4193636185577762
org.apache.commons.math4.complex.Quaternion,26,21,21,0,0.2032967032967033,0.4065934065934066,0.9904761904761905,0.8076923076923077,0.3252747252747253
org.apache.commons.math4.distribution.ExponentialDistribution,14,15,15,0,0.12380952380952381,0.24761904761904763,0.9047619047619048,0.5714285714285714,0.12802073210236475
org.apache.commons.math4.geometry.VectorFormat,8,166,0,166,0.1746987951807229,0.3493975903614458,0.5231106243154435,0.5,0.09138679581414376
org.apache.commons.math4.linear.ArrayFieldVector,52,46,20,26,0.07441471571906355,0.1488294314381271,0.9410628019323671,0.46153846153846156,0.06464208081192233
org.apache.commons.math4.stat.descriptive.moment.SemiVariance,14,9,9,0,0.23015873015873015,0.46031746031746024,0.8888888888888888,0.42857142857142855,0.1753590325018896
org.apache.commons.math4.stat.descriptive.SynchronizedSummaryStatistics,35,12,12,0,0.2357142857142857,0.4714285714285714,1.0,0.5714285714285714,0.26938775510204077
org.apache.commons.math4.filter.DefaultProcessModel,5,5,0,5,1.0,0.0,0.0,0.2,0.0
org.apache.commons.math4.linear.SparseFieldVector,46,18,17,1,0.1280193236714976,0.2560386473429952,1.0,0.45652173913043476,0.11688720856962824
org.apache.commons.math4.exception.NotFiniteNumberException,,,,,,,,,
org.apache.commons.math4.random.SynchronizedRandomGenerator,11,2,2,0,0.4090909090909091,0.8181818181818182,1.0,0.2727272727272727,0.2231404958677686
org.apache.commons.math4.geometry.euclidean.twod.NestedLoops,4,1,1,0,1.0,0.0,0,0.25,0.0
org.apache.commons.math4.geometry.partitioning.BSPTree,24,135,0,135,0.44938271604938274,0.8987654320987655,0.9422885572139303,0.7083333333333334,0.5998849374526545
org.apache.commons.math4.analysis.differentiation.DSCompiler,47,278,7,271,0.17465176794734424,0.34930353589468854,0.9812741864270317,0.8723404255319149,0.29900562261802094
org.apache.commons.math4.util.TransformerMap,11,12,8,4,0.18181818181818182,0.36363636363636365,0.9545454545454546,1.0,0.34710743801652894
org.apache.commons.math4.ml.neuralnet.twod.util.LocationFinder,3,1,1,0,1.0,0.0,0,0.3333333333333333,0.0
org.apache.commons.math4.util.MultidimensionalCounter,14,7,7,0,0.25510204081632654,0.5102040816326531,0.9523809523809523,0.6428571428571429,0.3123698458975427
org.apache.commons.math4.ode.nonstiff.AdaptiveStepsizeFieldIntegrator,9,57,0,57,0.4580896686159844,0.9161793372319688,0.6823308270676691,0.7777777777777778,0.48621798160117635
org.apache.commons.math4.analysis.function.Ceil,1,7,0,7,1.0,0.0,0.0,1.0,0.0
org.apache.commons.math4.stat.regression.SimpleRegression,30,42,22,20,0.24603174603174602,0.4920634920634921,0.7735191637630662,0.7,0.26643437862950053
org.apache.commons.math4.linear.RectangularCholeskyDecomposition,2,6,3,3,0.8333333333333334,0.33333333333333326,0.5333333333333333,1.0,0.17777777777777773
org.apache.commons.math4.linear.OpenMapRealVector,42,114,0,114,0.1035923141186299,0.2071846282372598,0.9309113491693837,0.7857142857142857,0.1515411242710394
org.apache.commons.math4.ode.nonstiff.GraggBulirschStoerIntegrator,11,48,12,36,0.8920454545454546,0.21590909090909083,0.2358156028368794,0.45454545454545453,0.023143060195768117
org.apache.commons.math4.analysis.function.Logistic,7,15,12,3,0.3333333333333333,0.6666666666666666,0.819047619047619,1.0,0.546031746031746
org.apache.commons.math4.linear.CholeskyDecomposition,8,29,5,24,0.2543103448275862,0.5086206896551724,0.5886699507389163,0.75,0.22455728724307797
org.apache.commons.math4.optim.nonlinear.scalar.noderiv.BOBYQAOptimizer,12,16,16,0,0.7760416666666666,0.44791666666666674,0.2416666666666667,0.3333333333333333,0.036082175925925934
org.apache.commons.math4.stat.regression.MillerUpdatingRegression,21,17,17,0,0.40336134453781514,0.8067226890756303,0.875,0.42857142857142855,0.3025210084033613
org.apache.commons.math4.optim.AbstractOptimizationProblem,4,148,0,148,0.7652027027027027,0.4695945945945945,0.11500275785990066,0.5,0.027002336727240183
org.apache.commons.math4.ml.clustering.MultiKMeansPlusPlusClusterer,4,1,1,0,0.25,0.5,0,0.5,0.0
org.apache.commons.math4.geometry.euclidean.threed.Rotation,32,58,27,31,0.13038793103448276,0.2607758620689655,0.9213551119177253,0.78125,0.18770872936093205
org.apache.commons.math4.stat.descriptive.DescriptiveStatistics,47,41,12,29,0.15620134924753504,0.3124026984950701,0.9817073170731707,0.574468085106383,0.1761824766940931
org.apache.commons.math4.ml.clustering.FuzzyKMeansClusterer,15,5,5,0,0.32,0.64,0.7,0.26666666666666666,0.11946666666666665
org.apache.commons.math4.linear.BlockFieldMatrix,49,46,46,0,0.16326530612244897,0.3265306122448979,0.9932367149758454,0.7959183673469388,0.2581339900645262
org.apache.commons.math4.distribution.LogNormalDistribution,15,18,17,1,0.17037037037037037,0.3407407407407408,0.9803921568627451,0.7333333333333333,0.2449770031469378
org.apache.commons.math4.ode.events.FieldEventState,12,27,0,27,0.6944444444444444,0.6111111111111112,0.3846153846153846,0.3333333333333333,0.07834757834757834
org.apache.commons.math4.stat.interval.IntervalUtils,5,28,4,24,0.22857142857142856,0.4571428571428571,0.2698412698412699,1.0,0.12335600907029479
org.apache.commons.math4.stat.interval.WilsonScoreInterval,1,7,6,1,1.0,0.0,0.0,1.0,0.0
org.apache.commons.math4.dfp.DfpField,40,190,0,190,0.24789473684210525,0.49578947368421056,0.9020885547201336,0.575,0.257166455612716
org.apache.commons.math4.fraction.Fraction,54,235,51,184,0.12576832151300235,0.25153664302600465,0.9393344244408074,0.7592592592592593,0.1793955211093852
org.apache.commons.math4.stat.interval.ConfidenceInterval,5,8,0,8,0.7,0.6000000000000001,0.5714285714285714,0.6,0.20571428571428574
org.apache.commons.math4.linear.Array2DRowRealMatrix,27,593,39,554,0.2823683717444257,0.5647367434888514,0.9582573720432068,0.8518518518518519,0.4609908295323297
org.apache.commons.math4.ode.sampling.DummyStepInterpolator,4,6,4,2,0.375,0.75,0.8,1.0,0.6000000000000001
org.apache.commons.math4.distribution.CauchyDistribution,11,13,13,0,0.1048951048951049,0.2097902097902098,0.8461538461538461,0.6363636363636364,0.11296395911780527
org.apache.commons.math4.stat.descriptive.moment.Skewness,7,18,11,7,0.3412698412698413,0.6825396825396826,0.7973856209150327,0.8571428571428571,0.46649771019518915
org.apache.commons.math4.ode.AbstractFieldIntegrator,30,159,0,159,0.3618448637316562,0.7236897274633124,0.9043865934240904,0.6333333333333333,0.41451368196715055
org.apache.commons.math4.linear.AbstractFieldMatrix,59,140,0,140,0.0854721549636804,0.17094430992736076,0.9842754367934224,0.864406779661017,0.14544187375214007
