parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.text.beta.StrBuilder,162,230,142,88,0.045115405260332794,0.09023081052066562,0.9675716726789444,0.8024691358024691,0.07005938835892254
org.apache.commons.text.beta.StrTokenizer,53,59,58,1,0.291973137192197,0.583946274384394,0.9824663939216832,0.6981132075471698,0.4005128461551355
org.apache.commons.text.beta.CompositeFormat,5,2,2,0,0.7,0.6000000000000001,1.0,0.6,0.36000000000000004
org.apache.commons.text.beta.translate.SingleLookupTranslator,1,2,0,2,1.0,0.0,0.0,1.0,0.0
org.apache.commons.text.beta.StrMatcher,16,128,14,114,0.19677734375,0.3935546875,0.9140009842519685,1.0,0.35970937173197587
org.apache.commons.text.beta.similarity.CosineSimilarity,3,1,0,1,1.0,0.0,0,0.3333333333333333,0.0
org.apache.commons.text.beta.similarity.Counter,1,1,0,1,1.0,0.0,0,1.0,0.0
org.apache.commons.text.beta.AlphabetConverter,13,12,12,0,0.5512820512820513,0.8974358974358974,0.8484848484848485,0.5384615384615384,0.4100173330942561
org.apache.commons.text.beta.diff.StringsComparator,7,5,3,2,1.0,0.0,0.0,0.14285714285714285,0.0
org.apache.commons.text.beta.translate.NumericEntityEscaper,5,7,4,3,0.34285714285714286,0.6857142857142857,0.8571428571428572,1.0,0.5877551020408164
org.apache.commons.text.beta.StrSubstitutor,45,41,41,0,0.45582655826558266,0.9116531165311653,0.9097560975609756,0.6,0.49762918897481656
org.apache.commons.text.beta.diff.KeepCommand,1,3,0,3,1.0,0.0,0.0,1.0,0.0
org.apache.commons.text.beta.ExtendedMessageFormat,17,14,14,0,0.31512605042016806,0.6302521008403361,0.9340659340659341,0.6470588235294118,0.3809215994089944
org.apache.commons.text.beta.FormattableUtils,5,6,6,0,0.3333333333333333,0.6666666666666666,0.9333333333333333,1.0,0.6222222222222222
org.apache.commons.text.beta.similarity.HammingDistance,1,6,3,3,1.0,0.0,0.0,1.0,0.0
org.apache.commons.text.beta.translate.NumericEntityUnescaper,4,12,3,9,0.2916666666666667,0.5833333333333334,0.43939393939393945,1.0,0.2563131313131314
org.apache.commons.text.beta.StrLookup,4,41,6,35,0.47560975609756095,0.9512195121951219,0.44999999999999996,1.0,0.4280487804878048
org.apache.commons.text.beta.similarity.LevenshteinResults,7,5,0,5,0.3142857142857143,0.6285714285714286,0.9,0.5714285714285714,0.32326530612244897
org.apache.commons.text.beta.StringEscapeUtils,24,26,26,0,0.057692307692307696,0.11538461538461542,0.963076923076923,0.7083333333333334,0.07871301775147932
