parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.apache.commons.validator.EmailValidator,7,1,0,1,0.14285714285714285,0.2857142857142857,0,0.2857142857142857,0.0
org.apache.commons.validator.routines.TimeValidator,14,7,7,0,0.20408163265306123,0.40816326530612246,1.0,0.42857142857142855,0.1749271137026239
org.apache.commons.validator.routines.CalendarValidator,17,5,5,0,0.2235294117647059,0.44705882352941173,0.9,0.23529411764705882,0.09467128027681661
org.apache.commons.validator.FormSet,22,111,0,111,0.6056511056511057,0.7886977886977886,0.31924651924651926,0.2727272727272727,0.06866973375796248
org.apache.commons.validator.GenericTypeValidator,30,58,3,55,0.05574712643678161,0.11149425287356318,0.8342407743496673,0.3333333333333333,0.031004350617592984
org.apache.commons.validator.Field,49,120,9,111,0.27874149659863945,0.5574829931972789,0.6953781512605042,0.20408163265306123,0.07911459044259103
org.apache.commons.validator.routines.DateValidator,17,5,5,0,0.23529411764705882,0.47058823529411764,0.7,0.17647058823529413,0.05813148788927336
org.apache.commons.validator.routines.ISBNValidator,9,11,10,1,0.41414141414141414,0.8282828282828283,0.9818181818181818,1.0,0.8132231404958677
org.apache.commons.validator.Arg,12,47,0,47,0.43439716312056736,0.8687943262411347,0.36447733580018504,0.3333333333333333,0.10555194712889518
org.apache.commons.validator.routines.checkdigit.VerhoeffCheckDigit,3,5,5,0,0.7333333333333333,0.5333333333333334,0.8,1.0,0.42666666666666675
org.apache.commons.validator.routines.checkdigit.ISBN10CheckDigit,3,14,6,8,0.7380952380952381,0.5238095238095237,0.3626373626373627,0.6666666666666666,0.12663526949241233
org.apache.commons.validator.GenericValidatorImpl,12,90,0,90,0.10092592592592593,0.20185185185185184,0.8938826466916354,0.9166666666666666,0.16539587860852945
org.apache.commons.validator.routines.AbstractFormatValidator,10,94,0,94,0.28404255319148936,0.5680851063829787,0.6344086021505376,0.8,0.288318462594372
org.apache.commons.validator.TypeBean,16,3,0,3,0.8333333333333334,0.33333333333333326,0.6666666666666667,0.1875,0.041666666666666664
