parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
com.google.inject.internal.LinkedProviderBindingImpl,11,46,0,46,0.24308300395256918,0.4861660079051384,0.808695652173913,0.8181818181818182,0.7043478260869566
com.google.inject.internal.InterceptorStackCallback,8,26,0,26,0.2692307692307692,0.5384615384615384,0.21846153846153848,0.5,0.4189743589743589
com.google.inject.internal.BytecodeGen,20,382,0,382,0.2887434554973822,0.5774869109947643,0.739758969919336,0.55,0.6224152936380335
com.google.inject.internal.util.LineNumbers,19,94,3,91,0.5055991041433371,0.9888017917133258,0.8721116449325097,0.5263157894736842,0.7957430753731732
com.google.inject.spi.MembersInjectorLookup,10,10,0,10,0.69,0.6200000000000001,0.9555555555555556,0.7,0.7585185185185187
com.google.inject.PrivateModule,27,35,15,20,0.12380952380952381,0.24761904761904763,0.8554621848739495,0.3333333333333333,0.47880485527544353
com.google.inject.internal.State,23,601,0,601,0.23583881935903928,0.47167763871807855,0.675363283416528,0.2608695652173913,0.46930349578399927
com.google.inject.internal.ProviderInternalFactory,3,76,0,76,0.6754385964912281,0.6491228070175439,0.05192982456140349,0.6666666666666666,0.45590643274853804
com.google.inject.internal.InjectionRequestProcessor,5,601,0,601,0.378369384359401,0.756738768718802,0.33613976705490844,1.0,0.6976261785912369
com.google.inject.spi.ProviderLookup,12,24,0,24,0.5451388888888888,0.9097222222222223,0.8442028985507246,0.75,0.8346417069243156
com.google.inject.internal.RealMapBinder,65,41,0,41,0.6318949343339587,0.7362101313320826,0.9597560975609756,0.4153846153846154,0.7037836147592245
com.google.inject.internal.Errors,102,692,0,692,0.13884166383316332,0.27768332766632664,0.965485222890508,0.7843137254901961,0.6758274253490102
com.google.inject.internal.AbstractBindingBuilder,11,518,0,518,0.32713232713232715,0.6542646542646543,0.46467965616901785,1.0,0.7063147701445573
com.google.inject.internal.InjectorShell,19,601,0,601,0.7399947455994396,0.5200105088011209,0.49938990571270103,0.3684210526315789,0.46260715571513367
com.google.inject.internal.InternalProviderInstanceBindingImpl,13,201,0,201,0.47722923842326825,0.9544584768465365,0.7492039800995025,0.6153846153846154,0.7730156907768849
com.google.inject.Scopes,9,229,0,229,0.1222707423580786,0.24454148471615722,0.25181950509461426,0.5555555555555556,0.35063884845544235
com.google.inject.util.Modules,20,706,0,706,0.10063739376770538,0.20127478753541073,0.19285556426174832,0.65,0.348043450599053
com.google.inject.spi.InjectionPoint,35,628,11,617,0.3415377616014559,0.6830755232029118,0.8999685084163797,0.7714285714285715,0.7848242010159542
com.google.inject.spi.Elements,51,706,32,674,0.2103260567683164,0.4206521135366328,0.9394732083659816,0.7647058823529411,0.7082770680851852
com.google.inject.Stage,,,,,,,,,
com.google.inject.internal.ConstructorBindingImpl,21,313,0,313,0.2303362239464476,0.4606724478928952,0.6145654132874581,0.9047619047619048,0.6599999219807526
com.google.inject.internal.ProviderMethod,30,706,0,706,0.34268177525967897,0.6853635505193579,0.27461475096940113,0.5333333333333333,0.4977705449406975
com.google.inject.spi.RequireAtInjectOnConstructorsOption,3,8,0,8,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.4444444444444445
com.google.inject.internal.MembersInjectorStore,8,474,0,474,0.5717299578059072,0.8565400843881856,0.6727772276786113,0.5,0.6764391040222657
com.google.inject.Key,32,705,13,692,0.28404255319148936,0.5680851063829787,0.9686170212765958,0.84375,0.7934840425531915
com.google.inject.internal.ConstructionContext,8,412,0,412,0.5879854368932039,0.8240291262135921,0.6985448704320507,0.75,0.7575246655485476
com.google.inject.internal.MoreTypes,27,783,2,781,0.4399981079419138,0.8799962158838276,0.8897512028299576,0.7777777777777778,0.8491750654971876
com.google.inject.internal.Scoping,14,623,0,623,0.45872506305893146,0.9174501261178629,0.911087828317497,0.9285714285714286,0.9190364610022629
com.google.inject.internal.LookupProcessor,2,21,0,21,0.5238095238095238,0.9523809523809523,0.3380952380952381,1.0,0.7634920634920634
com.google.inject.internal.ProvidesMethodScanner,6,706,0,706,0.2301699716713881,0.46033994334277617,0.22236553954955496,0.8333333333333334,0.5053462720752214
com.google.inject.internal.InjectorImpl,65,601,0,601,0.2732369128375784,0.5464738256751568,0.9925291181364393,0.7076923076923077,0.7488984171679679
com.google.inject.internal.SpiUtils,22,48,0,48,0.3068181818181818,0.6136363636363636,0.8599290780141844,0.5909090909090909,0.6881581775198796
com.google.inject.spi.ModuleAnnotatedMethodScannerBinding,5,17,0,17,0.5058823529411764,0.9882352941176471,0.5294117647058824,0.6,0.7058823529411765
com.google.inject.spi.ProvisionListenerBinding,5,21,0,21,0.780952380952381,0.4380952380952381,0.09523809523809523,0.6,0.37777777777777777
com.google.inject.internal.RealMultibinder,33,81,0,81,0.7418630751964085,0.516273849607183,0.9234567901234568,0.48484848484848486,0.6415263748597083
com.google.inject.spi.ModuleSource,9,710,3,707,0.4076682316118936,0.8153364632237872,0.5574365799876835,0.7777777777777778,0.7168502736630828
com.google.inject.util.Providers,8,49,4,45,0.29336734693877553,0.5867346938775511,0.8052721088435374,1.0,0.7973356009070295
com.google.inject.TypeLiteral,18,775,34,741,0.5539784946236559,0.8920430107526882,0.9297090939401517,0.9444444444444444,0.9220655163790946
com.google.inject.internal.ProviderInstanceBindingImpl,11,261,0,261,0.28561476837338906,0.5712295367467781,0.8246979074565282,1.0,0.7986424814011022
com.google.inject.internal.InstanceBindingImpl,10,269,0,269,0.3513011152416357,0.7026022304832714,0.7156966098873662,1.0,0.8060996134568792
com.google.inject.internal.Indexer,19,71,0,71,0.2920681986656783,0.5841363973313566,0.9106639839034205,0.631578947368421,0.7087931095343993
com.google.inject.internal.PrivateElementProcessor,2,601,0,601,0.5341098169717138,0.9317803660565724,0.12734331669439825,1.0,0.6863745609169903
com.google.inject.internal.MembersInjectorImpl,10,299,0,299,0.3705685618729097,0.7411371237458194,0.6321743619671837,0.8,0.7244371619043344
com.google.inject.spi.Message,10,263,2,261,0.35893536121673003,0.7178707224334601,0.5784111688387078,1.0,0.7654272970907225
com.google.inject.internal.InternalInjectorCreator,28,601,0,601,0.2917161873068695,0.583432374613739,0.38401552967276764,0.32142857142857145,0.429625491905026
com.google.inject.internal.MessageProcessor,2,30,0,30,0.55,0.8999999999999999,0.18620689655172418,1.0,0.6954022988505747
com.google.inject.util.Types,11,246,8,238,0.2886178861788618,0.5772357723577236,0.7672142027542724,1.0,0.781483325037332
com.google.inject.multibindings.MultibindingsScanner,4,9,0,9,0.25,0.5,0.0,0.5,0.3333333333333333
com.google.inject.internal.BindingImpl,12,667,0,667,0.466391804097951,0.932783608195902,0.8772595684139912,0.8333333333333334,0.8811255033144089
com.google.inject.spi.Dependency,13,573,0,573,0.18458853537387568,0.3691770707477513,0.6191007944934647,0.9230769230769231,0.637118262772713
com.google.inject.spi.DefaultElementVisitor,18,632,0,632,0.12271448663853728,0.24542897327707458,0.6941864430580353,0.8333333333333334,0.5909829165561478
com.google.inject.internal.ConstructorInjector,14,604,0,604,0.36494796594134343,0.7298959318826869,0.6263385061447728,0.5714285714285714,0.6425543364853438
com.google.inject.internal.ConstructorInjectorStore,6,281,0,281,0.8351126927639383,0.3297746144721234,0.02119979664463645,0.3333333333333333,0.22810258148336438
com.google.inject.Guice,4,601,0,601,0.7437603993344426,0.5124792013311148,0.048752079866888565,0.75,0.4370770937326678
com.google.inject.internal.SingletonScope,5,253,0,253,0.574703557312253,0.850592885375494,0.22184578706317837,0.6,0.5574795574795575
com.google.inject.internal.WeakKeySetUtils,7,12,0,12,0.35714285714285715,0.7142857142857143,0.7424242424242424,0.7142857142857143,0.7236652236652237
com.google.inject.matcher.AbstractMatcher,6,14,0,14,0.30952380952380953,0.6190476190476191,0.5054945054945055,0.8333333333333334,0.6526251526251526
com.google.inject.internal.ProxyFactory,11,270,5,265,0.13164983164983166,0.26329966329966337,0.17392262150626459,0.6363636363636364,0.35786197372318806
com.google.inject.internal.ProviderMethodsModule,13,706,0,706,0.6414251470908695,0.717149705818261,0.2654611938199425,0.38461538461538464,0.45574209475119604
com.google.inject.internal.Initializables,3,601,0,601,0.6056572379367721,0.7886855241264559,0.29955629506378256,1.0,0.6960806063967461
com.google.inject.internal.ExposedBindingImpl,5,30,0,30,0.20666666666666667,0.41333333333333333,0.06666666666666665,0.6,0.36000000000000004
com.google.inject.internal.TypeConverterBindingProcessor,11,601,0,601,0.5480260172439873,0.9039479655120255,0.023139212423738176,0.45454545454545453,0.46054421082707275
com.google.inject.internal.Collector,3,7,0,7,0.6666666666666666,0.6666666666666667,0.5238095238095238,1.0,0.7301587301587302
com.google.inject.matcher.Matchers,20,627,0,627,0.11443381180223286,0.22886762360446578,0.2574865860556125,0.8,0.42878473655335947
com.google.inject.internal.ProvisionListenerCallbackStore,8,539,0,539,0.7516233766233766,0.4967532467532467,0.2402356008303964,0.5,0.41232961586121436
com.google.inject.multibindings.MapBinder,10,39,0,39,0.3230769230769231,0.6461538461538462,0.572199730094467,0.7,0.639451192082771
com.google.inject.ConfigurationException,4,65,0,65,0.4269230769230769,0.8538461538461538,0.7201923076923077,0.75,0.7746794871794872
com.google.inject.internal.ConstantBindingBuilderImpl,15,46,0,46,0.2565217391304348,0.5130434782608696,0.8289855072463768,0.5333333333333333,0.6251207729468599
com.google.inject.ProvisionException,2,59,20,39,0.7457627118644068,0.5084745762711864,0.5692577440093513,1.0,0.6925774400935126
com.google.inject.spi.DisableCircularProxiesOption,3,6,0,6,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.4444444444444445
com.google.inject.spi.TypeConverterBinding,6,10,0,10,0.48333333333333334,0.9666666666666667,0.8222222222222222,0.8333333333333334,0.8740740740740741
com.google.inject.internal.InternalFlags,11,709,0,709,0.10347480446211052,0.2069496089242211,0.23248308670603146,0.5454545454545454,0.32829574702826597
com.google.inject.internal.DefaultConstructionProxyFactory,5,252,0,252,0.3738095238095238,0.7476190476190476,0.5621008031366597,1.0,0.769906616918569
com.google.inject.multibindings.Multibinder,11,40,0,40,0.2818181818181818,0.5636363636363636,0.65,0.8181818181818182,0.6772727272727272
com.google.inject.internal.Initializer,8,601,0,601,0.3067803660565724,0.6135607321131448,0.6894231835829174,0.875,0.7259946385653541
com.google.inject.internal.Element,2,1,0,1,0.5,1.0,0,1.0,0.6666666666666666
com.google.inject.internal.ExposureBuilder,6,34,0,34,0.4411764705882353,0.8823529411764706,0.47593582887700536,0.6666666666666666,0.6749851455733809
com.google.inject.internal.PrivateElementsImpl,11,44,0,44,0.7479338842975206,0.5041322314049588,0.5496828752642706,0.6363636363636364,0.5633929143442886
com.google.inject.internal.RealElement,8,79,3,76,0.7167721518987342,0.5664556962025316,0.8549172346640701,0.875,0.7654576436222005
com.google.inject.internal.RealOptionalBinder,44,41,0,41,0.6834811529933481,0.6330376940133038,0.9804878048780488,0.38636363636363635,0.666629711751663
com.google.inject.internal.EncounterImpl,14,302,0,302,0.2902081362346263,0.5804162724692526,0.0842665727926778,0.5714285714285714,0.41203713889683397
com.google.inject.spi.DefaultBindingTargetVisitor,10,54,0,54,0.3425925925925926,0.6851851851851852,0.506638714185884,0.4,0.5306079664570231
com.google.inject.internal.BindingBuilder,15,485,0,485,0.16192439862542957,0.32384879725085913,0.8654511374286444,0.9333333333333333,0.7075444226709457
com.google.inject.internal.BindingProcessor,15,492,0,492,0.2424119241192412,0.48482384823848235,0.9251154935174606,0.8,0.736646447251981
com.google.inject.internal.LinkedBindingImpl,9,140,0,140,0.26587301587301587,0.5317460317460317,0.6398766700924974,1.0,0.7238742339461764
com.google.inject.spi.ModuleAnnotatedMethodScanner,6,17,16,1,0.5882352941176471,0.8235294117647058,0.5294117647058824,0.5,0.6176470588235294
com.google.inject.internal.WeakKeySet,16,330,10,320,0.15075757575757576,0.3015151515151515,0.3650548033526757,0.625,0.43052331828927576
com.google.inject.internal.InheritingState,22,601,0,601,0.5293450310089245,0.941309937982151,0.8107321131447587,0.6363636363636364,0.7961352291635153
com.google.inject.multibindings.ProvidesIntoOptional,2,1,0,1,0.5,1.0,0,1.0,0.6666666666666666
com.google.inject.spi.InjectionRequest,6,19,0,19,0.6578947368421053,0.6842105263157894,0.29239766081871343,0.6666666666666666,0.5477582846003898
com.google.inject.spi.ElementSource,6,364,2,362,0.5018315018315018,0.9963369963369964,0.686571004752823,1.0,0.8943026670299398
com.google.inject.AbstractModule,24,643,0,643,0.12480559875583204,0.24961119751166405,0.8713875282820501,1.0,0.7069995752645714
com.google.inject.Asserts,15,375,0,375,0.17262222222222223,0.34524444444444446,0.6828805704099822,0.8666666666666667,0.6315972271736978
com.google.inject.internal.AbstractProcessor,3,601,0,601,1.0,0.0,0.0,0.3333333333333333,0.1111111111111111
com.google.inject.spi.TypeListenerBinding,5,20,0,20,0.82,0.3600000000000001,0.18947368421052635,0.4,0.3164912280701755
com.google.inject.internal.SingleParameterInjector,2,324,0,324,0.6712962962962963,0.6574074074074074,0.5963192294461644,1.0,0.751242212284524
com.google.inject.internal.util.SourceProvider,5,706,0,706,0.7711048158640227,0.45779036827195463,0.24755590380326686,0.6,0.43511542402507386
com.google.inject.internal.MethodAspect,3,26,0,26,0.9743589743589743,0.05128205128205132,0.07692307692307687,0.6666666666666666,0.26495726495726496
com.google.inject.internal.util.StackTraceElements,15,710,0,710,0.1672300469483568,0.3344600938967136,0.4425356085738692,0.6,0.45899856749019424
com.google.inject.internal.Annotations,29,674,0,674,0.27934104164534945,0.5586820832906989,0.9407630477819763,0.5517241379310345,0.6837230896679033
com.google.inject.spi.FailingBindingScopingVisitor,,,,,,,,,
com.google.inject.internal.InterceptorBindingProcessor,1,22,0,22,1.0,0.0,0.0,1.0,0.3333333333333333
com.google.inject.internal.ScopeBindingProcessor,1,601,0,601,1.0,0.0,0.0,1.0,0.3333333333333333
com.google.inject.internal.DeferredLookups,3,601,0,601,0.33444259567387685,0.6688851913477537,0.0033277870216306127,0.6666666666666666,0.44629321501201696
com.google.inject.internal.ProcessedBindingData,6,601,0,601,0.6397670549084858,0.7204658901830283,0.7616361619523018,0.6666666666666666,0.7162562396006655
com.google.inject.internal.ConstantFactory,2,490,0,490,0.5,1.0,0.0,1.0,0.6666666666666666
com.google.inject.internal.UniqueAnnotations,7,1,1,0,0.5714285714285714,0.8571428571428572,0,0.2857142857142857,0.38095238095238093
com.google.inject.CreationException,2,109,0,109,0.6513761467889908,0.6972477064220184,0.463302752293578,1.0,0.7201834862385321
com.google.inject.internal.UntargettedBindingImpl,8,188,0,188,0.1622340425531915,0.32446808510638303,0.6997383092501991,0.875,0.6330687981188606
com.google.inject.internal.ProvidedByInternalFactory,4,12,0,12,0.9166666666666666,0.16666666666666674,0.303030303030303,0.5,0.32323232323232326
com.google.inject.internal.ErrorsException,1,162,0,162,1.0,0.0,0.0,1.0,0.3333333333333333
com.google.inject.name.Names,3,204,5,199,0.33986928104575165,0.6797385620915033,0.038781029653240595,1.0,0.5728398639149147
com.google.inject.spi.ScopeBinding,5,604,0,604,0.8013245033112583,0.3973509933774835,0.013179137425455512,0.4,0.27017671026764634
com.google.inject.internal.AbstractBindingProcessor,10,489,0,489,0.6112474437627812,0.7775051124744377,0.7734251902510979,0.6,0.7169767675751785
com.google.inject.internal.SingleFieldInjector,2,105,0,105,0.8285714285714286,0.34285714285714275,0.5053113553113553,1.0,0.616056166056166
com.google.inject.spi.ProvisionListener,6,21,0,21,0.8174603174603174,0.3650793650793651,0.09523809523809523,0.5,0.3201058201058201
com.google.inject.internal.CycleDetectingLock,9,273,3,270,0.5962555962555962,0.8074888074888076,0.2549827623357035,0.4444444444444444,0.5023053380896518
com.google.inject.internal.UntargettedBindingProcessor,3,107,0,107,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.4444444444444445
com.google.inject.internal.BoundProviderFactory,4,31,0,31,0.5564516129032258,0.8870967741935485,0.4903225806451613,0.75,0.7091397849462365
com.google.inject.internal.SingleMethodInjector,4,81,0,81,0.8302469135802469,0.3395061728395061,0.6367283950617284,1.0,0.6587448559670782
com.google.inject.internal.Exceptions,,,,,,,,,
com.google.inject.internal.InternalContext,9,495,0,495,0.5984287317620651,0.8031425364758698,0.8538093485461906,0.7777777777777778,0.8115765542666127
com.google.inject.internal.InjectorOptionsProcessor,5,601,0,601,0.21497504159733777,0.42995008319467554,0.14190793122573486,1.0,0.5239526714734701
com.google.inject.spi.DefaultBindingScopingVisitor,5,41,0,41,0.43902439024390244,0.8780487804878049,0.6926829268292682,1.0,0.8569105691056911
com.google.inject.spi.RequireExplicitBindingsOption,3,28,0,28,0.6666666666666666,0.6666666666666667,0.0,0.6666666666666666,0.4444444444444445
