parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
org.junit.runner.RunnerSpy,,,,,,,,,
org.junit.runner.FilterFactories,5,11,6,5,0.6363636363636364,0.7272727272727273,0.6181818181818182,0.8,0.35966942148760334
org.junit.internal.runners.rules.RuleMemberValidator,11,146,0,146,0.43897882938978827,0.8779576587795765,0.28578176665092114,0.36363636363636365,0.09123792391663055
junit.framework.ComparisonFailure,3,4,0,4,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0
org.junit.internal.Throwables,3,85,0,85,0.4823529411764706,0.9647058823529412,0.5198879551820728,0.6666666666666666,0.33435931235239186
org.junit.experimental.categories.Categories,27,41,3,38,0.47696476964769646,0.9539295392953929,0.7304878048780488,0.5555555555555556,0.3871299417601222
org.junit.internal.runners.statements.FailOnTimeout,14,23,8,15,0.5869565217391305,0.826086956521739,0.8577075098814229,0.5,0.354270493211892
org.junit.validator.AnnotationsValidator,4,402,3,399,0.2978855721393035,0.595771144278607,0.18630041810895648,1.0,0.11099241327635592
org.junit.Assert,69,813,0,813,0.056972743640479884,0.11394548728095977,0.9181526790637364,0.7391304347826086,0.07732734891487017
org.junit.runner.notification.Failure,5,128,0,128,0.3375,0.675,0.7637795275590551,1.0,0.5155511811023622
org.junit.internal.runners.InitializationError,1,1,0,1,1.0,0.0,0,1.0,0.0
org.junit.runners.model.RunnerBuilder,8,408,0,408,0.4417892156862745,0.883578431372549,0.4709856915739269,0.375,0.15605729945992705
org.junit.experimental.max.MaxHistory,9,17,0,17,0.5555555555555556,0.8888888888888888,0.8308823529411764,0.5555555555555556,0.41031227305737106
org.junit.experimental.theories.internal.Assignments,13,80,0,80,0.5480769230769231,0.9038461538461537,0.7180379746835444,0.6923076923076923,0.4493048273537562
org.junit.runner.manipulation.Filter,5,66,0,66,0.3212121212121212,0.6424242424242425,0.5151515151515151,1.0,0.3309458218549128
org.junit.internal.runners.JUnit38ClassRunner,5,32,0,32,0.5125,0.9750000000000001,0.7137096774193548,1.0,0.6958669354838709
org.junit.rules.TemporaryFolder,18,36,25,11,0.36882716049382713,0.7376543209876543,0.9587301587301588,0.7777777777777778,0.5500533455265966
