parent,number_of_components,number_of_tests,unit_tests,integration_tests,density,normalized_density,diversity,uniqueness,ddu
com.google.zxing.aztec.encoder.Encoder,10,18,15,3,0.8277777777777777,0.34444444444444455,0.21568627450980393,0.4,0.029716775599128553
com.google.zxing.pdf417.encoder.PDF417HighLevelEncoder,14,7,0,7,0.4489795918367347,0.8979591836734694,0.9523809523809523,0.6428571428571429,0.5497709287796751
com.google.zxing.oned.rss.expanded.decoders.DecodedInformation,3,28,0,28,0.75,0.5,0.4735449735449735,1.0,0.23677248677248675
com.google.zxing.oned.rss.RSSUtils,2,89,0,89,1.0,0.0,0.0,0.5,0.0
com.google.zxing.client.result.ISBNParsedResult,2,2,1,1,0.5,1.0,1.0,1.0,1.0
com.google.zxing.Dimension,5,1,0,1,0.4,0.8,0,0.4,0.0
com.google.zxing.datamatrix.DataMatrixWriter,4,3,3,0,0.75,0.5,0.0,0.5,0.0
com.google.zxing.common.BitArray,24,199,15,184,0.28224455611390287,0.5644891122278057,0.8969087863560226,0.9166666666666666,0.46410397417947735
com.google.zxing.common.reedsolomon.GenericGFPoly,11,83,0,83,0.7185104052573932,0.5629791894852136,0.6144578313253012,0.45454545454545453,0.1572395326601637
com.google.zxing.qrcode.encoder.QRCode,12,15,4,11,0.4222222222222222,0.8444444444444444,0.8380952380952381,0.4166666666666667,0.29488536155202827
com.google.zxing.oned.rss.expanded.ExpandedPair,10,85,0,85,0.4258823529411765,0.851764705882353,0.6070028011204482,0.5,0.2585117811830615
com.google.zxing.client.result.ExpandedProductParsedResult,20,2,1,1,0.4,0.8,1.0,0.15,0.12
com.google.zxing.oned.rss.expanded.decoders.CurrentParsingState,11,28,0,28,0.6168831168831169,0.7662337662337662,0.7724867724867726,0.45454545454545453,0.26904793138559374
com.google.zxing.datamatrix.encoder.SymbolInfo,19,23,1,22,0.19221967963386727,0.38443935926773454,0.450592885375494,0.47368421052631576,0.08205425059469432
com.google.zxing.oned.rss.expanded.decoders.AI01decoder,3,37,0,37,0.9819819819819819,0.03603603603603611,0.10510510510510507,0.6666666666666666,0.0025250475700926197
com.google.zxing.pdf417.encoder.BarcodeRow,4,1,0,1,0.75,0.5,0,0.5,0.0
com.google.zxing.pdf417.PDF417ResultMetadata,8,2,0,2,0.625,0.75,1.0,0.375,0.28125
com.google.zxing.aztec.decoder.Decoder,13,21,4,17,0.652014652014652,0.6959706959706959,0.6095238095238096,0.6153846153846154,0.2610527445692281
com.google.zxing.maxicode.decoder.DecodedBitStreamParser,9,1,0,1,0.8888888888888888,0.22222222222222232,0,0.2222222222222222,0.0
com.google.zxing.oned.EAN8Writer,2,2,2,0,1.0,0.0,0.0,0.5,0.0
com.google.zxing.qrcode.detector.AlignmentPatternFinder,5,11,0,11,1.0,0.0,0.0,0.2,0.0
com.google.zxing.pdf417.decoder.DecodedBitStreamParser,9,4,0,4,0.6388888888888888,0.7222222222222223,0.8333333333333334,0.6666666666666666,0.40123456790123463
com.google.zxing.oned.Code39Reader,5,49,0,49,0.7020408163265306,0.5959183673469388,0.5297619047619048,0.6,0.18941690962099125
